n,add_ns,gmp_add_ns,sub_ns,gmp_sub_ns,add_ns_per_limb,gmp_add_ns_per_limb,sub_ns_per_limb,gmp_sub_ns_per_limb,reps
1,1.151322577,1.901836994,1.145100699,2.074324505,1.151322576720,1.901836993877,1.145100699329,2.074324504503,1200000
2,1.133174556,2.281469580,1.134678109,2.093011047,0.566587278042,1.140734790203,0.567339054435,1.046505523297,600000
3,1.324690065,2.090418192,1.341978290,2.467186824,0.441563354942,0.696806063879,0.447326096703,0.822395608077,400000
4,1.733770000,2.090136066,1.709687634,2.071055719,0.433442500000,0.522534016440,0.427421908594,0.517763929814,300000
5,1.733623053,2.089299256,1.710351868,2.290440456,0.346724610628,0.417859851168,0.342070373534,0.458088091300,240000
6,1.741322760,2.482672587,1.719157808,2.294656160,0.290220460053,0.413778764440,0.286526301404,0.382442693386,200000
7,1.748926688,2.295760927,1.726023881,3.209388198,0.249846669733,0.327965846752,0.246574840190,0.458484028280,171428
8,2.109953333,2.458488881,1.512496250,2.448417698,0.263744166667,0.307311110074,0.189062031266,0.306052212289,150000
9,1.883040716,2.459782959,1.891305489,2.650382114,0.209226746264,0.273309217692,0.210145054344,0.294486901610,133333
10,2.083181947,2.835742915,2.080532662,2.650172497,0.208318194697,0.283574291500,0.208053266223,0.265017249713,120000
11,2.282305817,2.659202156,2.303410028,3.040269502,0.207482346981,0.241745650540,0.209400911674,0.276388136568,109090
12,2.838068097,2.842891571,2.676792928,2.842777861,0.236505674716,0.236907630924,0.223066077357,0.236898155092,100000
13,2.844247289,2.887328979,2.679746068,3.039269852,0.218788253009,0.222102229122,0.206134312886,0.233789988584,92307
14,2.835407893,3.218680729,2.669046452,3.105605787,0.202529135218,0.229905766353,0.190646175178,0.221828984758,85714
15,2.841038909,3.272737500,2.675841208,3.419311293,0.189402593940,0.218182500000,0.178389413863,0.227954086203,80000
16,2.664395798,3.456351323,2.661729416,3.404847935,0.166524737361,0.216021957658,0.166358088471,0.212802995960,75000
17,2.856066294,3.587661142,3.046292886,3.599396524,0.168003899626,0.211038890694,0.179193699181,0.211729207273,70588
18,3.064554836,3.833278334,3.234457727,3.787040648,0.170253046423,0.212959907469,0.179692095918,0.210391147109,66666
19,3.320772044,3.956415737,3.312894799,3.916384306,0.174777476014,0.208232407188,0.174362884176,0.206125489791,63157
20,3.866404453,4.148680855,3.811552178,4.157281650,0.193320222659,0.207434042766,0.190577608906,0.207864082524,60000
21,3.884916885,4.305771385,3.808753019,4.326678099,0.184996042161,0.205036732599,0.181369191361,0.206032290427,57142
22,3.888096504,4.579481915,3.827452202,4.528458563,0.176731659270,0.208158268849,0.173975100111,0.205839025601,54545
23,3.870680237,4.696467928,3.821962438,4.734954768,0.168290445083,0.204194257727,0.166172279901,0.205867598629,52173
24,3.560481533,4.898650135,3.623812666,4.934706529,0.148353397191,0.204110422291,0.150992194426,0.205612772056,50000
25,4.055594901,5.096150642,4.004291667,5.115254025,0.162223796034,0.203846025662,0.160171666667,0.204610161018,48000
26,4.257664724,5.359228769,4.201382269,5.361426467,0.163756335533,0.206124183442,0.161591625724,0.206208710260,46153
27,4.535482855,5.507064753,4.476172262,5.523860952,0.167980846475,0.203965361212,0.165784157842,0.204587442657,44444
28,5.082711153,5.712182374,4.753470683,5.739827345,0.181525398307,0.204006513355,0.169766810105,0.204993833744,42857
29,5.092093181,5.868124698,4.783513376,5.839555394,0.175589420021,0.202349127515,0.164948737116,0.201363979120,41379
30,5.101337333,6.181240938,4.720448921,6.057042870,0.170044577761,0.206041364598,0.157348297381,0.201901428988,40000
31,5.105948291,6.277783518,4.717757975,6.230431413,0.164708009402,0.202509145757,0.152185741127,0.200981658486,38709
32,4.408815765,6.480267719,4.235700381,6.470966194,0.137775492654,0.202508366220,0.132365636916,0.202217693559,37500
33,4.696763905,6.629364861,4.523068463,6.610267833,0.142326178949,0.200889844277,0.137062680698,0.200311146442,36363
34,4.933484419,6.854135977,4.773292541,6.851481502,0.145102482920,0.201592234628,0.140390957097,0.201514161837,35294
