bn,k,an,nn64,dn64,qlimbs,gmp_ns,sb_ns,dc_ns
2,1.20,3,20,13,8,105.3,172.6,174.1
2,1.50,3,20,13,8,107.5,171.8,172.4
2,2.00,4,26,13,14,174.0,211.3,211.0
2,2.50,5,33,13,21,227.2,253.6,252.3
2,3.00,6,39,13,27,281.5,286.9,287.9
2,4.00,8,52,13,40,414.6,397.8,398.1
2,5.00,10,65,13,53,533.1,458.9,458.5
3,1.20,4,26,20,7,118.3,182.2,182.0
3,1.50,5,33,20,14,205.6,236.3,234.9
3,2.00,6,39,20,20,293.7,284.0,283.8
3,2.50,8,52,20,33,455.7,377.7,377.9
3,3.00,9,59,20,40,530.7,432.6,437.3
3,4.00,12,78,20,59,788.6,588.2,580.9
3,5.00,15,98,20,79,1041.4,746.4,750.2
4,1.20,5,33,26,8,134.6,203.2,203.7
4,1.50,6,39,26,14,249.9,248.3,249.2
4,2.00,8,52,26,27,452.1,368.2,368.0
4,2.50,10,65,26,40,671.8,479.7,473.4
4,3.00,12,78,26,53,872.9,588.6,597.6
4,4.00,16,104,26,79,1268.8,819.0,808.9
4,5.00,20,130,26,105,1684.8,1011.0,1013.4
5,1.20,6,39,33,7,151.9,199.8,200.3
5,1.50,8,52,33,20,400.8,334.1,338.1
5,2.00,10,65,33,33,687.2,442.8,442.4
5,2.50,13,85,33,53,1034.9,630.2,626.1
5,3.00,15,98,33,66,1265.4,747.6,752.8
5,4.00,20,130,33,98,1933.7,1079.7,1073.2
5,5.00,25,163,33,131,2476.0,1363.9,1368.5
6,1.20,7,46,39,8,168.0,214.9,215.4
6,1.50,9,59,39,21,427.9,345.0,346.3
6,2.00,12,78,39,40,895.4,529.2,531.9
6,2.50,15,98,39,60,1323.4,717.7,716.7
6,3.00,18,117,39,79,1732.6,920.2,904.3
6,4.00,24,156,39,118,2567.4,1270.2,1271.8
6,5.00,30,195,39,157,3434.7,1688.2,1688.8
7,1.20,8,52,46,7,190.0,226.5,227.9
7,1.50,11,72,46,27,646.5,436.5,437.1
7,2.00,14,91,46,46,1211.3,634.6,635.4
7,2.50,18,117,46,72,1856.2,905.0,907.0
7,3.00,21,137,46,92,2332.4,1117.7,1121.1
7,4.00,28,182,46,137,3478.6,1609.2,1611.6
7,5.00,35,228,46,183,4601.3,2159.4,2162.8
8,1.20,10,65,52,14,376.6,306.3,311.1
8,1.50,12,78,52,27,694.0,456.3,461.6
8,2.00,16,104,52,53,1338.0,782.5,746.6
8,2.50,20,130,52,79,2016.2,1055.5,1087.4
8,3.00,24,156,52,105,2673.9,1368.8,1303.9
8,4.00,32,208,52,157,3967.8,1931.5,1919.1
8,5.00,40,260,52,209,5217.9,2504.2,2443.0
10,1.20,12,78,65,14,420.5,340.1,344.6
10,1.50,15,98,65,34,1001.7,570.8,582.1
10,2.00,20,130,65,66,1947.6,1014.1,967.9
10,2.50,25,163,65,99,2853.5,1408.2,1416.9
10,3.00,30,195,65,131,3659.9,1781.3,1693.7
10,4.00,40,260,65,196,5470.4,2642.5,2478.8
10,5.00,50,325,65,261,7332.1,3464.9,3273.1
11,1.20,13,85,72,14,493.1,351.1,360.3
11,1.50,17,111,72,40,1331.7,701.5,713.1
11,2.00,22,143,72,72,2282.3,1136.3,1100.8
11,2.50,28,182,72,111,3536.1,1645.7,1617.0
11,3.00,33,215,72,144,4556.9,2129.7,1940.2
11,4.00,44,286,72,215,6696.7,3049.1,2873.4
11,5.00,55,358,72,287,8988.7,4109.8,3803.5
