n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
8,1.926270,1.099548,1.893311,1.751873,1.017408,0.580754
9,2.067766,1.000000,1.948718,2.067766,1.061090,0.513158
10,2.129121,1.079670,2.027473,1.972010,1.050136,0.532520
11,2.237903,1.214260,2.125183,1.843019,1.053040,0.571367
12,2.299304,1.354472,2.217742,1.697564,1.036777,0.610744
13,2.368132,1.473443,2.286630,1.607209,1.035643,0.644373
14,2.434066,1.616300,2.346154,1.505949,1.037471,0.688915
15,2.473443,1.787546,2.411172,1.383709,1.025826,0.741360
16,2.510376,0.875244,2.480164,2.868201,1.012182,0.352898
17,2.575517,0.823652,2.477376,3.126949,1.039615,0.332469
18,2.588828,0.914835,2.526557,2.829830,1.024647,0.362088
19,2.635853,1.047747,2.562584,2.515734,1.028592,0.408863
20,2.710269,1.172677,2.641504,2.311181,1.026033,0.443943
21,2.753663,1.313187,2.690476,2.096932,1.023485,0.488087
22,2.812500,1.444282,2.740103,1.947335,1.026421,0.527090
23,2.886236,1.549829,2.856925,1.862293,1.010260,0.542482
24,2.982955,0.925587,2.962793,3.222772,1.006805,0.312403
25,3.074312,0.885321,3.015596,3.472539,1.019471,0.293581
26,3.100733,0.885531,3.078755,3.501551,1.007139,0.287626
27,3.158232,0.973597,3.129813,3.243879,1.009080,0.311072
28,3.230797,1.117295,3.197774,2.891626,1.010327,0.349398
29,3.296038,1.226156,3.246515,2.688108,1.015254,0.377684
30,3.305861,1.330586,3.297619,2.484515,1.002499,0.403499
31,3.366019,1.425037,3.370601,2.362058,0.998641,0.422784
32,3.436890,0.986023,0.719604,3.485608,4.776081,1.370229
33,3.519062,0.963160,0.699230,3.653663,5.032765,1.377457
34,3.533088,0.945772,0.686581,3.735666,5.145917,1.377510
35,3.576923,0.958791,0.661172,3.730659,5.409972,1.450139
36,3.662812,1.115088,0.677313,3.284774,5.407859,1.646341
37,3.598202,1.207044,0.755778,2.981003,4.760922,1.597087
38,3.626989,1.276010,0.834455,2.842446,4.346535,1.529153
39,3.651099,1.358059,0.899267,2.688469,4.060081,1.510183
40,3.682904,1.014706,0.945772,3.629529,3.894072,1.072886
41,3.728398,0.990930,1.047923,3.762523,3.557895,0.945614
42,3.752747,0.971612,1.130037,3.862394,3.320908,0.859806
43,3.760098,0.991432,1.152999,3.792593,3.261146,0.859873
44,3.825147,1.120784,1.212427,3.412919,3.154951,0.924414
45,3.834249,1.195055,1.256410,3.208429,3.051749,0.951166
46,3.826026,1.250305,1.353810,3.060073,2.826116,0.923545
47,3.841709,1.316948,1.436170,2.917131,2.674968,0.916986
48,3.879596,1.042279,1.464154,3.722222,2.649718,0.711864
49,3.907186,1.022852,1.550776,3.819892,2.519504,0.659574
