n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
8,1.887817,1.077576,1.861267,1.751912,1.014265,0.578947
9,2.031136,0.984432,1.909341,2.063256,1.063789,0.515588
10,2.092491,1.062271,1.989927,1.969828,1.051542,0.533824
11,2.192082,1.192265,2.081195,1.838586,1.053280,0.572875
12,2.251650,1.330645,2.174670,1.692149,1.035398,0.611884
13,2.319597,1.437729,2.239927,1.613376,1.035568,0.641864
14,2.384615,1.583333,2.302198,1.506073,1.035800,0.687749
15,2.423993,1.749084,2.350733,1.385864,1.031165,0.744059
16,2.440796,0.849609,2.426147,2.872845,1.006038,0.350189
17,2.503057,0.800722,2.426012,3.126002,1.031758,0.330057
18,2.533883,0.910256,2.473443,2.783702,1.024435,0.368012
19,2.582733,1.023019,2.515875,2.524620,1.026574,0.406625
20,2.658924,1.150672,2.590159,2.310757,1.026549,0.444248
21,2.705128,1.300366,2.644689,2.080282,1.022853,0.491690
22,2.763930,1.426870,2.692449,1.937058,1.026549,0.529952
23,2.829446,1.522350,2.801050,1.858604,1.010137,0.543492
24,2.925220,0.906342,2.905975,3.227503,1.006623,0.311889
25,3.009174,0.866055,2.955046,3.474576,1.018317,0.293077
26,3.049451,0.867216,3.022894,3.516367,1.008785,0.286883
27,3.100477,0.955262,3.070224,3.245681,1.009854,0.311138
28,3.171172,1.096196,3.136314,2.892887,1.011114,0.349517
29,3.234593,1.202311,3.181401,2.690313,1.016720,0.377919
30,3.239011,1.301282,3.228938,2.489092,1.003120,0.403006
31,3.295455,1.390213,3.279875,2.370468,1.004750,0.423861
32,3.371887,0.966797,0.704041,3.487689,4.789337,1.373212
33,3.433834,0.939333,0.681818,3.655610,5.036290,1.377688
34,3.455882,0.909926,0.662684,3.797980,5.214979,1.373093
35,3.478938,0.930403,0.644689,3.739173,5.396307,1.443182
36,3.583884,1.091226,0.656204,3.284272,5.461538,1.662937
37,3.523909,1.182280,0.740186,2.980605,4.760843,1.597274
38,3.554468,1.257650,0.815177,2.826277,4.360360,1.542793
39,3.574176,1.329670,0.891026,2.688017,4.011305,1.492292
40,3.610294,0.998162,0.938419,3.616943,3.847209,1.063663
41,3.645667,0.970707,1.025861,3.755682,3.553763,0.946237
42,3.673993,0.949634,1.104396,3.868852,3.326700,0.859867
43,3.680233,0.973072,1.126377,3.782075,3.267319,0.863896
44,3.740836,1.096957,1.185850,3.410192,3.154560,0.925039
45,3.751832,1.167582,1.231685,3.213333,3.046097,0.947955
46,3.744504,1.220078,1.328163,3.069069,2.819310,0.918621
47,3.760088,1.292186,1.409574,2.909865,2.667534,0.916721
48,3.801471,1.019301,1.439338,3.729486,2.641124,0.708174
49,3.829280,0.998106,1.517781,3.836547,2.522947,0.657609
50,3.826380,0.979141,1.580061,3.907895,2.421666,0.619685
51,3.848346,0.964154,1.656250,3.991420,2.323529,0.582131
52,3.901580,1.070247,1.685755,3.645494,2.314441,0.634877
