n,ns_limb
128,8.4780
134,10.8161
140,10.2983
146,9.8810
152,9.5328
159,9.0900
166,9.3311
173,8.9476
181,8.5676
189,8.1898
197,10.2690
206,9.8179
215,9.3938
225,8.5167
235,8.1544
245,7.8277
256,7.4894
267,11.3894
279,10.8611
292,10.3791
304,9.9609
318,9.5085
332,9.7778
347,9.3621
362,8.9221
378,8.5363
395,10.6992
412,10.2089
431,9.7487
450,9.0948
470,8.7020
490,8.3285
512,7.9928
535,11.8789
558,11.3808
583,10.8835
609,10.4128
636,9.9515
664,10.1860
693,9.7509
724,9.3363
756,8.9392
790,11.1371
825,10.6693
861,10.2138
899,9.6884
939,9.2707
981,8.9340
1024,8.4865
1069,12.4213
1117,11.9178
1166,11.4337
1218,10.9443
1272,10.4547
1328,10.9220
1387,10.4547
1448,10.0155
1512,9.5904
1579,11.7069
1649,11.1866
1722,10.7551
1798,10.4348
1878,9.9802
1961,9.5406
2048,9.1398
2139,13.0411
2233,12.5027
2332,11.9628
2435,11.4604
2543,10.9771
2656,11.6232
2774,11.0797
2896,10.5847
3025,10.1523
3158,12.1784
3298,11.7294
3444,11.1559
3597,11.1031
3756,10.6282
3922,10.1687
4096,9.7521
4277,13.8386
4467,13.2188
4664,12.6686
4871,12.1532
5087,11.6171
5312,12.5857
5547,12.0637
5793,11.5124
6049,11.0127
6317,13.5695
6597,12.9861
6889,12.3944
7194,13.1232
7512,12.5959
7845,12.0380
8192,11.5402
8555,14.8939
8933,14.2390
9329,13.6199
9742,13.9764
10173,12.3250
10624,13.3877
11094,13.0906
11585,12.2871
12098,11.6893
12634,13.9940
13193,13.3855
13777,12.8031
14387,12.9208
15024,12.3720
15689,11.8607
16384,11.3356
17109,15.5776
17867,14.9817
18658,14.3010
19484,13.6626
20347,13.0911
21247,14.2993
22188,13.6507
23170,13.0726
24196,12.5351
25268,15.7192
26386,15.0566
27554,14.4096
28774,13.8639
30048,13.2109
31379,12.6735
32768,12.1038
34219,28.2069
35734,26.4388
37316,24.6437
38968,23.0256
40693,21.6312
42495,21.8111
44376,20.7039
46341,19.9341
48393,18.9552
50535,24.3070
52773,23.3249
55109,22.3951
57549,21.9592
60097,21.1499
62757,20.1303
65536,19.2797
68438,29.2837
71468,25.6994
74632,24.5638
77936,23.9848
81386,22.5786
84990,23.6485
88752,22.8424
92682,21.5318
96785,21.0152
101070,27.5855
105545,26.8783
110218,25.6271
115098,29.5418
120194,27.4178
125515,26.6966
131072,25.0621
