n,ns_limb
128,12.5994
134,16.9350
140,16.3054
146,15.7718
152,15.2780
159,14.7624
166,16.7120
173,16.1526
181,15.5900
189,15.0733
197,16.6646
206,16.0396
215,15.4945
225,14.9487
235,14.4417
245,14.0099
256,13.5619
267,17.6363
279,17.0126
292,16.3736
304,15.8420
318,15.2701
332,17.2321
347,16.6119
362,16.1080
378,15.5362
395,17.1844
412,16.6070
431,16.0180
450,15.4337
470,14.9295
490,14.4284
512,13.9611
535,17.9584
558,17.3489
583,16.7671
609,16.1721
636,15.6204
664,18.6232
693,17.9793
724,17.3563
756,16.7411
790,18.8564
825,18.1967
861,17.5708
899,16.9629
939,16.3474
981,15.7601
1024,15.2404
1069,19.3347
1117,18.6156
1166,17.9753
1218,17.3522
1272,16.7232
1328,18.9592
1387,18.3206
1448,17.6894
1512,17.0722
1579,19.1212
1649,18.4457
1722,17.8020
1798,17.1770
1878,16.5824
1961,16.0155
2048,15.4548
2139,19.8720
2233,19.1495
2332,18.4717
2435,17.8216
2543,17.4352
2656,20.7931
2774,20.0668
2896,19.3604
3025,18.6802
3158,20.6421
3298,19.8658
3444,19.1440
3597,19.1912
3756,18.5183
3922,17.8770
4096,17.2364
4277,21.8049
4467,21.0256
4664,20.2236
4871,19.5012
5087,18.7994
5312,21.5150
5547,20.7423
5793,19.9538
6049,19.2853
6317,22.3873
6597,21.5840
6889,20.7714
7194,20.5181
7512,19.7574
7845,19.0430
8192,18.3719
8555,22.9174
8933,22.0942
9329,21.2453
9742,20.5387
10173,19.7720
10624,24.2609
11094,23.3821
11585,22.2033
12098,21.1902
12634,22.8391
13193,21.5201
13777,20.7666
14387,22.1455
15024,21.3163
15689,20.6000
16384,19.7947
17109,24.4705
17867,23.6220
18658,22.7328
19484,21.9681
20347,21.1592
21247,24.0658
22188,23.2109
23170,22.4001
24196,21.6357
25268,24.6971
26386,23.7729
27554,22.8687
28774,23.4951
30048,22.6185
31379,21.8282
32768,20.9882
34219,29.4879
35734,28.6547
37316,27.7388
38968,26.9598
40693,26.2045
42495,31.3339
44376,30.3300
46341,29.3656
48393,28.4674
50535,29.5938
52773,28.7193
55109,27.9165
57549,28.2806
60097,27.4363
62757,26.5607
65536,25.7956
68438,32.3597
71468,31.3371
74632,30.3522
77936,29.4152
81386,28.5252
84990,32.3190
88752,31.3405
92682,30.3802
96785,29.5099
101070,32.6110
105545,31.5905
110218,31.3478
115098,33.7170
120194,33.2091
125515,30.1263
131072,29.2774
