n,ns_limb
65536,44.6705
68438,45.1739
71468,44.1538
74632,48.4298
77936,48.2673
81386,48.0420
84990,73.9535
88752,72.7573
92682,72.4498
96785,48.5306
101070,48.1668
105545,47.9073
110218,47.4081
115098,46.5291
120194,46.9707
125515,47.1025
131072,47.6733
136875,46.8255
142935,46.2453
149263,50.9052
155872,50.7996
162773,50.8620
169979,77.7266
177505,76.8544
185364,76.3980
193571,52.9962
202141,53.2233
211090,52.7575
220436,52.4674
230195,52.7829
240387,52.3614
251030,52.2311
262144,51.7622
273750,51.2632
285870,50.7175
298527,55.9143
311744,55.3811
325546,55.2984
339959,80.6062
355010,79.8628
370728,79.4576
387141,57.4957
404281,57.1315
422180,56.4793
440872,56.3050
460391,55.8228
480774,55.1773
502060,55.1699
524288,54.8141
547500,55.1505
571740,54.0883
597053,60.6933
623487,58.4338
651091,57.8117
679917,82.5086
710020,82.0232
741455,81.6188
774282,60.5487
808563,60.9586
844361,60.2881
881744,60.0307
920782,59.9027
961548,59.6161
1004120,59.7018
1048576,59.7889
1095000,59.6793
1143480,61.9419
1194106,61.7840
1246974,61.6977
1302182,61.1179
1359835,85.6904
1420040,85.1811
1482910,85.2492
1548564,62.0615
1617125,61.5522
1688722,60.8789
1763488,60.4304
1841564,61.0577
1923097,60.9718
2008240,60.6971
2097152,60.6751
2190001,61.6124
2286960,65.3319
2388213,64.7638
2493948,64.4720
2604365,63.4858
2719670,89.6472
2840080,88.8941
2965821,88.2926
3097129,66.0965
3234251,65.3576
3377443,64.6322
3526975,64.2479
3683128,65.6006
3846194,64.9813
4016479,65.6231
4194304,65.7506
