n,ns_limb
128,7.3569
130,10.0775
132,10.0127
134,9.9000
136,9.7608
138,9.6286
140,9.4854
142,9.3554
144,9.2185
146,9.0871
148,8.9754
150,8.9219
152,8.7652
154,8.6503
156,8.5330
158,8.4238
160,8.3211
162,9.6835
164,9.5762
166,9.4648
168,9.5133
170,9.3820
172,8.9761
174,8.8223
176,8.7170
178,8.6232
180,8.5400
182,8.4639
184,8.3577
186,8.2632
188,8.1724
190,8.1074
192,7.9913
194,9.7636
196,9.6777
198,9.5859
200,9.7016
202,9.5096
204,9.4905
206,9.1755
208,9.1455
210,9.0717
212,9.0061
214,8.9237
216,8.8068
218,8.6979
220,8.7898
222,8.7580
224,8.6518
226,8.8194
228,8.7389
230,8.6522
232,8.5915
234,8.5086
236,8.4337
238,8.3665
240,8.2807
242,8.2225
244,8.1549
246,8.0879
248,8.0279
250,7.9771
252,7.9190
254,7.8562
256,7.7908
258,10.8326
260,10.7482
262,10.6811
264,10.5956
266,10.4982
268,10.4098
270,10.3316
272,10.2591
274,10.1869
276,10.1123
278,10.0442
280,9.9762
282,9.9080
284,9.8269
286,9.7704
288,9.7005
290,9.6231
292,9.5610
294,9.4950
296,9.4372
298,9.3839
300,9.3224
302,9.2600
304,9.2057
306,9.1532
308,9.0942
310,9.0335
312,8.9978
314,8.9265
316,8.8611
318,8.8035
320,8.7382
322,10.7791
324,10.7247
326,10.6597
328,10.6507
330,10.5787
332,10.5196
334,10.4528
336,10.3830
338,10.3078
340,10.2580
342,10.1568
344,10.1012
346,10.0449
348,9.9821
350,9.9277
352,9.8834
354,9.8233
356,9.7571
358,9.7084
360,9.6593
362,9.6050
364,9.5571
366,9.5084
368,9.4495
370,9.3978
372,9.3477
374,9.3039
376,9.2547
378,9.2017
380,9.1589
382,9.1159
384,9.0547
386,10.3981
388,10.3473
390,10.2877
392,10.2357
394,10.1767
396,10.1412
398,10.0898
400,10.0476
402,9.9919
404,9.9456
406,9.8991
408,9.8548
410,9.8021
412,9.7414
414,9.6862
416,9.6382
418,9.5952
420,9.5479
422,9.5052
424,9.4813
426,9.4285
428,9.3866
430,9.3473
432,9.3084
434,9.2700
436,9.2286
438,9.1826
440,9.1399
442,9.1037
444,9.1130
446,9.0575
448,8.9785
450,9.3897
452,9.3372
454,9.3230
456,9.2873
458,9.2193
460,9.1975
462,9.1583
464,9.1143
466,9.0822
468,9.0369
470,9.0180
472,8.9729
474,8.9404
476,8.8873
478,8.8568
480,8.8291
482,8.8015
484,8.7572
486,8.7185
488,8.6694
490,8.6402
492,8.6081
494,8.5713
496,8.5427
498,8.5134
500,8.4697
502,8.4339
504,8.4079
506,8.3569
508,8.3477
510,8.3242
512,8.2796
