n,ns_limb
128,5.6235
130,5.5300
132,5.8690
134,6.4420
136,6.3955
138,6.4703
140,6.3673
142,6.3291
144,6.4543
146,6.4425
148,6.4996
150,6.5931
152,6.6583
154,6.6413
156,6.2677
158,6.6548
160,6.8183
162,6.8158
164,6.8269
166,6.9008
168,6.8213
170,6.9798
172,7.0599
174,7.1442
176,7.0315
178,7.1651
180,7.1820
182,6.8937
184,7.2463
186,7.3643
188,7.3625
190,7.3138
192,7.3990
194,7.3980
196,7.5236
198,7.5288
200,7.5623
202,7.5960
204,7.6176
206,7.6801
208,7.3921
210,7.7380
212,7.8483
214,7.8733
216,7.9519
218,8.0125
220,7.9982
222,8.0343
224,8.0339
226,8.1365
228,8.1567
230,8.1858
232,8.2333
234,7.9710
236,8.3981
238,8.4805
240,8.4545
242,8.5301
244,8.5789
246,8.5937
248,8.6808
250,8.6219
252,8.7740
254,8.7740
256,8.8289
258,8.8949
260,8.5450
262,8.9659
264,9.6037
266,10.0170
268,10.1440
270,10.1681
272,10.1228
274,10.2157
276,10.1541
278,10.1967
280,10.2916
282,10.2804
284,10.2947
286,9.9516
288,10.1715
290,10.2081
292,10.2359
294,10.4363
296,10.3680
298,10.3053
300,10.4576
302,10.4495
304,10.4872
306,10.5635
308,10.5074
310,10.3772
312,9.8694
314,10.1593
316,10.4880
318,10.7072
320,10.7036
322,10.7661
324,10.7317
326,10.8856
328,10.7672
330,10.8384
332,10.9466
334,10.9435
336,10.8847
338,10.5897
340,10.9225
342,11.0364
344,11.0634
346,11.1326
348,11.1376
350,11.0662
352,11.1383
354,11.1456
356,11.2233
358,11.2230
360,11.2419
362,11.2018
364,10.7460
366,10.9673
368,11.1503
370,11.3582
372,11.4332
374,11.4931
376,11.5058
378,11.6829
380,11.6710
382,11.7539
384,11.6106
386,11.6691
388,11.7175
390,11.4294
392,11.6413
394,11.6788
396,11.6593
398,11.6574
400,11.7030
402,11.7081
404,11.7932
406,11.8045
408,11.8626
410,12.0056
412,11.9676
414,11.8403
416,11.4119
418,11.8248
420,11.9944
422,12.0718
424,12.1706
426,12.2454
428,12.2117
430,12.2730
432,12.2140
434,12.2370
436,12.3171
438,12.3513
440,12.3411
442,12.1466
444,12.3746
446,12.4585
448,12.4928
450,12.5401
452,12.5978
454,12.5764
456,12.6819
458,12.6341
460,12.6983
462,12.6745
464,12.7389
466,12.6404
468,12.2833
470,12.6525
472,12.8332
474,13.0072
476,13.0617
478,13.1009
480,13.1204
482,13.1503
484,13.0904
486,13.1154
488,13.1650
490,13.3183
492,13.2607
494,13.0568
496,13.2599
498,13.2841
500,13.3078
502,13.7073
504,13.6212
506,13.7341
508,13.8659
510,13.7115
512,13.8376
