n,ns_limb
128,5.4509
130,5.3623
132,5.6976
134,5.7225
136,5.6851
138,5.7272
140,5.8478
142,5.8509
144,6.0425
146,6.0747
148,6.1396
150,6.1763
152,6.6745
154,6.7221
156,6.2732
158,6.7881
160,6.9145
162,6.9118
164,6.9555
166,7.0696
168,6.9521
170,7.0837
172,7.1529
174,7.2600
176,7.1437
178,7.2529
180,7.2615
182,6.8881
184,7.2841
186,7.3692
188,7.3773
190,7.3764
192,7.4488
194,7.4571
196,7.5269
198,7.5267
200,7.6142
202,7.6191
204,7.6562
206,7.7114
208,7.4416
210,7.7817
212,8.7119
214,8.8820
216,8.0030
218,7.9675
220,7.9809
222,8.0457
224,8.0459
226,8.0447
228,8.1766
230,8.2092
232,8.2709
234,7.9742
236,8.3456
238,8.4414
240,8.4133
242,8.5099
244,8.5600
246,8.5762
248,8.6658
250,8.6059
252,8.7623
254,8.7929
256,8.8524
258,8.9109
260,8.5581
262,8.9890
264,9.0838
266,9.0573
268,9.0811
270,9.1483
272,9.1643
274,9.1964
276,9.1896
278,9.3716
280,9.3475
282,9.3715
284,9.3941
286,9.1057
288,9.4260
290,9.5522
292,9.5450
294,9.6249
296,9.7082
298,9.6804
300,9.7302
302,9.7471
304,10.0629
306,10.5555
308,10.5648
310,10.2575
312,9.8432
314,10.1780
316,10.4794
318,10.6462
320,10.6398
322,10.7181
324,10.6932
326,10.7958
328,10.6874
330,10.7559
332,10.8093
334,10.5755
336,10.5161
338,10.2517
340,10.6004
342,10.6842
344,10.7134
346,10.7795
348,10.7972
350,10.7830
352,11.0731
354,11.0702
356,11.1446
358,11.2026
360,11.1966
362,11.1125
364,10.6522
366,10.9410
368,11.1334
370,11.3155
372,11.4322
374,11.4864
376,11.4934
378,11.6151
380,11.6036
382,11.7204
384,11.5653
386,11.6028
388,11.5613
390,11.3881
392,11.6045
394,11.6351
396,11.6194
398,11.6469
400,11.7436
402,11.7394
404,11.7885
406,11.7489
408,11.7956
410,11.8511
412,11.8909
414,11.8033
416,11.4289
418,11.7722
420,11.9280
422,12.0728
424,12.1373
426,12.2119
428,12.1925
430,12.2752
432,12.2418
434,12.2613
436,12.3278
438,12.3824
440,12.4062
442,12.1947
444,12.3939
446,12.4925
448,12.5148
450,12.5282
452,12.5611
454,12.5688
456,12.7117
458,12.6599
460,12.7454
462,12.7276
464,12.8060
466,12.6507
468,12.2802
470,12.6604
472,12.8021
474,12.9743
476,13.0339
478,13.0950
480,13.0888
482,13.0956
484,13.0317
486,13.0707
488,12.9140
490,13.0187
492,12.9025
494,12.6851
496,12.9618
498,12.9493
500,12.9944
502,13.3307
504,13.2557
506,13.3519
508,13.4851
510,13.3162
512,13.4360
