n,ns_limb
128,5.5516
130,5.4414
132,5.7378
134,5.7806
136,5.8177
138,5.8654
140,5.9714
142,5.9958
144,6.1118
146,6.1435
148,6.2365
150,6.2641
152,6.3646
154,6.3927
156,6.3090
158,6.7899
160,6.9489
162,6.9138
164,6.9923
166,7.0735
168,6.9898
170,7.1078
172,7.1741
174,7.2771
176,7.1377
178,7.1730
180,7.2295
182,6.8891
184,7.2787
186,7.3868
188,7.3852
190,7.3692
192,7.4559
194,7.4622
196,7.5378
198,7.5296
200,7.5866
202,7.6662
204,7.6875
206,7.6919
208,7.4293
210,7.7728
212,7.8683
214,7.8572
216,7.9342
218,8.0104
220,8.0093
222,8.0618
224,8.0497
226,8.1539
228,8.1793
230,8.2103
232,8.2930
234,7.9944
236,8.3721
238,8.4740
240,8.4367
242,8.5193
244,8.5796
246,8.6115
248,8.6705
250,8.6173
252,8.7412
254,8.7979
256,8.8538
258,8.9143
260,8.5454
262,8.9714
264,9.0719
266,9.0585
268,9.0716
270,9.1436
272,9.1525
274,9.2103
276,9.2032
278,9.3333
280,9.3324
282,9.3599
284,9.4065
286,9.1117
288,9.4208
290,9.5387
292,9.5564
294,9.6155
296,9.6952
298,9.7038
300,9.7411
302,9.7531
304,9.8568
306,9.8663
308,9.9206
310,9.8404
312,9.7549
314,10.1758
316,10.4992
318,10.7004
320,10.6687
322,10.7373
324,10.6901
326,10.8248
328,10.7340
330,10.7879
332,10.8995
334,10.9274
336,10.8604
338,10.6147
340,10.8627
342,10.9482
344,11.0023
346,11.0471
348,11.0468
350,10.9786
352,11.0772
354,11.0981
356,11.1666
358,11.2562
360,11.2758
362,11.1391
364,10.6529
366,10.9549
368,11.1557
370,11.3520
372,11.4276
374,11.4729
376,11.4754
378,11.6603
380,11.6506
382,11.7285
384,11.5752
386,11.6188
388,11.5624
390,11.3770
392,11.6568
394,11.6976
396,11.6822
398,11.6865
400,11.7655
402,11.7833
404,11.8546
406,11.8509
408,11.9284
410,11.9372
412,11.9845
414,11.8761
416,11.4255
418,11.7828
420,11.9402
422,12.0905
424,12.1236
426,12.2211
428,12.1874
430,12.2875
432,12.2589
434,12.2750
436,12.3726
438,12.4396
440,12.4297
442,12.2443
444,12.4367
446,12.5454
448,12.5944
450,12.5514
452,12.5689
454,12.5442
456,12.6851
458,12.6751
460,12.7513
462,12.7736
464,12.8442
466,12.6637
468,12.2863
470,12.6546
472,12.8162
474,12.9987
476,13.0962
478,13.1120
480,13.1020
482,13.1177
484,13.0743
486,13.1244
488,13.1664
490,13.3484
492,13.2327
494,13.0033
496,13.2310
498,13.2684
500,13.3340
502,13.7172
504,13.6086
506,13.7216
508,13.8402
510,13.6731
512,13.7823
