ratio,an,bn,ns_call
1.0000,128,128,940.1
1.0000,132,132,1335.0
1.0000,136,136,1345.3
1.0000,140,140,1315.3
1.0000,144,144,1305.2
1.0000,148,148,1316.4
1.0000,152,152,1316.1
1.0000,156,156,1315.0
1.0000,160,160,1308.3
1.0000,164,164,1531.6
1.0000,168,168,1535.5
1.0000,172,172,1534.5
1.0000,176,176,1537.5
1.0000,180,180,1531.8
1.0000,184,184,1536.1
1.0000,188,188,1533.1
1.0000,192,192,1533.1
1.0000,196,196,1897.7
1.0000,200,200,1894.9
1.0000,204,204,1909.7
1.0000,208,208,1902.2
1.0000,212,212,1901.1
1.0000,216,216,1896.7
1.0000,220,220,1899.4
1.0000,224,224,1896.6
1.0000,228,228,1933.2
1.0000,232,232,1932.4
1.0000,236,236,1937.1
1.0000,240,240,1938.4
1.0000,244,244,1939.0
1.0000,248,248,1940.2
1.0000,252,252,1939.2
1.0000,256,256,1938.9
1.0000,260,260,2723.9
1.0000,264,264,2726.0
1.0000,268,268,2730.9
1.0000,272,272,2725.6
1.0000,276,276,2728.8
1.0000,280,280,2730.0
1.0000,284,284,2731.9
1.0000,288,288,2731.3
1.0000,292,292,2733.9
1.0000,296,296,2734.2
1.0000,300,300,2738.7
1.0000,304,304,2737.7
1.0000,308,308,2738.0
1.0000,312,312,2791.5
1.0000,316,316,2745.2
1.0000,320,320,2758.1
1.0000,324,324,3306.8
1.0000,328,328,3308.0
1.0000,332,332,3309.1
1.0000,336,336,3310.6
1.0000,340,340,3298.7
1.0000,344,344,3298.5
1.0000,348,348,3297.7
1.0000,352,352,3298.9
1.0000,356,356,3302.2
1.0000,360,360,3297.4
1.0000,364,364,3301.5
1.0000,368,368,3302.5
1.0000,372,372,3299.5
1.0000,376,376,3296.8
1.0000,380,380,3302.6
1.0000,384,384,3303.2
1.0000,388,388,3966.4
1.0000,392,392,3974.7
1.0000,396,396,3970.7
1.0000,400,400,3979.0
1.0000,404,404,3978.4
1.0000,408,408,3983.4
1.0000,412,412,3979.8
1.0000,416,416,3981.3
1.0000,420,420,3979.9
1.0000,424,424,3979.1
1.0000,428,428,3985.9
1.0000,432,432,3986.8
1.0000,436,436,3978.1
1.0000,440,440,3991.8
1.0000,444,444,3991.6
1.0000,448,448,3989.0
1.0000,452,452,4150.0
1.0000,456,456,4147.7
1.0000,460,460,4153.9
1.0000,464,464,4149.7
1.0000,468,468,4160.4
1.0000,472,472,4155.1
1.0000,476,476,4156.1
1.0000,480,480,4161.2
1.0000,484,484,4164.6
1.0000,488,488,4149.1
1.0000,492,492,4281.1
1.0000,496,496,4167.8
1.0000,500,500,4162.2
1.0000,504,504,4167.0
1.0000,508,508,4172.7
1.0000,512,512,4164.1
1.0000,516,516,5771.3
1.0000,520,520,5788.4
1.0000,524,524,5784.1
1.0000,528,528,5786.5
1.0000,532,532,5790.4
1.0000,536,536,5799.9
1.0000,540,540,5779.9
1.0000,544,544,5786.4
1.0000,548,548,5789.0
1.0000,552,552,5804.5
1.0000,556,556,5815.7
1.0000,560,560,5791.4
1.0000,564,564,5790.8
1.0000,568,568,5802.1
1.0000,572,572,5796.2
1.0000,576,576,5802.9
1.0000,580,580,5811.6
1.0000,584,584,5797.3
1.0000,588,588,5803.3
1.0000,592,592,5796.5
1.0000,596,596,5806.3
1.0000,600,600,5805.3
1.0000,604,604,5802.0
1.0000,608,608,5798.0
1.0000,612,612,5797.0
1.0000,616,616,5799.7
1.0000,620,620,5800.3
1.0000,624,624,5798.9
1.0000,628,628,5801.5
1.0000,632,632,5801.3
1.0000,636,636,5800.5
1.0000,640,640,5807.9
1.0000,644,644,6868.2
1.0000,648,648,6883.5
1.0000,652,652,6875.9
1.0000,656,656,6878.9
1.0000,660,660,6870.0
1.0000,664,664,6877.6
1.0000,668,668,6878.6
1.0000,672,672,6878.1
1.0000,676,676,6875.5
1.0000,680,680,6866.4
1.0000,684,684,6872.1
1.0000,688,688,6866.8
1.0000,692,692,6869.4
1.0000,696,696,6873.4
1.0000,700,700,6867.7
1.0000,704,704,6872.2
1.0000,708,708,6868.7
1.0000,712,712,6873.6
1.0000,716,716,6876.6
1.0000,720,720,6874.7
1.0000,724,724,6873.9
1.0000,728,728,6874.7
1.0000,732,732,6874.1
1.0000,736,736,6877.2
1.0000,740,740,6877.3
1.0000,744,744,6871.1
1.0000,748,748,6877.5
1.0000,752,752,6882.1
1.0000,756,756,6878.3
1.0000,760,760,6882.8
1.0000,764,764,6880.8
1.0000,768,768,6881.8
1.0000,772,772,8312.0
1.0000,776,776,8323.0
1.0000,780,780,8318.2
1.0000,784,784,8326.6
1.0000,788,788,8331.1
1.0000,792,792,8329.1
1.0000,796,796,8331.7
1.0000,800,800,8327.7
1.0000,804,804,8319.2
1.0000,808,808,8332.3
1.0000,812,812,8329.8
1.0000,816,816,8328.3
1.0000,820,820,8335.3
1.0000,824,824,8327.2
1.0000,828,828,8329.8
1.0000,832,832,8326.5
1.0000,836,836,8330.8
1.0000,840,840,8333.9
1.0000,844,844,8336.7
1.0000,848,848,8339.3
1.0000,852,852,8329.9
1.0000,856,856,8333.9
1.0000,860,860,8335.8
1.0000,864,864,8331.9
1.0000,868,868,8333.7
1.0000,872,872,8397.4
1.0000,876,876,8351.5
1.0000,880,880,8352.5
1.0000,884,884,8355.6
1.0000,888,888,8349.2
1.0000,892,892,8363.3
1.0000,896,896,8341.8
1.0000,900,900,8785.5
1.0000,904,904,8808.6
1.0000,908,908,8812.0
1.0000,912,912,8803.4
1.0000,916,916,8795.2
1.0000,920,920,8778.5
1.0000,924,924,8779.3
1.0000,928,928,8781.7
1.0000,932,932,8777.8
1.0000,936,936,8805.3
1.0000,940,940,8812.4
1.0000,944,944,8808.3
1.0000,948,948,8808.2
1.0000,952,952,8787.1
1.0000,956,956,8780.5
1.0000,960,960,8777.2
1.0000,964,964,8788.8
1.0000,968,968,8816.3
1.0000,972,972,8803.8
1.0000,976,976,8799.9
1.0000,980,980,8802.9
1.0000,984,984,8791.7
1.0000,988,988,8778.2
1.0000,992,992,8795.9
1.0000,996,996,8798.9
1.0000,1000,1000,8815.9
1.0000,1004,1004,8822.8
1.0000,1008,1008,8825.8
1.0000,1012,1012,8828.2
1.0000,1016,1016,8809.3
1.0000,1020,1020,8797.9
1.0000,1024,1024,8811.2
1.0000,1028,1028,11990.9
1.0000,1032,1032,11928.4
1.0000,1036,1036,11936.5
1.0000,1040,1040,11941.9
1.0000,1044,1044,11937.5
1.0000,1048,1048,11937.8
1.0000,1052,1052,11930.2
1.0000,1056,1056,11918.9
1.0000,1060,1060,11971.8
1.0000,1064,1064,11957.4
1.0000,1068,1068,11955.9
1.0000,1072,1072,11961.8
1.0000,1076,1076,11941.1
1.0000,1080,1080,11948.4
1.0000,1084,1084,11945.4
1.0000,1088,1088,11947.8
1.0000,1092,1092,11957.4
1.0000,1096,1096,11967.2
1.0000,1100,1100,11982.8
1.0000,1104,1104,11985.8
1.0000,1108,1108,11977.2
1.0000,1112,1112,11985.8
1.0000,1116,1116,11989.5
1.0000,1120,1120,11974.6
1.0000,1124,1124,11962.9
