ratio,an,bn,ns_call
1.0000,128,128,719.3
1.0000,132,132,744.5
1.0000,136,136,782.7
1.0000,140,140,829.7
1.0000,144,144,873.1
1.0000,148,148,916.7
1.0000,152,152,960.3
1.0000,156,156,978.4
1.0000,160,160,1108.8
1.0000,164,164,1140.3
1.0000,168,168,1166.5
1.0000,172,172,1228.4
1.0000,176,176,1250.0
1.0000,180,180,1291.6
1.0000,184,184,1324.9
1.0000,188,188,1376.5
1.0000,192,192,1417.4
1.0000,196,196,1461.3
1.0000,200,200,1506.2
1.0000,204,204,1559.7
1.0000,208,208,1538.2
1.0000,212,212,1656.4
1.0000,216,216,1712.0
1.0000,220,220,1760.0
1.0000,224,224,1803.9
1.0000,228,228,1871.1
1.0000,232,232,1917.4
1.0000,236,236,1962.1
1.0000,240,240,2010.7
1.0000,244,244,2084.5
1.0000,248,248,2141.1
1.0000,252,252,2192.0
1.0000,256,256,2262.8
1.0000,260,260,2207.4
1.0000,264,264,2382.7
1.0000,268,268,2433.8
1.0000,272,272,2490.9
1.0000,276,276,2538.8
1.0000,280,280,2601.5
1.0000,284,284,2652.5
1.0000,288,288,2701.7
1.0000,292,292,2776.0
1.0000,296,296,2864.0
1.0000,300,300,2901.5
1.0000,304,304,2983.0
1.0000,308,308,3048.3
1.0000,312,312,3068.2
1.0000,316,316,2806.9
1.0000,320,320,2810.7
1.0000,324,324,3340.3
1.0000,328,328,3346.0
1.0000,332,332,3346.2
1.0000,336,336,3347.0
1.0000,340,340,3345.9
1.0000,344,344,3349.5
1.0000,348,348,3348.7
1.0000,352,352,3348.5
1.0000,356,356,3352.2
1.0000,360,360,3351.0
1.0000,364,364,3355.1
1.0000,368,368,3353.6
1.0000,372,372,3353.3
1.0000,376,376,3356.9
1.0000,380,380,3364.4
1.0000,384,384,3358.9
1.0000,388,388,4016.4
1.0000,392,392,4011.2
1.0000,396,396,3998.5
1.0000,400,400,3996.4
1.0000,404,404,4011.7
1.0000,408,408,4007.3
1.0000,412,412,4005.6
1.0000,416,416,4012.5
1.0000,420,420,4008.0
1.0000,424,424,4007.1
1.0000,428,428,4016.3
1.0000,432,432,4017.6
1.0000,436,436,4018.7
1.0000,440,440,4018.5
1.0000,444,444,4026.5
1.0000,448,448,4008.7
1.0000,452,452,4239.0
1.0000,456,456,4239.6
1.0000,460,460,4245.0
1.0000,464,464,4248.7
1.0000,468,468,4240.5
1.0000,472,472,4256.6
1.0000,476,476,4248.2
1.0000,480,480,4258.9
1.0000,484,484,4257.2
1.0000,488,488,4259.9
1.0000,492,492,4253.5
1.0000,496,496,4253.6
1.0000,500,500,4263.3
1.0000,504,504,4257.7
1.0000,508,508,4261.2
1.0000,512,512,4264.2
1.0000,516,516,5856.3
1.0000,520,520,5852.1
1.0000,524,524,5867.2
1.0000,528,528,5858.0
1.0000,532,532,5877.7
1.0000,536,536,5876.3
1.0000,540,540,5889.1
1.0000,544,544,5879.9
1.0000,548,548,5873.2
1.0000,552,552,5875.8
1.0000,556,556,5875.4
1.0000,560,560,5871.3
1.0000,564,564,5879.0
1.0000,568,568,5875.4
1.0000,572,572,5875.5
1.0000,576,576,5865.8
1.0000,580,580,5870.5
1.0000,584,584,5873.2
1.0000,588,588,5875.5
1.0000,592,592,5877.4
1.0000,596,596,5874.3
1.0000,600,600,5874.2
1.0000,604,604,5871.1
1.0000,608,608,5872.4
1.0000,612,612,5868.6
1.0000,616,616,5869.4
1.0000,620,620,5868.0
1.0000,624,624,5869.2
1.0000,628,628,5871.3
1.0000,632,632,5875.1
1.0000,636,636,5877.7
1.0000,640,640,5872.1
1.0000,644,644,6903.9
1.0000,648,648,6899.4
1.0000,652,652,6900.1
1.0000,656,656,6903.2
1.0000,660,660,6898.1
1.0000,664,664,6900.5
1.0000,668,668,6900.7
1.0000,672,672,6920.5
1.0000,676,676,6907.9
1.0000,680,680,6904.4
1.0000,684,684,6905.2
1.0000,688,688,6902.6
1.0000,692,692,6903.7
1.0000,696,696,6906.4
1.0000,700,700,6901.8
1.0000,704,704,6900.6
1.0000,708,708,6907.8
1.0000,712,712,6904.9
1.0000,716,716,6909.4
1.0000,720,720,6907.4
1.0000,724,724,6907.2
1.0000,728,728,6910.5
1.0000,732,732,6910.0
1.0000,736,736,6912.5
1.0000,740,740,6914.3
1.0000,744,744,6914.5
1.0000,748,748,6929.1
1.0000,752,752,6978.4
1.0000,756,756,6932.3
1.0000,760,760,6949.8
1.0000,764,764,6935.0
1.0000,768,768,6947.5
1.0000,772,772,8457.2
1.0000,776,776,8465.0
1.0000,780,780,8463.4
1.0000,784,784,8462.0
1.0000,788,788,8461.1
1.0000,792,792,8479.5
1.0000,796,796,8477.4
1.0000,800,800,8476.2
1.0000,804,804,8442.0
1.0000,808,808,8455.7
1.0000,812,812,8461.2
1.0000,816,816,8432.4
1.0000,820,820,8469.5
1.0000,824,824,8456.6
1.0000,828,828,8450.1
1.0000,832,832,8450.2
1.0000,836,836,8508.9
1.0000,840,840,8478.1
1.0000,844,844,8450.9
1.0000,848,848,8471.6
1.0000,852,852,8465.7
1.0000,856,856,8466.2
1.0000,860,860,8456.2
1.0000,864,864,8461.4
1.0000,868,868,8457.4
1.0000,872,872,8456.5
1.0000,876,876,8473.4
1.0000,880,880,8473.8
1.0000,884,884,8467.4
1.0000,888,888,8461.5
1.0000,892,892,8469.1
1.0000,896,896,8463.8
1.0000,900,900,8991.8
1.0000,904,904,8979.0
1.0000,908,908,8992.6
1.0000,912,912,8986.8
1.0000,916,916,8980.9
1.0000,920,920,9003.5
1.0000,924,924,9008.8
1.0000,928,928,9008.7
1.0000,932,932,9013.1
1.0000,936,936,9017.7
1.0000,940,940,9002.9
1.0000,944,944,8993.9
1.0000,948,948,8999.1
1.0000,952,952,8993.0
1.0000,956,956,8995.1
