ratio,an,bn,ns_call
1.0000,128,128,767.1
1.0000,132,132,826.8
1.0000,136,136,769.7
1.0000,140,140,817.1
1.0000,144,144,861.0
1.0000,148,148,900.4
1.0000,152,152,942.4
1.0000,156,156,958.1
1.0000,160,160,1080.9
1.0000,164,164,1115.0
1.0000,168,168,1141.3
1.0000,172,172,1202.8
1.0000,176,176,1230.2
1.0000,180,180,1271.4
1.0000,184,184,1306.5
1.0000,188,188,1349.6
1.0000,192,192,1413.5
1.0000,196,196,1447.7
1.0000,200,200,1492.5
1.0000,204,204,1529.6
1.0000,208,208,1506.3
1.0000,212,212,1626.6
1.0000,216,216,1672.4
1.0000,220,220,1725.1
1.0000,224,224,1766.3
1.0000,228,228,1829.5
1.0000,232,232,1878.8
1.0000,236,236,1922.8
1.0000,240,240,1979.4
1.0000,244,244,2039.3
1.0000,248,248,2099.8
1.0000,252,252,2154.7
1.0000,256,256,2212.4
1.0000,260,260,2174.7
1.0000,264,264,2327.6
1.0000,268,268,2374.2
1.0000,272,272,2434.8
1.0000,276,276,2483.2
1.0000,280,280,2561.8
1.0000,284,284,2610.0
1.0000,288,288,2656.2
1.0000,292,292,2724.7
1.0000,296,296,2820.2
1.0000,300,300,2868.4
1.0000,304,304,2947.1
1.0000,308,308,2997.0
1.0000,312,312,3039.6
1.0000,316,316,3253.8
1.0000,320,320,3317.4
1.0000,324,324,3378.2
1.0000,328,328,3423.1
1.0000,332,332,3540.1
1.0000,336,336,3579.1
1.0000,340,340,3629.0
1.0000,344,344,3710.3
1.0000,348,348,3785.2
1.0000,352,352,3826.0
1.0000,356,356,3900.0
1.0000,360,360,3957.7
1.0000,364,364,3814.4
1.0000,368,368,4041.0
1.0000,372,372,4153.2
1.0000,376,376,4185.8
1.0000,380,380,4305.4
1.0000,384,384,4364.5
1.0000,388,388,4420.4
1.0000,392,392,4455.3
1.0000,396,396,4516.7
1.0000,400,400,4623.0
1.0000,404,404,4644.5
1.0000,408,408,4699.2
1.0000,412,412,4790.4
1.0000,416,416,4679.8
1.0000,420,420,4907.9
1.0000,424,424,5025.5
1.0000,428,428,5090.4
1.0000,432,432,5147.3
1.0000,436,436,5264.4
1.0000,440,440,5332.5
1.0000,444,444,5390.9
1.0000,448,448,5473.3
1.0000,452,452,5536.6
1.0000,456,456,5652.6
1.0000,460,460,5717.4
1.0000,464,464,5791.6
1.0000,468,468,5661.8
1.0000,472,472,5953.8
1.0000,476,476,6087.1
1.0000,480,480,6143.4
1.0000,484,484,6200.6
1.0000,488,488,6296.5
1.0000,492,492,6415.5
1.0000,496,496,6447.4
1.0000,500,500,6536.2
1.0000,504,504,6747.4
1.0000,508,508,6897.1
1.0000,512,512,6862.0
1.0000,516,516,7036.8
1.0000,520,520,7082.0
1.0000,524,524,7166.5
1.0000,528,528,7204.7
1.0000,532,532,7255.5
1.0000,536,536,7395.3
1.0000,540,540,7365.3
1.0000,544,544,7365.3
1.0000,548,548,7415.8
1.0000,552,552,7614.5
1.0000,556,556,7824.5
1.0000,560,560,7888.0
1.0000,564,564,7986.7
1.0000,568,568,7993.1
1.0000,572,572,8132.4
1.0000,576,576,8241.9
1.0000,580,580,8286.8
1.0000,584,584,8294.2
1.0000,588,588,8353.7
1.0000,592,592,8418.7
1.0000,596,596,8632.0
1.0000,600,600,8792.1
1.0000,604,604,8879.7
1.0000,608,608,8913.0
1.0000,612,612,9068.8
1.0000,616,616,9103.9
1.0000,620,620,8991.8
1.0000,624,624,9046.8
1.0000,628,628,9257.3
1.0000,632,632,9593.4
1.0000,636,636,9623.3
1.0000,640,640,9708.1
1.0000,644,644,9887.4
1.0000,648,648,9875.1
1.0000,652,652,10030.8
1.0000,656,656,10135.6
1.0000,660,660,10157.9
1.0000,664,664,10215.2
1.0000,668,668,10306.7
1.0000,672,672,10414.8
1.0000,676,676,10482.2
1.0000,680,680,10605.9
1.0000,684,684,10726.9
1.0000,688,688,10740.2
1.0000,692,692,10897.0
1.0000,696,696,10929.2
1.0000,700,700,10727.7
1.0000,704,704,11098.3
1.0000,708,708,11310.1
1.0000,712,712,11453.2
1.0000,716,716,11575.5
1.0000,720,720,11620.2
1.0000,724,724,11611.9
1.0000,728,728,11812.7
1.0000,732,732,11884.2
