an,bn,ratio,gmp_ns,simd_ns,speedup
8,1,0.1250,3.6,20.1,0.1795
8,2,0.2000,6.3,21.4,0.2961
8,2,0.2500,6.4,21.6,0.2979
8,3,0.3333,8.8,21.5,0.4071
8,3,0.4000,8.7,21.6,0.4015
8,4,0.5000,11.3,22.4,0.5046
8,5,0.6500,14.1,19.2,0.7353
8,6,0.8000,16.8,23.6,0.7118
8,8,1.0000,22.3,25.1,0.8880
9,1,0.1250,3.8,20.0,0.1883
9,2,0.2000,6.6,21.2,0.3129
9,2,0.2500,6.7,21.1,0.3196
9,3,0.3333,9.5,20.0,0.4735
9,4,0.4000,12.5,18.4,0.6783
9,5,0.5000,15.4,23.5,0.6538
9,6,0.6500,18.4,23.7,0.7758
9,7,0.8000,21.6,25.0,0.8613
9,9,1.0000,27.6,25.2,1.0963
10,1,0.1250,4.2,20.1,0.2100
10,2,0.2000,7.2,19.6,0.3685
10,3,0.2500,10.4,17.8,0.5862
10,3,0.3333,10.5,17.9,0.5893
10,4,0.4000,14.0,22.6,0.6181
10,5,0.5000,17.1,23.5,0.7284
10,7,0.6500,23.9,24.9,0.9577
10,8,0.8000,27.2,25.4,1.0726
10,10,1.0000,34.3,28.6,1.2018
11,1,0.1250,4.5,18.7,0.2431
11,2,0.2000,7.9,17.3,0.4568
11,3,0.2500,11.4,22.0,0.5175
11,4,0.3333,15.0,22.7,0.6630
11,4,0.4000,15.1,22.6,0.6647
11,6,0.5000,22.4,23.7,0.9459
11,7,0.6500,25.9,25.3,1.0235
11,9,0.8000,33.6,27.9,1.2057
11,11,1.0000,40.9,30.0,1.3628
12,2,0.1250,8.4,21.3,0.3967
12,2,0.2000,8.5,21.3,0.3981
12,3,0.2500,12.3,22.0,0.5594
12,4,0.3333,16.3,22.5,0.7253
12,5,0.4000,20.2,23.4,0.8635
12,6,0.5000,24.1,23.8,1.0134
12,8,0.6500,32.4,26.1,1.2439
12,10,0.8000,40.2,29.0,1.3875
12,12,1.0000,48.0,30.3,1.5813
13,2,0.1250,8.8,21.2,0.4156
13,3,0.2000,13.0,21.9,0.5934
13,3,0.2500,13.0,22.0,0.5911
13,4,0.3333,17.1,22.5,0.7627
13,5,0.4000,21.6,24.1,0.8958
13,7,0.5000,30.4,25.5,1.1888
13,8,0.6500,34.5,26.6,1.2951
13,10,0.8000,43.0,28.8,1.4931
13,13,1.0000,55.2,29.7,1.8582
14,2,0.1250,9.4,22.6,0.4153
14,3,0.2000,13.9,23.5,0.5909
14,4,0.2500,18.4,24.1,0.7639
14,5,0.3333,23.3,22.8,1.0221
14,6,0.4000,27.7,26.2,1.0574
14,7,0.5000,32.4,28.9,1.1188
14,9,0.6500,41.3,29.1,1.4192
14,11,0.8000,50.1,28.2,1.7766
14,14,1.0000,63.4,33.1,1.9154
15,2,0.1250,10.0,22.5,0.4461
15,3,0.2000,14.7,23.0,0.6408
15,4,0.2500,20.0,21.6,0.9276
15,5,0.3333,24.7,25.4,0.9738
15,6,0.4000,29.7,25.9,1.1468
15,8,0.5000,39.3,28.6,1.3718
15,10,0.6500,48.8,28.3,1.7266
15,12,0.8000,58.2,30.6,1.9029
15,15,1.0000,72.5,33.6,2.1575
16,2,0.1250,10.5,22.5,0.4663
16,3,0.2000,16.1,20.9,0.7726
16,4,0.2500,21.1,24.1,0.8755
16,5,0.3333,26.4,25.3,1.0440
16,6,0.4000,31.4,25.8,1.2201
16,8,0.5000,41.5,29.3,1.4131
16,10,0.6500,51.7,28.7,1.7982
16,13,0.8000,66.8,31.7,2.1053
16,16,1.0000,82.2,33.8,2.4330
17,2,0.1250,11.3,20.5,0.5519
17,3,0.2000,17.0,23.6,0.7193
17,4,0.2500,22.3,24.3,0.9157
17,6,0.3333,33.1,26.2,1.2646
17,7,0.4000,38.5,29.0,1.3291
17,9,0.5000,49.1,28.7,1.7067
17,11,0.6500,59.7,31.7,1.8803
17,14,0.8000,75.6,33.6,2.2498
17,17,1.0000,91.7,37.0,2.4747
18,2,0.1250,11.9,22.6,0.5281
18,4,0.2000,23.6,24.2,0.9727
18,5,0.2500,29.1,25.4,1.1481
18,6,0.3333,34.8,25.8,1.3506
18,7,0.4000,40.4,27.7,1.4585
18,9,0.5000,51.8,31.5,1.6438
18,12,0.6500,68.5,33.7,2.0318
18,14,0.8000,79.9,32.8,2.4381
18,18,1.0000,102.2,39.4,2.5939
19,2,0.1250,12.6,22.5,0.5569
19,4,0.2000,24.6,24.7,0.9971
19,5,0.2500,30.6,25.5,1.1998
19,6,0.3333,36.6,24.4,1.4993
19,8,0.4000,48.4,30.6,1.5846
19,10,0.5000,60.2,32.4,1.8595
19,12,0.6500,71.8,34.0,2.1101
19,15,0.8000,89.4,36.2,2.4669
19,19,1.0000,112.8,39.4,2.8622
20,3,0.1250,19.6,24.9,0.7870
20,4,0.2000,25.8,25.8,1.0023
20,5,0.2500,32.1,26.5,1.2080
20,7,0.3333,44.5,31.9,1.3975
20,8,0.4000,50.6,31.4,1.6128
20,10,0.5000,63.0,32.5,1.9379
20,13,0.6500,81.4,35.3,2.3096
20,16,0.8000,99.8,37.6,2.6567
20,20,1.0000,124.1,43.3,2.8659
21,3,0.1250,20.4,25.1,0.8128
21,4,0.2000,26.9,25.5,1.0553
21,5,0.2500,33.5,26.2,1.2770
21,7,0.3333,46.5,31.2,1.4925
21,8,0.4000,53.0,31.5,1.6789
21,11,0.5000,72.5,31.8,2.2802
21,14,0.6500,91.6,37.8,2.4211
21,17,0.8000,110.7,39.0,2.8415
21,21,1.0000,136.6,45.0,3.0333
22,3,0.1250,21.3,23.0,0.9228
22,4,0.2000,28.0,24.1,1.1645
22,6,0.2500,41.4,29.3,1.4131
22,7,0.3333,48.5,31.5,1.5399
22,9,0.4000,61.8,32.4,1.9072
22,11,0.5000,75.1,35.3,2.1278
22,14,0.6500,95.1,38.4,2.4800
22,18,0.8000,121.7,42.8,2.8405
22,22,1.0000,151.1,46.9,3.2190
23,3,0.1250,22.0,22.9,0.9608
23,5,0.2000,36.4,28.7,1.2693
23,6,0.2500,43.4,29.1,1.4900
23,8,0.3333,57.3,31.6,1.8158
23,9,0.4000,64.4,32.3,1.9923
23,12,0.5000,84.5,36.3,2.3306
23,15,0.6500,104.5,37.7,2.7688
23,18,0.8000,124.9,42.7,2.9286
23,23,1.0000,163.9,49.4,3.3156
24,3,0.1250,22.5,25.3,0.8890
24,5,0.2000,37.2,28.2,1.3199
24,6,0.2500,44.0,28.7,1.5342
24,8,0.3333,58.6,30.1,1.9494
24,10,0.4000,72.8,35.0,2.0804
24,12,0.5000,86.9,36.5,2.3792
24,16,0.6500,115.3,40.9,2.8159
24,19,0.8000,136.8,43.8,3.1199
24,24,1.0000,177.2,51.2,3.4600
25,3,0.1250,23.0,25.2,0.9115
25,5,0.2000,38.1,28.2,1.3502
25,6,0.2500,45.4,28.7,1.5835
25,8,0.3333,60.4,32.2,1.8748
25,10,0.4000,75.3,35.1,2.1463
25,13,0.5000,97.6,37.8,2.5844
25,16,0.6500,119.7,40.9,2.9250
25,20,0.8000,149.6,44.4,3.3666
25,25,1.0000,191.4,52.9,3.6186
26,3,0.1250,24.3,25.2,0.9648
26,5,0.2000,40.1,28.0,1.4290
26,7,0.2500,55.6,32.6,1.7054
26,9,0.3333,71.6,34.9,2.0484
26,10,0.4000,79.3,35.9,2.2066
26,13,0.5000,102.6,37.8,2.7183
26,17,0.6500,134.1,43.0,3.1226
26,21,0.8000,165.6,49.0,3.3820
26,26,1.0000,209.7,54.3,3.8634
27,3,0.1250,25.2,26.6,0.9440
27,5,0.2000,41.7,29.9,1.3949
27,7,0.2500,58.0,35.3,1.6441
27,9,0.3333,74.2,36.5,2.0338
27,11,0.4000,90.3,36.5,2.4745
27,14,0.5000,114.7,43.6,2.6321
27,18,0.6500,147.5,46.0,3.2080
27,22,0.8000,184.7,53.9,3.4280
27,27,1.0000,226.6,61.2,3.7001
28,4,0.1250,35.0,26.8,1.3051
28,6,0.2000,51.8,32.6,1.5913
28,7,0.2500,60.6,35.0,1.7309
28,9,0.3333,77.5,36.9,2.1018
28,11,0.4000,94.5,37.3,2.5358
28,14,0.5000,119.7,43.9,2.7281
28,18,0.6500,153.2,49.1,3.1161
28,22,0.8000,190.6,54.7,3.4815
28,28,1.0000,210.0,62.6,3.3530
29,4,0.1250,35.8,29.0,1.2350
29,6,0.2000,53.1,32.4,1.6386
29,7,0.2500,61.8,35.0,1.7665
29,10,0.3333,88.1,37.2,2.3677
29,12,0.4000,105.5,40.9,2.5780
29,15,0.5000,131.9,44.6,2.9546
29,19,0.6500,170.8,50.5,3.3784
29,23,0.8000,205.8,55.8,3.6914
29,29,1.0000,229.2,63.8,3.5928
30,4,0.1250,37.0,28.9,1.2819
30,6,0.2000,54.9,32.6,1.6851
30,8,0.2500,73.2,35.1,2.0871
30,10,0.3333,91.1,40.1,2.2721
30,12,0.4000,109.0,41.5,2.6268
30,15,0.5000,136.1,43.9,3.1021
30,20,0.6500,184.7,52.6,3.5099
30,24,0.8000,220.9,59.5,3.7152
30,30,1.0000,237.8,68.6,3.4679
31,4,0.1250,38.2,29.1,1.3149
31,6,0.2000,56.6,32.2,1.7596
31,8,0.2500,75.3,35.0,2.1534
31,10,0.3333,93.9,40.1,2.3390
31,12,0.4000,112.6,42.8,2.6279
31,16,0.5000,150.0,47.9,3.1288
31,20,0.6500,191.6,52.3,3.6671
31,25,0.8000,237.6,62.4,3.8071
31,31,1.0000,257.6,72.7,3.5417
32,4,0.1250,39.3,28.7,1.3678
32,6,0.2000,58.2,31.5,1.8457
32,8,0.2500,77.7,37.0,2.1017
32,11,0.3333,106.5,41.2,2.5827
32,13,0.4000,125.7,43.0,2.9258
32,16,0.5000,154.7,48.3,3.2016
32,21,0.6500,206.6,55.9,3.6953
32,26,0.8000,254.4,63.4,4.0151
32,32,1.0000,267.7,74.2,3.6058
33,4,0.1250,39.8,30.6,1.3002
33,7,0.2000,69.8,39.4,1.7725
33,8,0.2500,79.6,39.6,2.0104
33,11,0.3333,109.4,42.2,2.5938
33,13,0.4000,129.0,45.6,2.8326
33,17,0.5000,168.4,51.3,3.2857
33,21,0.6500,213.0,59.8,3.5650
33,26,0.8000,262.7,66.2,3.9692
33,33,1.0000,287.6,80.0,3.5933
34,4,0.1250,41.5,30.7,1.3522
34,7,0.2000,72.3,39.5,1.8299
34,9,0.2500,92.8,41.2,2.2538
34,11,0.3333,113.2,41.5,2.7292
34,14,0.4000,143.4,49.4,2.9023
34,17,0.5000,174.1,52.3,3.3280
34,22,0.6500,228.9,62.2,3.6778
34,27,0.8000,279.9,71.0,3.9452
34,34,1.0000,298.0,82.2,3.6234
35,4,0.1250,42.3,29.7,1.4249
35,7,0.2000,73.9,39.7,1.8624
35,9,0.2500,95.3,41.6,2.2908
35,12,0.3333,126.3,46.3,2.7279
35,14,0.4000,147.2,49.9,2.9505
35,18,0.5000,193.1,57.4,3.3630
35,23,0.6500,245.5,64.1,3.8272
35,28,0.8000,269.6,74.0,3.6413
35,35,1.0000,320.2,86.5,3.7017
36,5,0.1250,54.5,35.5,1.5369
36,7,0.2000,76.1,39.4,1.9330
36,9,0.2500,97.5,41.6,2.3428
36,12,0.3333,129.9,47.3,2.7480
36,14,0.4000,151.3,50.1,3.0204
36,18,0.5000,198.2,58.1,3.4091
36,23,0.6500,251.9,67.8,3.7159
36,29,0.8000,292.0,75.7,3.8586
36,36,1.0000,332.1,90.4,3.6712
37,5,0.1250,55.8,35.5,1.5732
37,7,0.2000,77.6,39.6,1.9616
37,9,0.2500,99.9,44.1,2.2676
37,12,0.3333,133.3,51.2,2.6047
37,15,0.4000,164.6,50.4,3.2651
37,19,0.5000,211.2,59.1,3.5717
37,24,0.6500,266.1,68.5,3.8853
37,30,0.8000,306.8,78.7,3.9007
37,37,1.0000,353.7,91.4,3.8689
38,5,0.1250,56.0,34.7,1.6131
38,8,0.2000,89.6,41.0,2.1853
38,10,0.2500,111.9,44.8,2.4969
38,13,0.3333,145.1,48.7,2.9785
38,15,0.4000,167.2,52.3,3.1966
38,19,0.5000,215.3,60.0,3.5865
38,25,0.6500,282.4,70.5,4.0076
38,30,0.8000,297.2,79.3,3.7473
38,38,1.0000,365.4,94.0,3.8881
39,5,0.1250,57.6,34.9,1.6529
39,8,0.2000,92.2,41.6,2.2182
39,10,0.2500,115.0,45.2,2.5441
39,13,0.3333,149.1,48.2,3.0932
