an,bn,ratio,gmp_ns,simd_ns,speedup
8,1,0.1250,3.6,20.5,0.1784
8,2,0.2000,6.3,21.7,0.2880
8,2,0.2500,6.1,21.0,0.2900
8,3,0.3333,8.6,22.1,0.3876
8,3,0.4000,8.6,22.2,0.3875
8,4,0.5000,11.3,22.8,0.4949
8,5,0.6500,14.0,19.2,0.7306
8,6,0.8000,16.7,24.0,0.6952
8,8,1.0000,22.0,25.4,0.8689
9,1,0.1250,3.6,20.3,0.1780
9,2,0.2000,6.6,21.4,0.3060
9,2,0.2500,6.4,21.5,0.2992
9,3,0.3333,9.3,20.3,0.4567
9,4,0.4000,12.2,18.2,0.6724
9,5,0.5000,15.2,23.8,0.6411
9,6,0.6500,18.2,23.9,0.7590
9,7,0.8000,21.2,24.9,0.8483
9,9,1.0000,27.2,24.8,1.0974
10,1,0.1250,4.0,20.4,0.1983
10,2,0.2000,7.1,19.8,0.3584
10,3,0.2500,10.3,17.5,0.5861
10,3,0.3333,10.3,17.6,0.5828
10,4,0.4000,13.5,22.9,0.5912
10,5,0.5000,16.9,23.8,0.7105
10,7,0.6500,23.6,25.0,0.9444
10,8,0.8000,26.9,25.8,1.0456
10,10,1.0000,33.6,27.1,1.2413
11,1,0.1250,4.3,19.0,0.2284
11,2,0.2000,7.9,17.1,0.4606
11,3,0.2500,11.1,22.3,0.4990
11,4,0.3333,14.8,22.9,0.6464
11,4,0.4000,14.8,22.8,0.6486
11,6,0.5000,22.0,24.0,0.9160
11,7,0.6500,25.6,25.3,1.0123
11,9,0.8000,32.9,26.4,1.2449
11,11,1.0000,40.2,28.1,1.4316
12,2,0.1250,8.2,21.7,0.3767
12,2,0.2000,8.2,21.7,0.3789
12,3,0.2500,11.9,22.3,0.5347
12,4,0.3333,15.9,23.0,0.6942
12,5,0.4000,19.9,23.7,0.8389
12,6,0.5000,23.6,24.1,0.9827
12,8,0.6500,31.6,25.8,1.2214
12,10,0.8000,39.5,27.4,1.4421
12,12,1.0000,47.3,28.8,1.6433
13,2,0.1250,8.6,21.6,0.3979
13,3,0.2000,12.8,22.3,0.5731
13,3,0.2500,12.7,22.2,0.5719
13,4,0.3333,17.0,22.8,0.7459
13,5,0.4000,21.1,23.6,0.8917
13,7,0.5000,29.6,25.7,1.1481
13,8,0.6500,33.8,26.0,1.2993
13,10,0.8000,42.1,27.7,1.5223
13,13,1.0000,55.2,28.4,1.9461
14,2,0.1250,9.2,22.9,0.4006
14,3,0.2000,13.7,23.4,0.5845
14,4,0.2500,18.0,24.2,0.7435
