an,bn,ratio,gmp_ns,simd_ns,speedup
8,1,0.1250,3.6,20.1,0.1780
8,2,0.2000,6.3,21.3,0.2970
8,2,0.2500,6.3,21.2,0.2972
8,3,0.3333,8.8,22.3,0.3968
8,3,0.4000,8.4,21.5,0.3916
8,4,0.5000,11.2,22.4,0.4987
8,5,0.6500,13.7,18.4,0.7448
8,6,0.8000,16.2,23.3,0.6977
8,8,1.0000,21.5,25.0,0.8584
9,1,0.1250,3.6,19.8,0.1815
9,2,0.2000,6.3,20.6,0.3071
9,2,0.2500,6.4,20.7,0.3084
9,3,0.3333,9.1,19.9,0.4571
9,4,0.4000,13.7,24.7,0.5570
9,5,0.5000,15.0,28.4,0.5294
9,6,0.6500,17.8,23.4,0.7601
9,7,0.8000,20.9,25.1,0.8324
9,9,1.0000,26.9,24.9,1.0813
10,1,0.1250,4.0,20.1,0.1997
10,2,0.2000,7.1,19.5,0.3623
10,3,0.2500,10.3,16.8,0.6100
10,3,0.3333,10.3,16.9,0.6084
10,4,0.4000,13.6,23.2,0.5879
10,5,0.5000,16.8,23.8,0.7087
10,7,0.6500,23.5,25.4,0.9241
10,8,0.8000,26.9,25.8,1.0417
10,10,1.0000,33.5,26.9,1.2464
11,1,0.1250,4.4,18.7,0.2323
11,2,0.2000,7.7,16.5,0.4691
11,3,0.2500,11.2,22.4,0.5004
11,4,0.3333,14.8,23.1,0.6425
11,4,0.4000,14.8,23.0,0.6462
11,6,0.5000,21.9,23.9,0.9178
11,7,0.6500,25.6,25.7,0.9981
11,9,0.8000,32.9,26.4,1.2453
11,11,1.0000,40.0,27.7,1.4477
12,2,0.1250,8.2,21.5,0.3824
12,2,0.2000,8.2,21.4,0.3833
12,3,0.2500,12.1,22.5,0.5373
12,4,0.3333,16.0,22.9,0.6975
12,5,0.4000,19.8,23.7,0.8366
12,6,0.5000,23.8,23.8,1.0016
12,8,0.6500,31.5,25.9,1.2171
12,10,0.8000,39.4,27.1,1.4569
12,12,1.0000,47.2,28.4,1.6607
13,2,0.1250,8.6,21.6,0.3999
13,3,0.2000,12.7,22.2,0.5719
13,3,0.2500,12.7,22.2,0.5718
13,4,0.3333,16.9,22.6,0.7480
13,5,0.4000,21.1,23.5,0.8981
13,7,0.5000,29.4,25.9,1.1350
13,8,0.6500,33.6,25.9,1.2945
13,10,0.8000,42.0,27.1,1.5483
13,13,1.0000,54.4,27.8,1.9542
14,2,0.1250,9.1,22.7,0.4007
14,3,0.2000,13.6,23.7,0.5750
14,4,0.2500,18.0,24.3,0.7416
14,5,0.3333,22.6,21.9,1.0315
14,6,0.4000,27.0,25.3,1.0669
14,7,0.5000,31.5,27.9,1.1284
14,9,0.6500,40.5,28.4,1.4235
