an,bn,ratio,gmp_ns,simd_ns,speedup
8,1,0.1250,3.5,19.4,0.1802
8,2,0.2000,6.1,20.7,0.2923
8,2,0.2500,6.1,20.8,0.2925
8,3,0.3333,8.5,21.5,0.3935
8,3,0.4000,8.5,21.5,0.3941
8,4,0.5000,11.2,22.3,0.5024
8,5,0.6500,13.9,18.5,0.7491
8,6,0.8000,16.6,24.2,0.6878
8,8,1.0000,22.1,25.5,0.8661
9,1,0.1250,3.6,20.0,0.1809
9,2,0.2000,6.5,21.3,0.3053
9,2,0.2500,6.5,21.2,0.3056
9,3,0.3333,9.3,20.3,0.4555
9,4,0.4000,12.2,17.7,0.6914
9,5,0.5000,15.3,23.9,0.6390
9,6,0.6500,18.2,24.2,0.7503
9,7,0.8000,21.2,25.4,0.8357
9,9,1.0000,27.3,25.0,1.0914
10,1,0.1250,4.1,20.0,0.2021
10,2,0.2000,7.1,19.6,0.3631
10,3,0.2500,10.3,16.9,0.6121
10,3,0.3333,10.4,16.9,0.6115
10,4,0.4000,13.6,22.9,0.5945
10,5,0.5000,17.0,23.9,0.7094
10,7,0.6500,23.7,25.6,0.9241
10,8,0.8000,27.0,25.8,1.0473
10,10,1.0000,33.7,26.8,1.2564
11,1,0.1250,4.4,18.6,0.2342
11,2,0.2000,7.8,16.3,0.4769
11,3,0.2500,11.2,22.4,0.5007
11,4,0.3333,14.9,22.7,0.6566
11,4,0.4000,14.9,22.9,0.6494
11,6,0.5000,22.1,24.3,0.9080
11,7,0.6500,25.7,25.7,1.0010
11,9,0.8000,33.0,26.5,1.2456
11,11,1.0000,40.4,27.8,1.4517
12,2,0.1250,8.3,21.7,0.3813
12,2,0.2000,8.3,21.6,0.3819
12,3,0.2500,12.1,22.6,0.5364
12,4,0.3333,16.0,23.0,0.6977
12,5,0.4000,19.9,23.9,0.8328
12,6,0.5000,23.8,24.3,0.9803
12,8,0.6500,31.8,26.0,1.2223
12,10,0.8000,39.7,27.3,1.4558
12,12,1.0000,47.5,28.7,1.6531
13,2,0.1250,8.7,21.4,0.4058
13,3,0.2000,12.8,22.4,0.5730
13,3,0.2500,12.8,22.3,0.5721
13,4,0.3333,17.1,23.0,0.7423
13,5,0.4000,21.3,23.7,0.8973
13,7,0.5000,29.6,25.9,1.1407
13,8,0.6500,33.8,26.2,1.2912
13,10,0.8000,42.3,27.4,1.5441
13,13,1.0000,54.9,28.3,1.9372
14,2,0.1250,9.2,22.8,0.4022
14,3,0.2000,13.7,23.5,0.5824
14,4,0.2500,18.1,24.1,0.7516
14,5,0.3333,22.7,21.6,1.0477
14,6,0.4000,27.2,25.7,1.0590
14,7,0.5000,31.6,28.2,1.1240
14,9,0.6500,40.7,28.7,1.4173
14,11,0.8000,49.6,27.6,1.7993
14,14,1.0000,63.0,32.3,1.9526
15,2,0.1250,9.8,22.9,0.4281
15,3,0.2000,14.5,23.2,0.6258
15,4,0.2500,19.4,22.1,0.8742
15,5,0.3333,24.1,25.3,0.9527
15,6,0.4000,28.9,25.6,1.1266
15,8,0.5000,38.6,28.2,1.3705
15,10,0.6500,48.3,27.5,1.7525
15,12,0.8000,57.9,29.7,1.9511
15,15,1.0000,72.2,32.7,2.2100
16,2,0.1250,10.3,22.9,0.4491
16,3,0.2000,15.5,21.7,0.7130
16,4,0.2500,20.5,24.1,0.8492
16,5,0.3333,25.7,25.0,1.0277
16,6,0.4000,30.7,25.5,1.2056
16,8,0.5000,40.8,28.3,1.4400
16,10,0.6500,51.0,27.3,1.8644
