an,bn,rn,ns
8,16,9,6.269
9,18,10,5.172
10,20,11,5.538
11,22,12,5.948
12,24,13,6.756
13,26,14,6.955
14,28,15,6.993
15,30,16,7.668
16,32,17,11.699
17,34,18,12.086
18,36,19,13.166
19,38,20,13.733
20,40,21,14.174
21,42,22,14.829
22,44,23,15.437
23,46,24,16.255
24,48,25,22.452
25,50,26,22.995
26,52,27,23.908
27,54,28,24.776
28,56,29,25.961
29,58,30,26.512
30,60,31,27.400
31,62,32,28.573
32,64,33,36.757
33,66,34,37.853
34,68,35,38.822
35,70,36,40.068
36,72,37,41.467
37,74,38,42.436
38,76,39,43.456
39,78,40,44.646
40,80,41,55.102
41,82,42,56.306
42,84,43,57.574
43,86,44,59.039
44,88,45,60.388
45,90,46,61.712
46,92,47,63.134
47,94,48,64.396
48,96,49,76.980
49,98,50,78.574
50,100,51,80.181
51,102,52,81.639
52,104,53,83.326
53,106,54,84.662
54,108,55,86.147
55,110,56,87.977
56,112,57,102.678
57,114,58,104.403
58,116,59,106.011
59,118,60,107.982
60,120,61,109.874
61,122,62,111.404
62,124,63,113.252
63,126,64,115.055
64,128,65,131.975
65,130,66,133.939
66,132,67,135.756
67,134,68,138.192
68,136,69,139.966
69,138,70,142.193
70,140,71,144.468
71,142,72,146.399
72,144,73,164.772
73,146,74,167.163
74,148,75,169.081
75,150,76,171.720
76,152,77,173.780
77,154,78,176.352
78,156,79,178.809
79,158,80,181.063
80,160,81,201.847
81,162,82,203.512
82,164,83,205.923
83,166,84,209.182
84,168,85,211.762
85,170,86,213.882
86,172,87,216.297
87,174,88,219.256
88,176,89,241.640
89,178,90,243.580
90,180,91,246.543
91,182,92,249.223
92,184,93,252.257
93,186,94,254.616
94,188,95,257.632
95,190,96,259.780
96,192,97,285.998
97,194,98,287.450
98,196,99,290.883
99,198,100,293.058
100,200,101,297.301
101,202,102,299.003
102,204,103,302.539
103,206,104,305.734
104,208,105,332.812
105,210,106,336.177
106,212,107,338.172
107,214,108,340.601
108,216,109,345.449
109,218,110,347.416
110,220,111,351.329
111,222,112,353.984
112,224,113,383.392
113,226,114,386.764
114,228,115,390.545
115,230,116,391.986
116,232,117,396.074
117,234,118,399.769
118,236,119,403.272
119,238,120,406.011
120,240,121,437.543
121,242,122,438.964
122,244,123,445.612
123,246,124,447.050
124,248,125,450.062
125,250,126,453.007
126,252,127,459.098
127,254,128,462.115
128,256,129,494.053
129,258,130,498.697
130,260,131,503.867
131,262,132,505.142
132,264,133,509.489
133,266,134,511.720
134,268,135,518.748
135,270,136,521.346
136,272,137,556.747
137,274,138,559.814
138,276,139,565.361
139,278,140,566.873
140,280,141,571.642
141,282,142,576.048
142,284,143,580.071
143,286,144,583.626
144,288,145,621.137
145,290,146,626.179
146,292,147,629.746
147,294,148,641.110
148,296,149,644.516
149,298,150,648.729
150,300,151,652.961
151,302,152,656.938
152,304,153,696.307
153,306,154,694.104
154,308,155,699.364
155,310,156,703.267
156,312,157,709.153
157,314,158,710.984
158,316,159,715.616
159,318,160,721.460
160,320,161,761.976
161,322,162,766.195
162,324,163,771.633
163,326,164,774.882
164,328,165,781.942
165,330,166,787.413
166,332,167,790.852
167,334,168,795.965
168,336,169,836.701
169,338,170,840.838
170,340,171,847.918
171,342,172,850.686
172,344,173,857.869
173,346,174,860.820
174,348,175,867.232
175,350,176,871.890
176,352,177,918.368
177,354,178,922.167
178,356,179,927.435
179,358,180,933.696
180,360,181,939.213
181,362,182,941.467
182,364,183,947.993
183,366,184,953.579
184,368,185,999.362
185,370,186,1003.964
186,372,187,1010.861
187,374,188,1014.647
188,376,189,1021.445
189,378,190,1028.600
190,380,191,1034.000
191,382,192,1039.350
192,384,193,1090.879
193,386,194,1091.631
194,388,195,1100.712
195,390,196,1103.159
196,392,197,1110.937
197,394,198,1114.455
198,396,199,1121.889
199,398,200,1124.837
200,400,201,1179.764
201,402,202,1183.449
202,404,203,1190.832
203,406,204,1195.851
204,408,205,1200.766
205,410,206,1206.163
206,412,207,1217.202
207,414,208,1220.302
208,416,209,1277.341
209,418,210,1275.709
210,420,211,1286.569
211,422,212,1290.554
212,424,213,1299.020
213,426,214,1300.881
214,428,215,1308.095
215,430,216,1314.477
216,432,217,1369.262
217,434,218,1376.474
218,436,219,1381.347
219,438,220,1390.694
220,440,221,1395.904
221,442,222,1402.475
222,444,223,1410.565
223,446,224,1413.503
224,448,225,1472.910
225,450,226,1480.429
226,452,227,1486.078
227,454,228,1494.339
228,456,229,1496.626
229,458,230,1503.249
230,460,231,1514.217
231,462,232,1517.278
