n,simple_ns,vtail_ns,mul_ns
8,5.157,5.884,2.860
9,5.308,6.233,5.623
10,5.702,6.639,6.055
11,5.823,9.228,6.645
12,6.807,7.050,7.311
13,6.730,7.064,8.225
14,6.781,12.280,9.009
15,7.970,7.688,9.840
16,11.394,11.503,10.267
17,11.917,12.183,11.966
18,12.595,12.805,13.119
19,13.120,13.534,13.706
20,13.785,14.104,14.843
21,14.356,14.571,16.120
22,15.036,14.954,17.423
23,15.939,15.779,18.629
24,21.966,21.586,19.535
25,22.268,22.214,20.969
26,23.149,23.112,22.587
27,24.237,24.216,23.666
28,25.357,25.085,25.348
29,31.518,25.919,26.896
30,26.672,26.650,28.641
31,27.799,27.645,30.075
32,36.092,32.149,31.631
33,36.753,39.311,33.474
34,38.110,41.924,36.173
35,39.203,39.279,37.273
36,40.374,40.416,39.483
37,41.419,41.457,41.232
38,42.705,42.495,43.618
39,43.889,43.800,45.309
40,54.220,49.915,47.306
41,55.260,54.537,49.793
42,56.529,57.883,52.372
43,57.928,58.044,54.312
44,59.492,59.501,57.207
45,60.693,60.418,59.142
46,62.040,61.931,62.124
47,63.550,63.481,64.109
48,75.885,71.115,66.647
49,77.108,77.697,69.187
50,79.005,81.242,72.475
51,80.334,80.487,74.542
52,82.080,81.998,78.003
53,83.389,83.478,81.591
54,85.300,85.086,85.268
55,86.817,86.536,87.648
56,101.353,94.540,90.653
57,102.820,100.787,92.350
58,104.799,104.755,96.084
59,106.657,106.537,98.401
60,108.778,108.578,102.546
61,109.826,110.364,104.850
62,111.942,111.943,109.131
63,113.598,113.561,111.980
64,130.397,121.898,115.968
65,133.254,128.374,118.621
66,135.208,132.642,123.205
67,137.336,136.973,125.810
68,139.333,140.512,130.409
69,145.297,141.445,133.199
70,147.351,144.182,138.320
71,144.866,146.521,141.369
72,163.357,155.178,145.210
73,165.852,161.656,148.881
74,168.380,167.352,153.902
75,170.853,171.642,156.680
76,173.259,173.824,161.738
77,174.469,175.543,164.866
78,177.105,178.152,170.523
79,178.960,180.389,178.811
80,199.665,195.496,182.902
81,202.480,202.631,182.530
82,205.248,205.858,187.650
83,208.114,208.464,190.554
84,210.757,211.865,197.369
85,212.180,212.990,199.921
86,214.326,215.845,206.195
87,217.774,218.166,210.197
88,240.398,234.583,215.390
89,242.816,240.857,219.321
90,245.999,245.394,225.390
91,248.745,249.249,228.342
92,251.975,251.827,235.073
93,253.746,254.147,239.035
94,256.667,258.305,245.712
95,261.093,261.017,250.419
96,286.391,278.623,255.745
97,287.389,284.838,260.559
98,291.158,291.421,267.355
99,293.208,294.663,269.839
100,296.638,297.201,277.003
101,299.406,298.944,281.048
102,302.602,303.782,288.856
103,304.818,305.341,293.350
104,331.675,325.283,299.020
105,336.783,327.316,306.965
106,340.039,336.407,313.655
107,342.668,343.290,319.100
108,346.179,346.499,326.343
109,348.020,347.617,329.209
110,351.831,352.669,337.116
111,356.144,355.697,340.903
112,383.777,374.750,346.780
113,388.462,382.624,352.314
114,391.578,391.410,359.723
115,395.001,396.395,364.436
116,398.086,398.849,372.169
117,400.042,411.579,375.822
118,402.951,416.877,385.978
119,419.352,408.127,389.896
120,437.486,440.122,397.086
121,441.252,439.811,403.204
122,446.462,449.386,412.407
123,449.007,450.407,415.630
124,452.347,453.907,425.093
125,454.900,456.437,429.668
126,458.446,462.534,438.738
127,463.831,466.291,443.287
128,495.855,487.313,452.298
