n,midmul_ns,mul_ns
8,6.163,10.616
9,5.479,6.999
10,7.256,7.406
11,5.822,7.853
12,7.227,8.490
13,10.572,9.394
14,6.923,10.294
15,12.633,11.109
16,11.671,11.667
17,12.016,12.546
18,13.099,13.557
19,13.560,14.211
20,14.163,15.711
21,14.688,16.792
22,15.316,17.981
23,15.982,19.070
24,22.114,19.838
25,22.490,22.012
26,31.688,23.477
27,24.779,24.683
28,25.495,26.275
29,32.756,28.972
30,32.576,30.620
31,28.117,31.771
32,36.055,32.796
33,37.057,34.045
34,38.249,36.201
35,39.421,37.658
36,40.562,40.178
37,41.661,42.062
38,42.979,44.513
39,43.995,46.230
40,54.376,48.393
41,55.816,50.257
42,56.999,52.707
43,58.510,54.496
44,59.866,57.798
45,60.726,59.568
46,62.165,62.459
47,63.432,64.612
48,75.855,66.949
49,77.368,69.653
50,79.258,73.087
51,80.675,74.905
52,82.104,78.514
53,83.163,80.653
54,85.090,84.095
55,86.886,86.334
56,101.072,89.442
57,113.149,92.574
58,114.454,96.926
59,116.656,98.287
60,118.086,102.657
61,109.835,104.917
62,111.729,109.255
63,113.244,111.936
64,130.405,115.975
65,132.335,118.911
66,134.446,123.293
67,136.212,125.852
68,138.774,130.571
69,140.417,133.190
70,142.933,138.098
71,144.687,141.056
72,163.532,145.179
73,165.648,148.962
74,167.979,153.756
75,170.559,156.500
76,172.031,162.006
77,174.297,164.673
78,177.001,170.836
79,179.380,174.561
80,200.556,179.154
81,201.904,185.397
82,203.949,190.397
83,207.211,194.386
84,209.817,199.004
85,212.522,201.617
86,214.277,207.948
87,216.928,210.862
88,239.502,215.411
89,241.851,219.273
90,255.633,224.979
91,258.379,228.335
92,261.953,235.043
93,253.170,238.339
94,256.768,244.884
95,258.442,249.429
96,283.606,254.132
97,286.036,260.179
98,288.744,266.942
99,292.026,270.911
100,295.285,276.757
101,315.219,302.226
102,301.662,287.893
103,304.183,294.485
104,331.873,298.566
105,332.899,304.264
106,336.842,309.968
107,340.623,314.984
108,343.144,321.986
109,346.343,326.296
110,350.478,334.289
111,352.749,341.937
112,381.990,345.921
113,384.172,350.403
114,389.585,359.074
115,391.597,367.172
116,395.014,371.766
117,398.014,376.124
118,401.230,383.869
119,404.662,391.802
120,436.652,397.307
121,438.935,401.775
122,443.148,409.705
123,446.552,414.251
124,449.027,422.954
125,453.864,429.908
126,458.338,437.302
127,461.264,446.320
128,494.404,449.643
129,496.897,455.454
130,502.478,463.683
131,505.305,472.782
132,509.871,479.150
133,513.722,486.748
134,518.310,495.320
135,520.338,502.837
136,555.356,508.048
137,559.158,515.840
138,563.122,525.676
139,566.546,532.649
140,570.343,540.461
141,577.870,546.662
142,581.599,553.208
143,585.276,562.752
144,623.337,570.167
145,625.488,576.117
146,629.990,585.692
147,635.243,592.092
148,636.959,600.711
149,644.394,607.006
150,649.497,616.920
151,653.043,627.278
152,690.289,633.063
153,694.080,638.500
154,700.497,651.655
155,705.336,658.293
156,710.535,668.913
157,713.069,676.090
158,717.504,683.134
159,723.499,693.814
160,764.332,704.347
161,768.350,705.693
162,772.508,721.634
163,777.991,727.926
164,783.095,740.700
165,787.915,741.696
166,791.538,756.230
167,795.717,767.132
168,839.440,775.594
169,842.812,777.119
170,847.228,791.023
171,855.664,801.095
172,858.297,809.929
173,866.491,821.580
174,870.348,828.438
175,876.244,842.195
176,922.018,850.174
177,920.189,856.483
178,930.332,867.595
179,935.750,879.000
180,941.274,888.314
181,945.720,897.739
182,955.224,908.718
183,956.524,917.308
184,1004.596,928.253
185,1005.954,935.020
186,1013.180,950.072
187,1019.532,954.560
188,1027.824,968.826
189,1031.227,973.236
190,1037.602,987.889
191,1041.524,999.190
192,1089.397,1014.399
193,1094.446,1019.596
194,1101.254,1035.705
195,1104.803,1038.756
196,1114.622,1053.727
197,1120.351,1059.638
198,1126.794,1073.856
199,1131.772,1084.444
200,1180.875,1096.175
201,1191.245,1103.491
202,1191.379,1112.777
203,1198.284,1121.292
204,1206.138,1133.269
205,1210.545,1142.720
206,1221.202,1159.501
207,1224.811,1171.706
208,1273.822,1188.695
209,1281.152,1193.911
210,1287.026,1204.709
211,1293.424,1212.830
212,1301.879,1232.482
213,1309.124,1236.491
214,1317.798,1252.164
215,1320.761,1268.353
216,1377.965,1279.475
217,1381.638,1282.505
218,1388.540,1302.741
219,1394.088,1306.181
220,1404.007,1326.384
221,1409.058,1336.833
222,1417.902,1345.533
223,1422.983,1362.988
224,1476.047,1380.726
225,1483.937,1380.609
226,1491.749,1397.499
227,1507.092,1405.643
228,1509.771,1421.139
229,1516.057,1431.512
230,1520.212,1448.435
231,1523.630,1455.984
232,1586.803,1471.555
233,1589.384,1480.409
234,1604.935,1498.867
235,1609.046,1503.639
236,1616.614,1523.504
237,1620.142,1533.953
238,1630.370,1550.373
239,1637.630,1563.452
240,1697.553,1574.735
241,1692.330,1585.293
242,1701.597,1600.933
243,1711.933,1611.058
244,1718.381,1629.153
245,1726.917,1638.849
246,1733.805,1653.659
247,1738.130,1668.314
248,1802.739,1680.158
249,1813.193,1691.571
250,1815.250,1706.179
251,1827.044,1717.673
252,1836.072,1731.138
253,1841.237,1745.389
254,1850.771,1761.376
255,1852.193,1776.408
256,1922.851,1791.301
257,1924.676,1799.712
258,1929.020,1819.710
259,1942.719,1829.113
260,1953.686,1850.341
261,1959.165,1863.710
262,1965.970,1884.858
263,1971.198,1895.741
264,2041.728,1894.007
265,2053.059,1915.146
266,2055.318,1937.105
267,2064.511,1943.176
268,2073.514,1961.106
269,2078.793,1974.793
270,2087.773,1998.137
271,2095.116,2004.826
272,2165.223,2020.883
273,2179.011,2033.059
274,2177.448,2064.378
275,2185.302,2060.791
276,2195.417,2081.289
277,2204.098,2090.765
278,2216.950,2113.481
279,2219.542,2118.661
280,2289.888,2142.633
281,2306.191,2154.016
282,2305.612,2172.557
283,2313.719,2184.636
284,2327.414,2204.749
285,2333.844,2217.048
286,2338.270,2234.161
287,2352.772,2247.529
288,2429.229,2268.702
289,2441.115,2287.745
290,2442.660,2295.490
291,2447.379,2309.800
292,2456.979,2331.731
293,2471.741,2341.915
294,2477.579,2357.587
295,2479.704,2372.588
296,2561.211,2403.112
297,2569.874,2402.487
298,2573.498,2425.773
299,2583.352,2435.207
300,2592.571,2455.496
301,2602.504,2464.473
302,2612.027,2490.278
303,2615.348,2500.190
304,2708.459,2525.327
305,2705.693,2559.229
306,2715.212,2561.530
307,2719.171,2568.435
308,2730.617,2599.822
309,2744.277,2595.737
310,2748.212,2627.887
311,2759.433,2633.200
312,2845.124,2662.785
313,2845.577,2666.745
314,2855.005,2692.243
315,2870.932,2698.205
316,2871.917,2731.676
317,2884.734,2734.443
318,2897.224,2758.269
319,2897.955,2770.960
320,2989.251,2801.568
321,2993.844,2807.687
322,3008.219,2827.204
323,3007.139,2836.677
324,3015.005,2856.454
325,3032.803,2874.829
326,3042.193,2899.906
327,3050.796,2911.267
328,3135.931,2944.032
329,3146.282,2961.553
330,3160.160,2984.075
331,3163.285,2994.581
332,3170.816,2999.740
333,3182.288,3026.804
334,3193.831,3041.978
335,3205.665,3060.396
336,3281.939,3087.304
337,3303.172,3093.733
338,3316.207,3118.168
339,3314.107,3125.017
340,3332.096,3153.514
341,3346.069,3171.383
342,3360.983,3204.092
343,3352.029,3213.191
344,3450.815,3222.613
345,3471.221,3246.000
346,3472.515,3267.439
347,3478.594,3274.541
348,3489.769,3302.675
349,3507.446,3314.125
350,3517.730,3351.509
351,3517.777,3345.313
352,3623.521,3382.194
353,3628.970,3392.512
354,3637.853,3415.595
355,3644.815,3433.222
356,3660.193,3456.348
357,3669.194,3478.575
358,3681.319,3493.200
359,3687.805,3511.270
360,3785.696,3550.709
361,3788.287,3559.949
362,3802.186,3583.474
363,3817.684,3589.948
364,3824.422,3614.948
365,3837.149,3636.701
366,3848.699,3655.699
367,3852.112,3678.895
368,3943.185,3696.437
369,3967.007,3719.280
370,3987.407,3736.480
371,3976.248,3746.255
