n,simple_ns,wtail_ns
8,5.157,5.815
9,5.166,7.753
10,5.408,8.341
11,5.629,8.443
12,6.076,8.993
13,6.451,9.332
14,6.660,9.759
15,7.631,8.256
16,11.175,11.360
17,11.686,14.287
18,12.358,15.525
19,12.946,15.799
20,13.567,16.040
21,14.098,16.875
22,14.663,16.809
23,15.502,15.807
24,21.381,20.808
25,22.103,24.751
26,22.959,24.477
27,24.013,25.188
28,25.029,26.718
29,25.820,27.309
30,26.777,28.838
31,34.901,44.507
32,36.097,32.448
33,36.721,36.691
34,37.879,37.543
35,39.236,38.593
36,40.429,40.810
37,41.411,42.321
38,42.612,43.786
39,43.746,43.761
40,54.046,49.129
41,54.814,55.519
42,56.175,55.126
43,57.894,56.493
44,59.283,58.586
45,60.600,60.803
46,61.794,62.545
47,63.350,63.524
48,75.765,68.243
49,76.823,75.378
50,78.533,76.613
51,80.350,78.987
52,82.033,80.559
53,83.365,82.801
54,84.847,85.240
55,86.473,86.868
56,101.081,93.214
57,102.599,97.926
58,104.163,100.339
59,106.788,102.941
60,108.600,106.173
61,109.708,109.105
62,111.958,111.557
63,113.608,114.161
64,130.262,120.385
65,132.149,126.870
66,134.510,129.467
67,136.518,132.451
68,138.712,135.597
69,140.140,139.014
70,142.385,142.150
71,144.456,144.871
72,163.497,151.703
73,165.278,159.681
74,167.776,162.820
75,170.146,165.731
76,172.084,170.505
77,174.147,174.523
78,176.571,177.087
79,178.876,179.658
80,199.467,186.193
81,201.954,198.400
82,204.829,201.238
83,207.396,203.902
84,210.144,206.858
85,212.353,210.696
86,213.673,213.651
87,220.110,218.023
88,242.232,228.966
89,242.453,238.452
90,244.687,241.450
91,247.817,243.851
92,250.798,247.595
93,252.772,252.263
94,256.156,255.610
95,258.580,260.401
96,284.004,271.231
97,285.551,283.367
98,289.120,284.178
99,293.423,287.994
100,296.011,292.859
101,298.242,296.454
102,301.063,301.498
103,304.048,305.125
104,330.980,316.753
105,334.133,327.503
106,337.890,332.356
107,341.100,335.839
108,344.652,340.570
109,346.494,345.690
110,349.434,349.796
111,353.429,354.250
112,382.110,368.552
113,384.982,381.410
114,389.625,382.258
115,393.797,386.718
116,396.520,392.177
117,398.843,397.768
118,401.373,401.802
119,406.445,406.079
120,437.407,421.577
121,440.816,432.977
122,444.279,438.350
123,449.053,441.965
124,452.463,447.501
125,454.574,454.279
126,458.028,457.444
127,463.623,462.470
128,495.114,478.535
