n,simple_ns,vtail_ns,mul_ns
8,6.132,7.183,2.819
9,5.861,15.691,5.540
10,5.940,16.194,5.988
11,6.230,17.527,6.612
12,7.924,18.940,7.245
13,6.994,22.846,8.311
14,7.254,25.042,9.108
15,8.022,7.862,10.018
16,11.382,13.080,10.337
17,11.867,21.147,11.904
18,12.469,22.318,13.099
19,13.110,23.504,13.651
20,13.713,24.330,14.765
21,14.404,25.005,15.915
22,14.935,26.546,17.205
23,16.181,15.803,18.400
24,21.963,22.002,19.329
25,22.281,27.470,20.861
26,23.069,29.642,22.522
27,24.235,31.033,23.614
28,26.384,33.498,25.306
29,28.351,34.971,26.798
30,27.096,36.523,28.525
31,27.770,27.700,30.069
32,35.883,33.090,31.549
33,36.774,39.150,33.499
34,38.023,41.576,35.964
35,39.153,44.873,37.249
36,40.567,47.588,39.337
37,41.344,51.666,41.211
38,42.518,54.715,43.459
39,43.878,43.911,45.325
40,54.185,51.316,47.400
41,55.177,55.212,49.740
42,56.456,58.275,52.447
43,57.920,62.029,54.130
44,59.388,64.634,56.993
45,60.505,67.813,59.119
46,61.872,69.647,62.016
47,63.479,63.607,64.100
48,75.890,70.534,66.712
49,77.136,76.370,69.283
50,79.085,79.603,72.583
51,80.383,83.221,74.246
52,82.034,85.987,78.076
53,83.344,88.995,80.480
54,85.115,91.322,83.950
55,86.448,86.643,86.463
56,101.286,94.440,89.504
57,102.602,100.610,92.371
58,104.750,104.695,96.251
59,106.558,108.623,98.422
60,108.704,110.854,102.373
61,110.184,114.348,104.907
62,111.824,117.714,109.169
63,113.640,113.545,112.037
64,130.552,123.587,115.710
65,133.330,128.882,118.999
66,135.079,133.316,123.308
67,137.291,137.298,125.685
68,139.377,140.732,130.330
69,145.212,143.085,132.888
70,147.364,150.328,137.956
71,144.893,145.691,140.959
72,163.476,156.666,145.332
73,166.150,162.978,149.179
74,168.426,168.713,154.110
75,170.547,171.737,156.770
76,173.141,176.006,161.539
77,174.564,179.503,165.100
78,177.320,184.783,170.498
79,178.995,180.187,179.767
80,200.134,191.404,183.732
81,202.860,197.294,182.491
82,205.644,202.639,188.099
83,208.592,208.506,190.980
84,210.116,216.566,196.739
85,212.180,217.911,200.030
86,214.215,222.614,206.372
87,217.755,219.143,210.144
88,240.339,235.093,215.101
89,242.694,237.718,219.665
90,245.608,242.560,225.580
91,248.097,248.548,228.420
92,251.363,253.819,235.389
93,253.457,258.897,238.660
94,257.085,264.100,246.073
95,261.453,261.187,249.385
96,286.014,273.866,255.708
97,286.953,284.187,260.221
98,291.014,292.005,267.293
99,293.228,296.323,269.762
100,296.211,300.872,276.878
101,298.293,305.316,280.804
102,302.171,311.736,288.343
103,305.278,305.114,292.912
104,331.922,326.150,299.026
105,336.004,342.200,304.666
106,339.093,350.823,312.144
107,342.013,355.974,315.628
108,345.499,359.494,323.300
109,348.073,365.464,327.535
110,352.320,370.982,336.073
111,354.200,362.170,340.565
112,382.878,382.191,346.605
113,387.198,393.380,352.047
114,390.188,400.356,360.150
115,394.842,406.737,363.113
116,397.932,410.622,371.969
117,399.395,419.782,376.093
118,403.671,423.892,385.021
119,418.642,407.839,389.318
120,438.152,441.497,397.014
121,441.121,436.085,402.534
122,444.879,444.989,411.925
123,449.691,450.257,414.855
124,451.636,453.456,425.261
125,454.814,461.561,428.627
126,458.770,469.890,438.991
127,462.990,465.185,443.487
128,496.067,485.969,450.897
