n,basecase_ns,toom22_ns,toom33_ns
8,10.31,45.54,106.07
9,6.75,39.27,99.64
10,7.14,40.66,109.79
11,7.66,42.07,106.33
12,8.19,42.12,106.32
13,9.00,42.00,111.75
14,9.93,43.32,112.08
15,10.69,54.88,121.16
16,11.10,48.43,114.88
17,12.10,44.79,123.53
18,13.15,53.43,123.11
19,13.79,53.41,129.16
20,15.28,51.57,136.82
21,16.29,55.52,136.92
22,17.46,55.69,138.16
23,18.64,56.92,132.40
24,19.47,54.72,142.27
25,21.39,58.25,133.33
26,23.01,59.46,144.24
27,24.01,62.82,136.38
28,25.87,61.91,156.63
29,27.49,85.87,157.87
30,29.04,86.48,160.13
31,30.49,90.12,162.14
32,31.98,78.21,164.04
33,34.46,60.23,153.20
34,36.52,68.82,154.52
35,37.80,69.92,145.18
36,40.15,70.37,156.29
37,41.82,75.65,170.94
38,43.94,76.99,158.74
39,45.73,76.40,171.10
40,47.74,76.44,174.00
41,50.46,81.29,161.52
42,53.07,82.31,176.47
43,54.83,86.67,169.05
44,57.71,87.19,169.76
45,59.88,87.46,171.21
46,62.85,88.34,186.23
47,64.93,90.79,186.22
48,67.52,89.81,188.96
49,69.93,89.63,195.57
50,73.22,99.30,194.94
51,74.96,99.38,193.51
52,78.96,100.24,197.20
53,80.91,108.45,200.12
54,84.44,109.40,202.09
55,86.91,111.07,203.87
56,90.02,109.81,190.63
57,93.13,114.07,203.07
58,97.05,117.10,194.28
59,99.18,121.18,195.33
60,103.59,121.23,217.71
61,105.87,136.09,215.44
62,110.01,137.92,216.29
63,112.66,142.02,237.93
64,116.42,134.44,218.84
65,119.79,123.65,236.48
66,124.49,140.62,222.66
67,126.93,143.95,216.19
68,131.65,146.40,241.87
69,134.56,149.27,220.20
70,139.60,151.44,259.35
71,142.47,154.67,239.64
72,146.61,155.22,260.40
73,150.35,164.87,275.62
74,160.72,164.24,246.31
75,157.97,168.19,277.91
76,163.87,169.15,282.43
77,171.30,173.05,281.85
78,172.26,175.42,254.34
79,180.52,180.85,282.15
80,180.55,180.02,265.11
81,184.71,180.81,290.76
82,194.70,190.01,302.09
83,193.47,200.49,277.49
84,199.61,200.40,279.58
85,202.28,204.04,285.81
86,208.68,208.01,287.23
87,212.46,208.34,289.39
88,217.84,209.04,292.96
89,222.22,221.27,293.49
90,228.37,217.21,322.78
91,231.27,222.87,322.52
92,238.69,228.22,302.83
93,241.93,234.15,328.38
94,248.78,235.91,324.32
95,253.01,242.29,326.18
96,258.43,236.90,349.67
97,262.36,237.54,396.54
98,274.08,258.66,358.21
99,275.83,265.66,390.78
100,284.02,268.49,363.71
101,288.67,276.51,399.06
102,292.63,279.50,362.98
103,296.37,286.14,360.05
104,303.16,288.25,401.43
105,311.70,283.73,389.51
106,315.03,287.04,373.35
107,322.68,293.14,406.56
108,327.01,295.23,408.72
109,331.08,299.10,413.13
110,343.82,302.06,381.80
111,343.83,307.21,418.19
