n,basecase_ns,toom22_ns,toom33_ns
8,18.38,45.48,107.57
9,6.70,39.18,88.71
10,7.08,40.66,106.68
11,7.52,41.40,92.23
12,8.14,41.69,92.62
13,8.94,41.37,109.68
14,9.87,42.86,97.21
15,10.59,84.45,103.22
16,11.04,100.87,96.50
17,12.04,62.76,102.46
18,13.04,52.91,105.52
19,13.66,52.97,135.94
20,15.13,51.18,132.28
21,16.12,53.18,145.91
22,17.26,53.30,143.63
23,18.40,54.44,137.99
24,19.16,55.88,155.34
25,20.82,57.38,117.09
26,22.55,58.19,130.71
27,23.52,60.94,120.32
28,25.40,62.37,138.03
29,26.95,85.13,138.52
30,28.43,86.23,141.65
31,29.94,90.19,144.34
32,31.32,78.28,148.66
33,33.38,60.14,133.19
34,35.68,68.33,136.39
35,36.95,68.66,130.82
36,39.48,68.96,138.14
37,41.06,74.70,145.95
38,43.27,75.81,139.16
39,45.10,74.87,146.86
40,47.06,75.02,147.26
41,49.44,79.53,140.81
42,52.24,80.92,150.33
43,53.75,84.67,143.97
44,56.80,85.82,146.05
45,59.12,85.83,147.25
46,62.11,87.29,167.41
47,64.12,89.52,168.53
48,66.62,84.70,170.33
49,68.98,87.91,176.02
50,72.32,98.12,176.54
51,74.09,98.27,176.48
52,77.90,99.37,174.64
53,79.93,104.18,176.44
54,83.49,105.94,179.05
55,86.00,106.30,178.34
56,89.19,107.66,173.62
57,92.00,113.34,189.39
58,95.67,116.84,185.06
59,98.17,121.24,185.82
60,102.24,120.79,194.71
61,104.62,135.05,204.13
62,108.75,135.97,205.00
63,111.44,139.36,214.05
64,115.07,130.82,208.72
65,119.54,123.23,209.09
66,123.45,136.87,206.13
67,125.93,140.94,205.51
68,130.71,142.95,214.74
69,133.20,145.42,209.56
70,137.91,148.93,229.16
71,141.00,150.17,222.11
72,145.14,153.93,227.03
73,148.28,160.20,244.12
74,153.41,161.74,230.62
75,155.93,163.97,241.71
76,161.59,165.21,245.24
77,164.77,168.32,246.38
78,169.91,170.71,239.99
79,173.37,174.96,246.27
80,177.93,170.25,243.56
81,181.46,176.40,257.04
82,187.65,187.53,263.44
83,193.84,194.14,252.30
84,196.63,195.71,254.33
85,200.17,199.92,266.29
86,209.32,203.63,267.09
87,209.65,205.44,269.30
88,214.07,206.60,271.27
89,218.76,216.42,272.72
90,225.16,214.81,289.03
91,232.13,219.34,288.71
92,234.83,225.49,285.33
93,238.83,231.23,295.59
94,248.74,233.28,298.68
95,249.47,238.53,300.53
96,255.64,231.02,308.14
97,263.59,235.01,347.67
98,266.28,253.82,326.70
99,272.80,262.62,345.11
100,277.14,264.40,333.58
101,280.48,272.74,346.74
102,291.02,276.04,339.46
103,292.32,283.82,330.95
104,298.73,286.26,351.34
105,307.14,281.29,354.64
106,310.77,283.22,351.14
107,317.68,289.99,370.37
108,322.22,291.54,379.03
109,326.10,297.83,380.44
110,337.46,298.53,367.82
111,339.06,306.16,383.56
112,345.60,301.75,394.71
113,354.68,308.22,379.72
114,358.89,320.47,387.55
115,366.26,327.21,377.61
116,371.43,329.10,390.30
117,375.81,334.04,393.98
118,387.76,338.97,399.88
119,389.38,345.28,402.26
120,397.39,346.79,411.65
121,405.96,357.79,432.31
