n,basecase_ns,toom22_ns,toom33_ns
8,9.60,45.69,106.90
9,6.96,40.02,90.26
10,7.14,40.87,107.81
11,7.75,42.06,93.67
12,8.27,42.08,93.77
13,9.10,42.06,110.92
14,9.91,43.35,98.84
15,10.86,75.77,105.78
16,11.20,88.45,97.71
17,12.45,59.18,105.34
18,13.32,53.49,106.85
19,14.29,53.87,111.84
20,15.59,51.81,118.92
21,16.94,54.19,119.65
22,17.93,54.17,122.80
23,18.95,55.35,117.38
24,19.73,56.60,125.83
25,21.10,58.16,116.43
26,22.85,59.20,126.29
27,23.80,61.56,120.16
28,25.83,63.69,133.99
29,27.31,86.53,139.13
30,28.73,87.06,141.56
31,30.27,91.85,143.52
32,31.69,78.74,149.01
33,33.82,61.36,137.84
34,36.16,69.57,140.86
35,37.36,71.44,136.95
36,39.90,72.22,141.91
37,41.50,75.93,147.82
38,43.75,76.98,141.57
39,45.65,75.93,149.49
40,47.61,76.66,148.82
41,50.02,80.55,142.01
42,52.67,83.13,151.38
43,54.40,86.53,144.98
44,57.66,87.43,147.17
45,59.90,87.96,148.91
46,62.85,88.50,168.74
47,65.03,90.54,169.63
48,67.43,84.91,169.78
49,70.02,90.81,175.89
50,73.24,100.47,175.79
51,75.01,101.24,177.23
52,78.84,102.20,176.71
53,80.86,105.46,177.73
54,84.58,106.25,181.48
55,86.96,108.22,181.64
56,90.18,109.16,178.92
57,93.18,114.50,192.59
58,97.00,118.18,185.11
59,99.35,123.14,186.08
60,103.64,123.23,195.85
61,105.92,139.07,204.11
62,110.06,143.13,204.96
63,112.72,146.16,215.95
64,116.55,134.75,210.86
65,120.29,124.67,210.88
66,124.74,138.89,208.76
67,127.05,143.92,207.13
68,131.99,145.33,216.63
69,135.10,147.87,211.82
70,139.77,151.21,229.54
71,144.10,154.52,222.05
72,147.20,156.55,228.76
73,155.19,162.55,246.30
74,160.06,163.69,232.18
75,162.98,166.91,242.72
76,163.93,166.87,247.70
77,171.10,170.48,246.98
78,176.55,173.43,241.92
79,179.98,178.25,249.20
80,184.29,173.78,246.04
81,189.03,178.83,257.96
82,191.48,190.52,267.22
83,196.93,196.49,255.65
84,200.08,197.69,257.73
85,206.27,201.47,269.08
86,212.68,205.47,269.80
87,215.85,207.97,271.26
88,220.66,209.49,274.98
89,225.95,220.93,275.03
90,228.54,217.44,293.68
91,235.19,222.59,293.58
92,238.60,228.85,285.33
93,245.49,233.62,299.28
94,251.93,236.05,299.31
95,256.17,241.82,300.51
96,261.84,235.57,314.02
97,268.63,239.35,354.04
98,270.04,257.18,333.43
99,278.26,266.65,349.72
100,280.94,270.09,337.82
101,289.31,279.40,350.78
102,296.49,282.10,342.59
103,300.75,289.57,336.13
104,307.22,289.47,353.65
105,312.05,287.78,359.73
106,316.23,290.86,359.85
107,322.62,296.13,377.46
108,326.84,297.40,383.67
109,334.27,302.35,389.43
110,343.01,302.97,372.32
111,347.55,310.30,386.68
112,354.50,307.75,400.55
113,361.05,313.08,383.73
114,364.52,326.66,390.40
115,371.70,332.54,381.57
116,376.92,334.74,397.70
117,384.91,339.91,402.16
118,393.33,343.88,403.08
119,398.43,351.08,405.05
120,405.19,352.67,419.35
121,411.29,364.91,433.55
122,418.68,360.97,415.04
123,424.75,371.27,421.45
124,431.76,376.41,438.20
125,438.43,384.34,440.85
126,446.96,386.99,444.43
127,453.08,398.93,458.50
128,460.04,389.86,457.62
129,467.23,395.93,462.70
130,472.86,407.80,483.81
131,481.13,417.87,481.72
132,486.18,420.94,489.07
133,494.45,426.32,476.56
134,505.08,423.93,478.28
