n,basecase_ns,toom22_ns,toom33_ns
8,10.38,45.15,104.21
9,6.76,39.32,87.74
10,7.16,41.23,105.79
11,7.60,41.92,91.30
12,8.21,42.16,91.50
13,9.02,42.06,108.72
14,10.00,43.32,96.53
15,10.75,57.73,102.90
16,11.24,52.07,95.48
17,12.18,45.47,101.66
18,13.17,53.37,104.48
19,13.78,53.35,111.43
20,15.31,51.66,117.29
21,16.16,53.85,119.57
22,17.51,53.96,128.27
23,18.67,55.23,119.38
24,19.50,56.75,128.65
25,21.06,58.82,118.40
26,22.72,59.57,129.24
27,23.85,62.28,122.12
28,25.73,63.24,136.36
29,27.24,86.35,137.94
30,28.76,87.24,139.88
31,30.32,91.93,143.11
32,31.75,78.96,148.19
33,33.82,60.75,133.96
34,36.08,68.92,142.31
35,37.48,69.98,132.58
36,40.00,70.42,144.23
37,41.60,75.86,153.95
38,43.85,76.89,143.01
39,45.71,77.17,155.46
40,47.69,76.91,154.95
41,50.08,81.00,143.22
42,52.83,83.02,156.85
43,54.46,86.15,155.10
44,57.62,86.86,157.06
45,59.74,88.31,159.54
46,62.76,89.44,175.81
47,64.93,91.13,178.29
48,67.44,87.63,177.65
49,69.85,88.97,183.30
50,73.34,100.46,180.38
51,75.03,100.31,181.35
52,78.78,101.18,183.17
53,81.11,106.11,184.51
54,84.77,107.21,187.74
55,87.02,108.84,188.63
56,90.33,109.52,178.71
57,93.40,114.39,195.62
58,97.21,118.03,192.06
59,99.41,122.58,191.29
60,103.64,122.66,204.88
61,106.04,136.34,212.49
62,110.36,138.03,213.63
63,112.77,142.01,228.53
64,116.57,135.33,218.92
65,120.10,124.30,222.43
66,124.65,138.33,213.44
67,126.83,143.62,211.61
68,131.68,145.57,223.60
69,134.72,149.98,215.73
70,139.43,152.37,243.79
71,142.63,153.59,232.49
72,146.70,156.20,241.42
73,150.27,162.94,257.15
74,155.72,165.71,238.49
75,158.27,166.82,259.39
76,164.13,166.36,257.92
77,169.93,170.54,260.44
78,172.61,174.17,251.08
79,178.65,178.41,266.46
80,183.54,178.22,252.55
81,188.33,183.56,275.03
82,190.54,192.24,280.43
83,196.60,198.17,265.03
84,199.65,201.18,267.24
85,206.55,203.91,277.83
86,209.20,206.40,279.69
87,216.02,209.06,281.21
88,221.34,209.52,283.78
89,226.46,219.85,286.36
90,228.20,218.53,306.12
91,235.43,224.38,311.02
92,241.86,228.73,298.71
93,244.80,237.03,320.34
94,249.38,240.69,315.52
95,255.97,242.06,317.30
96,261.87,237.87,333.85
97,266.40,242.88,377.08
98,269.33,255.43,344.17
99,275.61,264.38,374.39
100,282.67,267.35,354.44
101,286.58,279.32,377.57
102,291.71,283.94,364.53
103,299.16,285.64,355.03
104,305.61,287.22,385.10
105,311.59,283.92,384.19
106,315.82,290.12,372.54
107,322.80,293.74,401.86
108,330.80,293.99,405.67
109,333.97,299.97,410.33
110,339.60,301.88,386.20
111,346.89,309.81,414.87
112,353.27,309.55,415.26
113,359.96,312.36,407.23
114,364.78,325.60,414.87
115,371.67,334.84,397.77
116,376.98,338.08,425.95
117,383.80,338.44,429.50
118,390.66,342.50,419.71
119,398.82,350.30,422.15
120,406.03,351.51,448.16
121,411.38,367.91,461.45
122,420.16,367.19,439.67
123,426.02,373.15,443.23
124,432.67,378.24,468.51
125,439.36,389.18,468.96
126,445.80,391.38,473.95
127,453.94,400.60,488.41
128,461.10,392.82,487.90
129,463.53,397.30,492.20
130,472.60,407.38,508.29
131,480.44,417.88,510.46
132,486.94,420.47,513.33
133,494.89,429.69,493.31
134,502.96,428.36,497.33
135,510.54,435.20,527.56
136,517.57,442.26,531.65
137,522.05,450.02,531.26
138,533.82,452.80,515.37
139,539.82,459.59,543.88
140,546.76,461.13,545.93
141,555.33,467.95,519.82
142,563.50,470.14,576.83
143,571.65,481.55,579.56
144,580.72,481.19,579.53
145,585.62,494.26,589.36
146,595.72,505.93,592.70
147,603.84,515.86,596.26
148,612.07,520.32,601.35
149,620.55,523.38,604.99
150,627.73,528.89,608.40
151,637.76,532.74,585.61
152,647.23,540.70,588.24
153,651.28,571.66,619.68
154,661.36,584.19,636.41
155,668.66,590.66,608.56
156,678.22,585.77,642.24
157,687.11,595.92,620.79
158,696.44,597.88,659.27
159,705.19,583.90,662.60
160,715.92,583.61,662.61
161,719.44,595.27,640.99
162,731.04,608.17,645.11
163,740.68,634.40,645.96
164,749.59,639.62,649.78
165,759.52,644.74,689.67
166,768.08,651.80,678.19
167,779.20,661.44,680.69
168,788.70,674.68,715.96
169,793.33,681.59,696.58
170,806.44,689.96,728.00
171,815.76,693.93,735.74
172,824.04,692.91,739.08
173,836.69,689.36,716.87
174,843.78,692.89,751.57
175,856.11,697.09,724.85
176,867.39,703.60,762.34
177,871.01,706.31,730.77
178,884.55,716.92,755.09
179,891.48,736.18,756.72
180,902.39,729.68,795.20
181,910.31,735.74,805.58
182,924.90,741.36,772.65
183,933.56,753.69,817.54
184,946.00,750.96,789.17
185,952.52,758.33,797.22
186,964.55,771.94,799.14
187,975.11,778.17,843.99
188,982.87,781.71,843.08
189,995.73,776.47,850.72
190,1006.35,777.87,834.57
191,1018.34,762.57,838.46
192,1029.24,775.92,837.52
193,1035.70,786.41,883.39
194,1049.69,799.42,897.53
195,1057.56,827.14,906.06
196,1069.77,835.71,903.61
197,1079.95,844.68,896.22
198,1092.36,858.92,919.03
199,1101.01,865.60,934.96
200,1115.64,868.95,943.31
201,1120.71,877.49,944.75
202,1136.04,885.60,945.49
203,1145.13,896.60,943.95
204,1155.88,897.53,969.10
205,1168.05,896.51,975.12
206,1181.17,901.77,985.17
207,1192.40,907.11,957.94
208,1205.96,917.04,995.86
209,1212.05,926.53,975.68
210,1227.03,935.17,1009.59
211,1239.14,954.57,977.29
212,1251.98,961.58,980.98
213,1260.52,970.76,1028.21
214,1276.39,968.46,1016.07
215,1288.12,975.98,1062.34
216,1303.71,976.42,1066.74
217,1313.44,981.93,1087.34
218,1323.93,996.56,1089.83
219,1334.23,1003.96,1098.02
220,1349.51,1003.88,1100.10
221,1357.29,1015.20,1100.46
222,1372.30,1003.08,1110.67
