an52,bn52,variant,total_ns,ns_per_limb
8,1,generic,5.294379,0.661797365
8,1,special,3.102067,0.387758323
9,1,generic,5.019560,0.557728901
9,1,special,3.512980,0.390331094
10,1,generic,4.966466,0.496646572
10,1,special,3.433884,0.343388433
11,1,generic,4.903730,0.445793600
11,1,special,3.460190,0.314562742
12,1,generic,4.660967,0.388413886
12,1,special,3.345466,0.278788837
13,1,generic,4.794449,0.368803771
13,1,special,3.373135,0.259471906
14,1,generic,4.860600,0.347185695
14,1,special,3.383129,0.241652056
15,1,generic,4.735841,0.315722711
15,1,special,3.357846,0.223856372
16,1,generic,4.728054,0.295503380
16,1,special,3.396635,0.212289680
17,1,generic,6.462708,0.380159299
17,1,special,3.785493,0.222676066
18,1,generic,6.478532,0.359918434
18,1,special,3.785762,0.210320134
19,1,generic,6.553634,0.344928113
19,1,special,3.795146,0.199744551
20,1,generic,6.635795,0.331789743
20,1,special,6.324597,0.316229829
21,1,generic,11.203819,0.533515212
21,1,special,3.943521,0.187786728
22,1,generic,6.903627,0.313801220
22,1,special,3.900778,0.177308079
23,1,generic,6.912720,0.300553035
23,1,special,4.126114,0.179396261
24,1,generic,6.845002,0.285208436
24,1,special,3.963103,0.165129297
25,1,generic,6.173014,0.246920551
25,1,special,3.622627,0.144905094
26,1,generic,6.192831,0.238185813
26,1,special,3.588787,0.138030265
27,1,generic,6.475840,0.239845944
27,1,special,4.891748,0.181175835
28,1,generic,11.170110,0.398932512
28,1,special,6.576090,0.234860361
29,1,generic,6.589098,0.227210290
29,1,special,3.466047,0.119518854
30,1,generic,6.082419,0.202747300
30,1,special,3.492495,0.116416494
31,1,generic,6.082237,0.196201178
31,1,special,3.551884,0.114576918
32,1,generic,6.036338,0.188635551
32,1,special,3.578139,0.111816853
33,1,generic,8.001848,0.242480246
33,1,special,4.311651,0.130656080
34,1,generic,7.792765,0.229198977
34,1,special,4.318593,0.127017436
35,1,generic,7.796263,0.222750374
35,1,special,4.406135,0.125889584
36,1,generic,7.920893,0.220024805
