an52,bn52,total_ns,ns_per_limb
8,1,2.976274,0.372034226
9,1,2.986948,0.331883117
10,1,2.877754,0.287775380
11,1,2.767983,0.251634844
12,1,2.854565,0.237880444
13,1,2.897563,0.222889474
14,1,2.813054,0.200932441
15,1,2.778488,0.185232560
16,1,2.775278,0.173454879
17,1,3.448282,0.202840127
18,1,3.355456,0.186414232
19,1,3.380398,0.177915694
20,1,3.390869,0.169543457
21,1,3.391471,0.161498624
22,1,3.407777,0.154898934
23,1,3.415293,0.148490988
24,1,3.415259,0.142302441
25,1,2.836916,0.113476648
26,1,2.792335,0.107397497
27,1,2.835915,0.105033882
28,1,2.801817,0.100064899
29,1,2.834230,0.097732065
30,1,2.797497,0.093249914
31,1,2.851414,0.091981104
32,1,2.813336,0.087916736
33,1,3.287832,0.099631275
34,1,3.338189,0.098182028
35,1,3.296535,0.094186728
36,1,3.348783,0.093021752
37,1,3.287552,0.088852755
38,1,3.339089,0.087870756
39,1,3.278372,0.084060816
40,1,3.350612,0.083765295
41,1,3.651409,0.089058746
42,1,3.666478,0.087297106
43,1,3.604176,0.083818053
44,1,3.666475,0.083328973
45,1,3.611329,0.080251746
46,1,3.642544,0.079185749
47,1,3.663932,0.077956009
48,1,3.658493,0.076218596
49,1,4.071485,0.083091530
50,1,4.148733,0.082974661
51,1,4.097315,0.080339503
52,1,4.166182,0.080118885
53,1,4.063991,0.076679083
54,1,4.162243,0.077078571
55,1,4.067980,0.073963264
56,1,4.157314,0.074237755
57,1,4.043646,0.070941167
58,1,4.005531,0.069060887
59,1,4.041758,0.068504378
60,1,4.002493,0.066708224
61,1,4.033888,0.066129313
62,1,4.003399,0.064570949
63,1,4.040429,0.064133795
64,1,4.031210,0.062987651
65,1,4.736554,0.072870057
66,1,4.669323,0.070747324
67,1,4.670626,0.069710831
68,1,4.765253,0.070077255
69,1,4.709905,0.068259491
70,1,4.732160,0.067602292
71,1,4.678691,0.065897057
72,1,4.685378,0.065074689
73,1,5.383213,0.073742650
74,1,5.377221,0.072665144
75,1,5.399517,0.071993564
76,1,5.329377,0.070123386
77,1,5.407099,0.070222063
78,1,5.335156,0.068399436
79,1,5.403149,0.068394288
80,1,5.343312,0.066791399
81,1,7.262336,0.089658468
82,1,7.416106,0.090440311
83,1,6.974148,0.084025877
84,1,7.302767,0.086937705
85,1,6.972221,0.082026135
86,1,7.607397,0.088458106
87,1,7.135395,0.082016038
88,1,7.577174,0.086104253
89,1,9.474149,0.106451116
90,1,9.130030,0.101444781
91,1,9.051341,0.099465288
92,1,8.951742,0.097301543
93,1,9.122227,0.098088463
94,1,9.163158,0.097480402
95,1,9.123677,0.096038709
96,1,9.025393,0.094014515
97,1,11.343546,0.116943771
98,1,11.939899,0.121835707
99,1,11.234690,0.113481712
100,1,12.014280,0.120142799
8,2,2.081842,0.130115129
9,2,2.942207,0.163455956
10,2,2.976390,0.148819494
11,2,2.967124,0.134869280
12,2,2.975853,0.123993867
13,2,2.939249,0.113048026
14,2,2.993316,0.106904142
15,2,2.939499,0.097983289
16,2,2.978913,0.093091046
17,2,3.452685,0.101549553
18,2,3.451294,0.095869283
19,2,3.442895,0.090602495
20,2,3.432276,0.085806906
21,2,3.463534,0.082465099
22,2,3.434056,0.078046728
23,2,3.450394,0.075008566
24,2,3.445413,0.071779443
25,2,3.998477,0.079969534
26,2,3.959813,0.076150249
27,2,4.010632,0.074270961
28,2,3.979399,0.071060693
29,2,3.997458,0.068921686
30,2,3.959892,0.065998202
31,2,4.005298,0.064601588
32,2,3.978932,0.062170811
33,2,4.443271,0.067322289
34,2,4.484404,0.065947120
35,2,4.417522,0.063107458
36,2,4.509411,0.062630709
37,2,4.444135,0.060055876
38,2,4.499717,0.059206796
39,2,4.456046,0.057128794
40,2,4.482560,0.056031996
41,2,5.381474,0.065627730
42,2,5.384476,0.064100907
43,2,5.408808,0.062893119
44,2,5.688916,0.064646776
45,2,5.362190,0.059579890
46,2,5.377877,0.058455186
47,2,5.361592,0.057038211
48,2,5.358344,0.055816080
49,2,6.143214,0.062685860
50,2,6.163460,0.061634601
51,2,6.079991,0.059607760
52,2,6.166369,0.059292006
53,2,6.132026,0.057849304
54,2,6.124871,0.056711772
55,2,6.085396,0.055321782
56,2,6.136413,0.054789399
57,2,6.669114,0.058501001
58,2,6.759009,0.058267316
59,2,6.705757,0.056828445
60,2,7.186401,0.059886672
61,2,6.196938,0.050794570
62,2,6.744632,0.054392194
63,2,6.235516,0.049488222
64,2,6.234334,0.048705738
65,2,7.491064,0.057623569
66,2,7.464824,0.056551698
67,2,7.438697,0.055512667
68,2,7.446971,0.054757140
69,2,7.435664,0.053881620
70,2,7.454142,0.053243874
71,2,7.401336,0.052122088
72,2,7.491521,0.052024450
73,2,8.336948,0.057102385
74,2,8.045885,0.054364090
75,2,8.209031,0.054726874
76,2,8.124488,0.053450581
77,2,8.240731,0.053511242
78,2,8.050997,0.051608952
79,2,8.263791,0.052302472
80,2,8.196278,0.051226735
81,2,9.619469,0.059379441
82,2,10.001370,0.060983963
83,2,9.619662,0.057949770
84,2,9.880928,0.058815047
85,2,9.694159,0.057024465
86,2,10.115160,0.058809069
87,2,9.704556,0.055773311
88,2,10.088636,0.057321794
89,2,11.005469,0.061828476
90,2,10.962349,0.060901937
91,2,10.997284,0.060424638
92,2,11.607141,0.063082289
93,2,11.161908,0.060010261
94,2,10.604821,0.056408620
95,2,11.305007,0.059500036
96,2,11.075567,0.057685245
97,2,12.125642,0.062503312
98,2,12.730232,0.064950162
99,2,12.098432,0.061103192
100,2,13.019016,0.065095078
8,3,2.638931,0.109955451
9,3,3.534434,0.130904977
10,3,3.483191,0.116106359
11,3,3.555237,0.107734448
12,3,3.524645,0.097906818
13,3,3.558511,0.091243872
14,3,3.601211,0.085743108
15,3,3.577018,0.079489289
16,3,3.546278,0.073880782
17,3,4.206938,0.082488984
18,3,4.177096,0.077353627
19,3,4.197375,0.073638163
20,3,4.184450,0.069740832
21,3,4.198735,0.066646593
22,3,4.190932,0.063498972
23,3,4.254343,0.061657150
24,3,4.304911,0.059790435
25,3,4.510197,0.060135962
26,3,4.585689,0.058790881
27,3,4.505920,0.055628644
28,3,4.578665,0.054507919
29,3,4.516515,0.051913961
30,3,4.538724,0.050430271
31,3,4.434046,0.047677914
