an52,bn52,total_ns,ns_per_limb
64,1,4.009507,0.062648552
65,1,5.007085,0.077032077
66,1,4.974893,0.075377166
67,1,5.187531,0.077425838
68,1,8.095155,0.119046401
69,1,5.193576,0.075269222
70,1,5.440120,0.077715999
71,1,5.154602,0.072600022
72,1,5.097780,0.070802503
73,1,5.826663,0.079817303
74,1,5.935928,0.080215246
75,1,5.908167,0.078775554
76,1,5.840224,0.076845050
77,1,5.859069,0.076091800
78,1,5.967294,0.076503769
79,1,5.422251,0.068636086
80,1,5.468013,0.068350162
81,1,7.637700,0.094292590
82,1,6.877181,0.083868065
83,1,7.359522,0.088668942
84,1,7.149074,0.085108021
85,1,7.302108,0.085907149
86,1,6.942151,0.080722687
87,1,7.417732,0.085261291
88,1,7.177202,0.081559119
89,1,9.015972,0.101303057
90,1,8.594843,0.095498258
91,1,8.689412,0.095488040
92,1,8.713189,0.094708580
93,1,8.687806,0.093417267
94,1,8.831702,0.093954275
95,1,8.878029,0.093452938
96,1,8.759909,0.091249054
97,1,11.254065,0.116021288
98,1,11.598025,0.118347191
99,1,10.739124,0.108475997
100,1,11.366244,0.113662435
101,1,10.733394,0.106271228
102,1,11.602888,0.113753805
103,1,10.823505,0.105082570
104,1,11.649624,0.112015615
105,1,11.500984,0.109533185
106,1,12.623546,0.119090055
107,1,11.633688,0.108726055
108,1,12.504666,0.115783949
109,1,11.666556,0.107032626
110,1,12.763224,0.116029313
111,1,11.676660,0.105195134
112,1,12.876506,0.114968808
113,1,12.801094,0.113284020
114,1,13.814003,0.121175465
115,1,12.771623,0.111057595
116,1,13.920312,0.120002688
117,1,12.788168,0.109300581
118,1,13.860984,0.117465968
119,1,12.814899,0.107688226
120,1,13.834208,0.115285063
121,1,13.257615,0.109567066
122,1,14.334221,0.117493615
123,1,13.118457,0.106654119
124,1,14.422521,0.116310654
125,1,13.312279,0.106498232
126,1,14.443444,0.114630511
127,1,13.318637,0.104871158
128,1,13.910954,0.108679331
64,2,6.635590,0.051840547
65,2,7.485412,0.057580096
66,2,7.506673,0.056868738
67,2,7.531642,0.056206281
68,2,7.813322,0.057450897
69,2,7.939170,0.057530220
70,2,8.210259,0.058644710
71,2,8.238552,0.058017971
72,2,8.249525,0.057288367
73,2,8.873634,0.060778312
74,2,8.697617,0.058767682
75,2,8.867642,0.059117613
76,2,8.891776,0.058498529
77,2,8.389107,0.054474718
78,2,8.470629,0.054298902
79,2,8.487020,0.053715319
80,2,9.033118,0.056456987
81,2,10.537889,0.065048695
82,2,9.970818,0.060797670
83,2,10.283453,0.061948510
84,2,9.634696,0.057349381
85,2,10.047373,0.059102196
86,2,9.868096,0.057372653
87,2,10.432188,0.059955104
88,2,10.319798,0.058635216
89,2,12.307041,0.069140678
90,2,13.790393,0.076613292
91,2,11.400835,0.062641950
92,2,11.181851,0.060770930
93,2,10.935698,0.058794075
94,2,11.988324,0.063767680
95,2,11.383009,0.059910573
96,2,11.038560,0.057492498
97,2,12.410243,0.063970327
98,2,13.111011,0.066892914
99,2,15.130441,0.076416368
100,2,12.860869,0.064304347
101,2,12.510949,0.061935390
102,2,13.238308,0.064893667
103,2,12.567829,0.061008877
104,2,12.677703,0.060950494
105,2,12.606005,0.060028597
106,2,13.755821,0.064885950
107,2,12.508771,0.058452199
108,2,13.517047,0.062578921
109,2,12.533100,0.057491284
110,2,13.730024,0.062409201
111,2,12.430261,0.055992167
112,2,13.593807,0.060686639
113,2,13.228089,0.058531367
114,2,14.752806,0.064705288
115,2,13.422135,0.058357110
116,2,14.823475,0.063894289
117,2,13.139758,0.056152811
118,2,14.668333,0.062153953
119,2,13.314577,0.055943601
120,2,14.778608,0.061577532
121,2,13.931677,0.057568913
122,2,15.319933,0.062786609
123,2,14.016906,0.056979293
124,2,15.245652,0.061474403
125,2,13.677314,0.054709256
126,2,14.935409,0.059267496
127,2,13.950389,0.054922793
128,2,15.260725,0.059612207
64,3,8.225607,0.042841702
65,3,9.813733,0.050326834
