an52,bn52,total_ns,ns_per_limb
8,1,2.371152,0.296393980
16,1,2.738079,0.171129958
24,1,3.468427,0.144517810
32,1,2.776539,0.086766832
40,1,3.269422,0.081735554
48,1,3.623815,0.075496148
56,1,4.076346,0.072791890
64,1,3.978932,0.062170811
72,1,4.592965,0.063791175
80,1,5.231456,0.065393201
88,1,7.184461,0.081641605
96,1,9.218815,0.096029318
104,1,11.609955,0.111634187
112,1,12.715839,0.113534273
120,1,13.690963,0.114091359
128,1,14.518216,0.113423561
136,1,15.309240,0.112567944
144,1,15.991480,0.111051946
152,1,17.105347,0.112535177
160,1,17.504847,0.109405292
168,1,18.493491,0.110080304
176,1,19.353464,0.109962861
184,1,20.194142,0.109750770
192,1,20.991584,0.109331167
200,1,21.748804,0.108744020
208,1,22.708719,0.109176534
216,1,23.508388,0.108835130
224,1,24.282173,0.108402557
232,1,25.341040,0.109228622
240,1,25.965973,0.108191553
248,1,26.826368,0.108170839
256,1,27.557186,0.107645258
264,1,28.447083,0.107754101
272,1,29.140785,0.107135240
280,1,29.659838,0.105927991
288,1,30.916079,0.107347498
296,1,31.653530,0.106937601
304,1,32.252870,0.106094968
312,1,33.310270,0.106763687
320,1,34.098180,0.106556813
328,1,34.499759,0.105182191
336,1,35.545384,0.105789832
344,1,35.550320,0.103343952
352,1,37.153986,0.105551097
360,1,38.110823,0.105863398
368,1,38.930067,0.105788225
376,1,39.936822,0.106214951
384,1,40.726237,0.106057909
392,1,41.317990,0.105403037
400,1,42.322268,0.105805671
8,2,2.197867,0.137366678
16,2,2.904528,0.090766493
24,2,3.279125,0.068315112
32,2,3.864046,0.060375723
40,2,4.323286,0.054041069
48,2,5.217691,0.054350947
56,2,5.894574,0.052630125
64,2,6.570232,0.051329938
72,2,7.478890,0.051936736
80,2,8.348583,0.052178642
88,2,9.734185,0.055307871
96,2,11.300016,0.058854249
104,2,13.216266,0.063539740
112,2,14.008670,0.062538707
120,2,14.686575,0.061194062
128,2,15.481318,0.060473899
136,2,16.964477,0.062369401
144,2,17.439104,0.060552446
152,2,17.249879,0.056743024
160,2,18.505902,0.057830944
168,2,19.466026,0.057934601
176,2,20.897539,0.059368009
184,2,21.477814,0.058363624
192,2,22.427748,0.058405595
200,2,23.486735,0.058716836
