an52,bn52,total_ns,ns_per_limb
128,1,6.152319,0.048064990
129,1,6.808516,0.052779192
130,1,6.508409,0.050064682
131,1,6.612122,0.050474216
132,1,6.596795,0.049975720
133,1,6.755835,0.050795755
134,1,6.679867,0.049849750
135,1,6.743564,0.049952327
136,1,6.702970,0.049286545
137,1,6.882163,0.050234765
138,1,6.747641,0.048895950
139,1,6.887444,0.049549955
140,1,6.920166,0.049429760
141,1,6.813939,0.048325809
142,1,6.900869,0.048597668
143,1,6.815008,0.047657398
144,1,6.846142,0.047542652
128,2,10.661278,0.041645616
129,2,11.392019,0.044155114
130,2,11.351694,0.043660360
131,2,11.314179,0.043183889
132,2,11.314840,0.042859242
133,2,11.361916,0.042713972
134,2,11.311292,0.042206313
135,2,11.311631,0.041894931
136,2,11.355887,0.041749583
137,2,11.771918,0.042963204
138,2,11.782617,0.042690640
139,2,11.768811,0.042333852
140,2,11.859877,0.042356702
141,2,11.802895,0.041854239
142,2,11.888848,0.041862140
143,2,11.850976,0.041436981
144,2,11.897639,0.041311245
128,3,14.163836,0.036884989
129,3,15.000792,0.038761736
130,3,14.934692,0.038294083
131,3,14.966427,0.038082513
132,3,14.843599,0.037483835
133,3,14.933385,0.037427029
134,3,14.810616,0.036842329
135,3,14.933647,0.036873203
136,3,14.823041,0.036330983
137,3,15.756006,0.038335781
138,3,15.648389,0.037798041
139,3,15.740071,0.037745974
140,3,15.617049,0.037183449
141,3,15.727041,0.037179765
142,3,15.631890,0.036694578
143,3,15.734735,0.036677705
144,3,15.909989,0.036828678
128,4,18.454603,0.036044147
129,4,19.549270,0.037886182
130,4,19.595694,0.037684027
131,4,19.568817,0.037345070
132,4,19.593354,0.037108625
133,4,19.591094,0.036825364
134,4,19.582748,0.036534978
135,4,19.548349,0.036200646
136,4,19.603731,0.036036271
137,4,20.695381,0.037765293
138,4,20.738653,0.037570023
139,4,20.652731,0.037145200
140,4,20.740116,0.037035921
141,4,20.667794,0.036645024
142,4,20.779023,0.036582786
143,4,20.709841,0.036206016
144,4,20.714239,0.035962220
128,5,22.645625,0.035383789
129,5,24.135692,0.037419677
130,5,24.045738,0.036993443
131,5,24.150860,0.036871542
132,5,24.110014,0.036530324
133,5,24.160115,0.036331000
134,5,24.054630,0.035902432
135,5,24.142081,0.035766045
136,5,24.075229,0.035404749
137,5,25.432556,0.037127819
138,5,25.468516,0.036910892
139,5,25.384143,0.036523946
140,5,25.443912,0.036348445
141,5,25.379365,0.035999099
142,5,25.395402,0.035768171
143,5,25.423111,0.035556798
144,5,25.415399,0.035299166
128,6,26.784710,0.034875925
129,6,28.309635,0.036575756
130,6,28.386092,0.036392426
131,6,28.362986,0.036085223
132,6,28.472827,0.035950539
133,6,28.351460,0.035528146
134,6,28.395438,0.035317709
135,6,28.339018,0.034986442
136,6,28.392209,0.034794374
137,6,29.909833,0.036386658
138,6,29.941823,0.036161622
139,6,29.943560,0.035903549
140,6,29.953721,0.035659192
141,6,29.972634,0.035428645
142,6,30.000198,0.035211500
143,6,30.024934,0.034994096
144,6,30.009801,0.034733565
128,7,31.297398,0.034930131
129,7,33.127809,0.036686389
130,7,33.082425,0.036354313
131,7,33.265239,0.036276161
132,7,33.173119,0.035901644
133,7,33.196795,0.035657137
134,7,33.136954,0.035327243
135,7,33.195120,0.035127111
136,7,33.208298,0.034882666
137,7,35.044741,0.036543004
138,7,35.034081,0.036267164
139,7,35.004998,0.035976360
140,7,35.017673,0.035732319
141,7,34.987013,0.035447835
142,7,35.042218,0.035253740
143,7,35.031411,0.034996415
144,7,35.097175,0.034818626
128,8,34.230997,0.033428708
129,8,36.050490,0.034932646
130,8,36.187211,0.034795395
131,8,36.101250,0.034447758
132,8,36.329153,0.034402607
133,8,36.155165,0.033980419
134,8,36.273314,0.033837047
135,8,36.104963,0.033430522
136,8,36.229089,0.033298795
137,8,38.200959,0.034854890
138,8,38.182293,0.034585410
139,8,38.186965,0.034340796
140,8,38.258828,0.034159668
141,8,38.248623,0.033908354
142,8,38.213454,0.033638604
143,8,38.225936,0.033414279
144,8,38.480085,0.033402852
