an52,bn52,total_ns,ns_per_limb
8,1,1.875013,0.234376641
16,1,2.042251,0.127640714
24,1,2.499568,0.104148650
32,1,2.763089,0.086346516
40,1,3.296503,0.082412563
48,1,3.329428,0.069363090
56,1,3.721519,0.066455688
64,1,4.239636,0.066244306
72,1,4.402851,0.061150710
80,1,4.652826,0.058160323
88,1,4.879035,0.055443579
96,1,5.066660,0.052777704
104,1,5.399458,0.051917865
112,1,5.721674,0.051086372
120,1,5.948605,0.049571705
128,1,5.750328,0.044924435
136,1,10.056678,0.073946164
144,1,6.722259,0.046682353
152,1,7.260504,0.047766472
160,1,7.360288,0.046001798
168,1,7.930863,0.047207518
176,1,8.204967,0.046619130
184,1,8.398014,0.045641378
192,1,8.215752,0.042790372
200,1,8.985381,0.044926907
208,1,9.194313,0.044203426
216,1,9.370101,0.043380096
224,1,9.549792,0.042632999
232,1,10.061645,0.043369159
240,1,10.415768,0.043399032
248,1,10.699964,0.043145015
256,1,10.782350,0.042118553
264,1,11.193891,0.042401102
272,1,11.285390,0.041490406
280,1,11.829071,0.042246683
288,1,11.895179,0.041302706
296,1,12.271263,0.041456969
304,1,12.687272,0.041734446
312,1,12.953365,0.041517194
320,1,13.247629,0.041398840
328,1,13.559870,0.041341067
336,1,14.052762,0.041823698
344,1,14.224610,0.041350611
352,1,14.359885,0.040795127
360,1,14.893655,0.041371263
368,1,15.303731,0.041586226
376,1,15.533471,0.041312423
384,1,15.517115,0.040409153
392,1,15.960435,0.040715395
400,1,16.203457,0.040508643
8,2,1.835514,0.114719652
16,2,2.637056,0.082407998
24,2,3.325295,0.069276985
32,2,3.619690,0.056557661
40,2,4.273370,0.053417127
48,2,4.525485,0.047140470
56,2,5.405672,0.048264925
64,2,5.532539,0.043222961
72,2,6.514925,0.045242533
80,2,6.889306,0.043058162
88,2,7.483514,0.042519968
96,2,7.713143,0.040172621
104,2,8.557785,0.041143198
112,2,8.998587,0.040172265
120,2,9.701825,0.040424272
128,2,10.100131,0.039453638
136,2,10.792969,0.039680032
144,2,11.179442,0.038817506
152,2,11.915221,0.039194806
160,2,12.219581,0.038186190
168,2,13.115519,0.039034282
176,2,13.452385,0.038217004
184,2,14.141360,0.038427609
192,2,14.540494,0.037865870
200,2,15.209641,0.038024103
208,2,15.549705,0.037379098
216,2,16.259528,0.037637796
224,2,16.638122,0.037138665
232,2,17.349421,0.037390993
240,2,17.735323,0.036948590
248,2,18.436339,0.037170039
256,2,19.109241,0.037322737
264,2,19.814777,0.037527988
272,2,20.167883,0.037073314
280,2,20.919449,0.037356158
288,2,21.218114,0.036837003
296,2,21.862041,0.036929123
304,2,22.282074,0.036648148
312,2,22.973159,0.036815959
320,2,23.474967,0.036679636
328,2,24.218798,0.036918900
336,2,24.513897,0.036479013
344,2,25.413034,0.036937549
352,2,25.794580,0.036640029
360,2,26.516831,0.036828932
368,2,26.695026,0.036270415
376,2,27.395021,0.036429549
384,2,27.801028,0.036199255
392,2,28.806653,0.036743180
400,2,29.219831,0.036524788
8,3,2.579381,0.107474212
16,3,3.276048,0.068250993
24,3,4.353261,0.060461962
32,3,4.126399,0.042983320
40,3,5.050688,0.042089065
48,3,5.865002,0.040729178
56,3,6.726161,0.040036671
64,3,7.181949,0.037405986
72,3,8.337198,0.038598140
80,3,9.068266,0.037784441
88,3,9.775727,0.037029270
96,3,10.223217,0.035497282
104,3,10.978958,0.035188968
112,3,11.811307,0.035152700
120,3,12.670197,0.035194991
128,3,13.322504,0.034694020
136,3,14.428339,0.035363575
144,3,14.964487,0.034640015
152,3,15.788763,0.034624479
160,3,16.504207,0.034383765
168,3,17.172682,0.034072782
176,3,18.037850,0.034162594
184,3,19.261726,0.034894431
192,3,19.426002,0.033725698
200,3,20.507648,0.034179414
208,3,21.131613,0.033864765
216,3,21.851786,0.033721892
224,3,22.498560,0.033480000
232,3,23.377104,0.033587793
240,3,24.141819,0.033530305
248,3,24.945805,0.033529308
256,3,25.586308,0.033315506
264,3,27.011020,0.034104823
272,3,27.558339,0.033772474
280,3,28.250254,0.033631255
288,3,28.851390,0.033392812
296,3,29.577726,0.033308250
304,3,30.391976,0.033324536
312,3,31.191274,0.033324010
320,3,31.979071,0.033311532
328,3,33.009405,0.033546143
336,3,33.501708,0.033235822
344,3,34.356319,0.033291006
352,3,34.999545,0.033143509
360,3,35.807208,0.033154822
368,3,36.496025,0.033057994
376,3,37.333942,0.033097467
384,3,38.029045,0.033011324
392,3,39.142170,0.033284158
400,3,39.755241,0.033129368
8,4,2.861885,0.089433898
16,4,3.746355,0.058536798
24,4,4.987115,0.051949115
32,4,5.214100,0.040735152
40,4,6.325687,0.039535543
48,4,7.477318,0.038944362
56,4,8.543577,0.038140971
