an52,bn52,total_ns,ns_per_limb
8,1,2.103890,0.262986296
16,1,2.349841,0.146865043
24,1,3.075752,0.128156344
32,1,2.910304,0.090946998
40,1,3.306367,0.082659176
48,1,3.379166,0.070399301
56,1,4.070016,0.072678865
64,1,3.721116,0.058142443
72,1,4.471983,0.062110878
80,1,4.733393,0.059167412
88,1,4.905612,0.055745595
96,1,4.878912,0.050822004
104,1,5.492098,0.052808637
112,1,5.786301,0.051663403
120,1,6.299744,0.052497869
128,1,6.192026,0.048375205
136,1,6.918002,0.050867659
144,1,6.976821,0.048450143
152,1,7.442598,0.048964460
160,1,7.253264,0.045332897
168,1,7.672036,0.045666881
176,1,8.257076,0.046915202
184,1,8.936062,0.048565553
192,1,8.468462,0.044106574
200,1,8.950252,0.044751262
208,1,9.729705,0.046777428
216,1,9.847659,0.045591013
224,1,9.539089,0.042585218
232,1,10.603873,0.045706351
240,1,11.166789,0.046528289
248,1,11.500034,0.046371107
256,1,11.531446,0.045044711
264,1,11.774447,0.044600177
272,1,12.325599,0.045314702
280,1,12.724794,0.045445692
288,1,12.646917,0.043912905
296,1,12.857582,0.043437776
304,1,13.136914,0.043213533
312,1,13.446196,0.043096783
320,1,13.207079,0.041272122
328,1,13.943563,0.042510863
336,1,14.255258,0.042426364
344,1,14.534199,0.042250579
352,1,14.315835,0.040669987
360,1,14.733550,0.040926529
368,1,15.214475,0.041343682
376,1,15.761740,0.041919522
384,1,15.452113,0.040239878
392,1,16.081002,0.041022965
400,1,16.742886,0.041857216
8,2,1.886749,0.117921794
16,2,2.687836,0.083994874
24,2,3.400059,0.070834566
32,2,3.832185,0.059877891
40,2,4.311487,0.053893587
48,2,4.547880,0.047373750
56,2,5.402533,0.048236906
64,2,5.499115,0.042961833
72,2,6.575893,0.045665923
80,2,6.929656,0.043310352
88,2,7.488894,0.042550536
96,2,7.718241,0.040199170
104,2,8.451249,0.040631005
112,2,8.930330,0.039867546
120,2,9.618796,0.040078317
128,2,9.975932,0.038968483
136,2,10.783385,0.039644798
144,2,11.284149,0.039181074
152,2,11.823669,0.038893649
160,2,12.286483,0.038395259
168,2,13.056430,0.038858423
176,2,13.381675,0.038016123
184,2,13.973067,0.037970290
192,2,14.443840,0.037614165
200,2,15.060648,0.037651619
208,2,15.493171,0.037243199
216,2,16.126774,0.037330495
224,2,16.526276,0.036889008
232,2,17.239331,0.037153730
240,2,17.733746,0.036945304
248,2,18.353586,0.037003197
256,2,18.960487,0.037032202
264,2,19.858184,0.037610197
272,2,20.088508,0.036927405
280,2,20.648902,0.036873039
288,2,21.295278,0.036970970
296,2,22.119316,0.037363710
304,2,22.356871,0.036771170
312,2,22.906296,0.036708807
320,2,23.780585,0.037157163
328,2,24.211295,0.036907461
336,2,24.595963,0.036601135
344,2,25.050005,0.036409891
352,2,25.681158,0.036478917
360,2,26.650096,0.037014022
368,2,26.774320,0.036378153
376,2,27.242677,0.036226965
384,2,27.819089,0.036222772
392,2,28.550713,0.036416726
400,2,28.899838,0.036124798
8,3,2.560413,0.106683893
16,3,3.264949,0.068019775
24,3,4.184199,0.058113873
32,3,4.252283,0.044294616
40,3,5.081895,0.042349128
48,3,5.846065,0.040597672
56,3,6.738876,0.040112356
64,3,7.161485,0.037299399
72,3,8.350145,0.038658080
80,3,9.042309,0.037676286
88,3,10.643163,0.040315010
96,3,10.218587,0.035481203
104,3,10.943387,0.035074957
112,3,11.802150,0.035125447
120,3,12.627740,0.035077055
128,3,13.391415,0.034873476
136,3,14.443117,0.035399798
144,3,14.944386,0.034593487
152,3,15.772531,0.034588884
