shape,an52,bn52,old_ns,new_ns,old_ns_per_digit_product,new_ns_per_digit_product,speedup_old_over_new
an=1bn,8,8,5.758516,10.847319,0.089976819,0.169489354,0.530870
an=1bn,16,16,14.759900,16.401266,0.057655860,0.064067444,0.899924
an=1bn,24,24,25.956343,24.348374,0.045063096,0.042271483,1.066040
an=1bn,32,32,40.363589,35.407913,0.039417567,0.034578040,1.139960
an=1bn,40,40,58.306087,51.423057,0.036441304,0.032139411,1.133851
an=1bn,48,48,79.130301,71.922198,0.034344749,0.031216232,1.100221
an=1bn,56,56,103.892961,94.140248,0.033129133,0.030019212,1.103598
an=1bn,64,64,132.299051,122.810784,0.032299573,0.029983102,1.077259
an=1bn,72,72,163.236816,152.784451,0.031488583,0.029472309,1.068412
an=1bn,80,80,197.737028,187.196295,0.030896411,0.029249421,1.056308
an=1bn,88,88,235.741776,223.548214,0.030441862,0.028867280,1.054546
an=1bn,96,96,279.460379,258.188012,0.030323392,0.028015192,1.082391
an=1bn,104,104,316.940341,302.390625,0.029302916,0.027957713,1.048116
an=1bn,112,112,365.452762,349.206944,0.029133670,0.027838564,1.046522
an=1bn,120,120,415.981086,398.693038,0.028887575,0.027687017,1.043362
an=1bn,128,128,471.719216,453.770833,0.028791456,0.027695974,1.039554
an=1bn,136,136,531.449153,511.187500,0.028733194,0.027637732,1.039636
an=1bn,144,144,593.771226,574.571591,0.028634801,0.027708892,1.033416
an=1bn,152,152,658.863932,637.653750,0.028517310,0.027599279,1.033263
an=1bn,160,160,729.990552,706.892361,0.028515256,0.027612983,1.032676
an=1bn,168,168,802.504808,778.762195,0.028433419,0.027592198,1.030488
an=1bn,176,176,880.387153,853.365709,0.028421589,0.027549255,1.031665
an=1bn,184,184,961.549242,934.656250,0.028401147,0.027606813,1.028773
an=1bn,192,192,1047.735417,1019.401210,0.028421642,0.027653028,1.027795
an=1bn,200,200,1131.055804,1103.798491,0.028276395,0.027594962,1.024694
an=1bn,208,208,1227.615385,1191.822917,0.028374986,0.027547682,1.030032
an=1bn,216,216,1317.442708,1289.018750,0.028237369,0.027628145,1.022051
an=1bn,224,224,1413.675272,1387.139946,0.028174332,0.027645487,1.019130
an=1bn,232,232,1519.800595,1483.443182,0.028236485,0.027560998,1.024509
an=1bn,240,240,1625.617188,1584.509375,0.028222521,0.027508843,1.025944
an=1bn,248,248,1732.309211,1708.807566,0.028165798,0.027783682,1.013753
an=1bn,256,256,1875.488971,1804.470486,0.028617691,0.027534035,1.039357
an=1bn,264,264,1955.207031,1926.295956,0.028053361,0.027638544,1.015009
an=1bn,272,272,2073.738281,2047.783203,0.028029551,0.027678731,1.012675
an=1bn,280,280,2226.508333,2191.570833,0.028399341,0.027953710,1.015942
an=1bn,288,288,2356.348214,2324.118304,0.028408905,0.028020331,1.013868
an=1bn,296,296,2497.007212,2463.786058,0.028499443,0.028120275,1.013484
an=1bn,304,304,2653.843750,2602.245192,0.028716280,0.028157951,1.019828
an=1bn,312,312,2784.098958,2743.528646,0.028600622,0.028183850,1.014788
an=1bn,320,320,2937.656250,2874.562500,0.028688049,0.028071899,1.021949
an=1bn,328,328,3088.647727,3025.465909,0.028709174,0.028121895,1.020883
an=1bn,336,336,3256.484375,3205.112500,0.028844993,0.028389956,1.016028
an=1bn,344,344,3398.696875,3328.293750,0.028720735,0.028125792,1.021153
an=1bn,352,352,3535.506944,3496.097222,0.028534244,0.028216177,1.011272
an=1bn,360,360,3687.236111,3644.010417,0.028450896,0.028117364,1.011862
an=1bn,368,368,3860.878472,3795.878472,0.028509559,0.028029585,1.017124
an=1bn,376,376,4022.792969,3979.042969,0.028454568,0.028145109,1.010995
an=1bn,384,384,4193.648438,4139.507812,0.028439999,0.028072834,1.013079
an=1bn,392,392,4369.699219,4318.835938,0.028436714,0.028105711,1.011777
an=1bn,400,400,4549.714286,4491.812500,0.028435714,0.028073828,1.012891
an=2bn,8,4,4.677659,6.305143,0.146176833,0.197035718,0.741880
an=2bn,16,8,10.675344,7.088243,0.083401122,0.055376897,1.506063
an=2bn,24,12,17.648327,14.157127,0.061278914,0.049156693,1.246604
an=2bn,32,16,26.272742,23.824219,0.051313948,0.046531677,1.102775
an=2bn,40,20,36.084415,28.489232,0.045105518,0.035611540,1.266598
an=2bn,48,24,45.874542,39.852548,0.039821651,0.034594225,1.151107
an=2bn,56,28,60.608406,50.458972,0.038653320,0.032180467,1.201142
an=2bn,64,32,74.914474,64.839017,0.036579333,0.031659676,1.155392
an=2bn,72,36,90.241985,78.894521,0.034815581,0.030437701,1.143831
an=2bn,80,40,107.840086,98.861987,0.033700027,0.030894371,1.090814
an=2bn,88,44,128.477971,114.695055,0.033181294,0.029621657,1.120170
an=2bn,96,48,150.400541,136.291576,0.032639006,0.029577165,1.103520
an=2bn,104,52,172.121738,156.777500,0.031827244,0.028989922,1.097873
an=2bn,112,56,198.187500,184.140809,0.031598772,0.029359185,1.076282
an=2bn,120,60,223.742411,209.174375,0.031075335,0.029051997,1.069645
an=2bn,128,64,252.569808,237.283617,0.030831275,0.028965285,1.064422
an=2bn,136,68,284.030405,264.171744,0.030712630,0.028565284,1.075173
an=2bn,144,72,316.311250,296.107311,0.030508415,0.028559733,1.068232
an=2bn,152,76,351.078472,328.605469,0.030391142,0.028445764,1.068389
an=2bn,160,80,383.851372,365.046148,0.029988388,0.028519230,1.051515
an=2bn,168,84,417.444167,397.597310,0.029580794,0.028174413,1.049917
an=2bn,176,88,459.454710,439.251302,0.029665206,0.028360750,1.045995
an=2bn,184,92,500.637897,475.736742,0.029574545,0.028103541,1.052342
an=2bn,192,96,544.561422,521.539583,0.029544348,0.028295333,1.044142
an=2bn,200,100,588.579861,561.850446,0.029428993,0.028092522,1.047574
an=2bn,208,104,637.203750,608.915865,0.029456534,0.028148847,1.046456
an=2bn,216,108,683.006793,658.656250,0.029278412,0.028234579,1.036970
an=2bn,224,112,733.049419,710.267045,0.029219125,0.028311027,1.032076
an=2bn,232,116,785.426563,758.040179,0.029184994,0.028167367,1.036128
an=2bn,240,120,838.869243,816.847756,0.029127404,0.028362769,1.026959
an=2bn,248,124,894.255357,865.907939,0.029079584,0.028157776,1.032737
an=2bn,256,128,951.303030,924.380515,0.029031465,0.028209855,1.029125
an=2bn,264,132,1010.721774,979.576172,0.029003724,0.028109968,1.031795
an=2bn,272,136,1070.912500,1043.059375,0.028949841,0.028196891,1.026703
an=2bn,280,140,1133.890625,1099.510776,0.028925781,0.028048744,1.031268
an=2bn,288,144,1197.887731,1166.673611,0.028884253,0.028131597,1.026755
an=2bn,296,148,1263.557500,1226.930288,0.028843077,0.028006992,1.029853
an=2bn,304,152,1331.427083,1298.456250,0.028813779,0.028100248,1.025392
an=2bn,312,156,1402.017663,1364.953804,0.028805425,0.028043923,1.027154
an=2bn,320,160,1472.393466,1438.218750,0.028757685,0.028090210,1.023762
an=2bn,328,164,1547.447917,1505.544643,0.028767250,0.027988263,1.027833
an=2bn,336,168,1618.757812,1583.525000,0.028676974,0.028052810,1.022250
an=2bn,344,172,1699.253289,1659.187500,0.028719127,0.028041974,1.024148
