shape,an52,bn52,old_ns,new_ns,old_ns_per_digit_product,new_ns_per_digit_product,speedup_old_over_new
an=1bn,8,8,5.671311,10.774916,0.088614231,0.168358062,0.526344
an=1bn,16,16,14.879626,12.070186,0.058123538,0.047149163,1.232759
an=1bn,24,24,26.688114,21.165517,0.046333531,0.036745689,1.260924
an=1bn,32,32,41.013246,32.810762,0.040051998,0.032041760,1.249994
an=1bn,40,40,56.945981,47.530728,0.035591238,0.029706705,1.198088
an=1bn,48,48,76.493506,66.474721,0.033200306,0.028851876,1.150716
an=1bn,56,56,100.909879,89.405089,0.032177895,0.028509276,1.128682
an=1bn,64,64,128.142418,115.425046,0.031284770,0.028179943,1.110179
an=1bn,72,72,158.808217,145.486483,0.030634301,0.028064522,1.091567
an=1bn,80,80,192.931520,182.401163,0.030145550,0.028500182,1.057732
an=1bn,88,88,231.348116,219.363199,0.029874498,0.028326859,1.054635
an=1bn,96,96,272.393207,258.702738,0.029556555,0.028071044,1.052920
an=1bn,104,104,317.413826,303.006911,0.029346692,0.028014692,1.047546
an=1bn,112,112,365.965480,351.568469,0.029174544,0.028026823,1.040951
an=1bn,120,120,419.332083,401.244792,0.029120284,0.027864222,1.045078
an=1bn,128,128,473.412313,456.289402,0.028894795,0.027849695,1.037526
an=1bn,136,136,532.942797,541.436961,0.028813949,0.029273192,0.984312
an=1bn,144,144,592.591981,570.822159,0.028577931,0.027528075,1.038138
an=1bn,152,152,659.659505,634.472500,0.028551745,0.027461587,1.039698
an=1bn,160,160,730.252180,703.664583,0.028525476,0.027486898,1.037784
an=1bn,168,168,802.337340,775.446646,0.028427485,0.027474725,1.034678
an=1bn,176,176,879.372396,852.293919,0.028388830,0.027514654,1.031771
an=1bn,184,184,960.337121,929.306985,0.028365345,0.027448812,1.033391
an=1bn,192,192,1043.797917,1016.185484,0.028314831,0.027565795,1.027173
an=1bn,200,200,1130.006696,1101.278017,0.028250167,0.027531950,1.026087
an=1bn,208,208,1222.483173,1191.430556,0.028256360,0.027538613,1.026063
an=1bn,216,216,1314.214844,1283.270000,0.028168185,0.027504930,1.024114
an=1bn,224,224,1413.471467,1379.600543,0.028170270,0.027495228,1.024551
an=1bn,232,232,1516.303571,1481.159091,0.028171514,0.027518562,1.023728
an=1bn,240,240,1617.290625,1582.276562,0.028077962,0.027470079,1.022129
an=1bn,248,248,1726.932566,1690.092105,0.028078378,0.027479385,1.021798
an=1bn,256,256,1839.810662,1802.074653,0.028073283,0.027497477,1.020940
an=1bn,264,264,1956.654297,1913.428309,0.028074126,0.027453919,1.022591
an=1bn,272,272,2076.591797,2033.273438,0.028068120,0.027482610,1.021305
an=1bn,280,280,2199.950000,2152.262500,0.028060587,0.027452328,1.022157
an=1bn,288,288,2321.841518,2279.745536,0.027992881,0.027485358,1.018465
an=1bn,296,296,2450.278846,2406.483173,0.027966112,0.027466252,1.018199
an=1bn,304,304,2583.161058,2539.557692,0.027951448,0.027479632,1.017170
an=1bn,312,312,2724.182292,2678.817708,0.027985107,0.027519084,1.016935
an=1bn,320,320,2860.585227,2816.546875,0.027935403,0.027505341,1.015636
an=1bn,328,328,3006.093750,2956.267045,0.027941829,0.027478687,1.016855
an=1bn,336,336,3154.865625,3105.323864,0.027944884,0.027506057,1.015954
an=1bn,344,344,3300.671875,3259.862500,0.027892373,0.027547513,1.012519
an=1bn,352,352,3458.918750,3403.075000,0.027916119,0.027465417,1.016410
an=1bn,360,360,3621.649306,3559.326389,0.027944825,0.027463938,1.017510
an=1bn,368,368,3773.763889,3718.555556,0.027866286,0.027458616,1.014847
an=1bn,376,376,3942.722656,3883.795139,0.027888203,0.027471389,1.015173
an=1bn,384,384,4107.875000,4060.726562,0.027858310,0.027538564,1.011611
an=1bn,392,392,4280.679688,4223.726562,0.027857401,0.027486767,1.013484
an=1bn,400,400,4458.292969,4402.195312,0.027864331,0.027513721,1.012743
an=2bn,8,4,4.132658,5.895745,0.129145548,0.184242028,0.700956
an=2bn,16,8,9.822213,6.946801,0.076736038,0.054271880,1.413919
an=2bn,24,12,16.872588,13.380070,0.058585376,0.046458577,1.261024
an=2bn,32,16,24.653391,19.278744,0.048151155,0.037653797,1.278786
an=2bn,40,20,34.550276,25.529260,0.043187845,0.031911575,1.353360
an=2bn,48,24,45.259000,35.940230,0.039287326,0.031198116,1.259285
an=2bn,56,28,58.063370,46.721646,0.037030210,0.029796968,1.242751
an=2bn,64,32,71.968894,60.078395,0.035141061,0.029335154,1.197916
an=2bn,72,36,87.573267,75.004272,0.033785983,0.028936833,1.167577
an=2bn,80,40,105.203125,91.778501,0.032875977,0.028680781,1.146272
an=2bn,88,44,123.953434,110.186730,0.032012767,0.028457317,1.124940
an=2bn,96,48,145.109520,129.796032,0.031490781,0.028167542,1.117981
an=2bn,104,52,167.198697,152.589482,0.030916919,0.028215511,1.095742
an=2bn,112,56,192.499233,178.940536,0.030691842,0.028530060,1.075772
an=2bn,120,60,218.345486,203.936080,0.030325762,0.028324455,1.070656
an=2bn,128,64,245.140869,231.728472,0.029924423,0.028287167,1.057880
an=2bn,136,68,276.084430,261.202344,0.029853420,0.028244198,1.056975
an=2bn,144,72,306.469669,290.676215,0.029559189,0.028035900,1.054333
an=2bn,152,76,340.124660,322.827642,0.029442924,0.027945606,1.053580
an=2bn,160,80,374.239955,357.101207,0.029237497,0.027898532,1.047994
an=2bn,168,84,411.343339,393.826563,0.029148479,0.027907211,1.044478
an=2bn,176,88,449.837946,429.848459,0.029044289,0.027753645,1.046504
an=2bn,184,92,491.169922,470.180504,0.029015236,0.027775313,1.044641
an=2bn,192,96,532.429555,510.607863,0.028886152,0.027702250,1.042737
an=2bn,200,100,576.941477,553.402961,0.028847074,0.027670148,1.042534
an=2bn,208,104,622.136642,597.816038,0.028760015,0.027635727,1.040682
