shape,an52,bn52,old_ns,new_ns,old_ns_per_digit_product,new_ns_per_digit_product,speedup_old_over_new
an=1bn,8,8,5.689307,10.908308,0.088895425,0.170442311,0.521557
an=1bn,16,16,14.967573,12.274610,0.058467081,0.047947694,1.219393
an=1bn,24,24,25.882996,20.522208,0.044935757,0.035628833,1.261219
an=1bn,32,32,40.243442,32.739623,0.039300236,0.031972288,1.229197
an=1bn,40,40,57.383549,48.142181,0.035864718,0.030088863,1.191960
an=1bn,48,48,77.669987,67.557209,0.033710932,0.029321705,1.149692
an=1bn,56,56,101.346888,90.521266,0.032317248,0.028865200,1.119592
an=1bn,64,64,128.703275,116.541149,0.031421698,0.028452429,1.104359
an=1bn,72,72,159.835552,149.061556,0.030832475,0.028754158,1.072279
an=1bn,80,80,195.360742,180.481430,0.030525116,0.028200223,1.082442
an=1bn,88,88,231.484645,219.087398,0.029892129,0.028291245,1.056586
an=1bn,96,96,276.148897,258.756887,0.029964073,0.028076919,1.067214
an=1bn,104,104,319.802402,303.360988,0.029567530,0.028047429,1.054198
an=1bn,112,112,369.165969,351.471208,0.029429685,0.028019070,1.050345
an=1bn,120,120,421.252943,401.241987,0.029253677,0.027864027,1.049873
an=1bn,128,128,476.215260,455.925364,0.029065873,0.027827476,1.044503
an=1bn,136,136,535.195312,512.956113,0.028935733,0.027733354,1.043355
an=1bn,144,144,598.861465,574.786585,0.028880279,0.027719260,1.041885
an=1bn,152,152,663.008363,639.870323,0.028696692,0.027695218,1.036161
an=1bn,160,160,733.903809,708.390508,0.028668118,0.027671504,1.036016
an=1bn,168,168,806.794872,781.958594,0.028585419,0.027705449,1.031762
an=1bn,176,176,883.054907,856.304261,0.028507713,0.027644120,1.031240
an=1bn,184,184,962.582908,934.743193,0.028431679,0.027609381,1.029783
an=1bn,192,192,1047.541667,1017.083333,0.028416386,0.027590151,1.029947
an=1bn,200,200,1133.091491,1101.606105,0.028327287,0.027540153,1.028581
an=1bn,208,208,1225.190747,1192.444620,0.028318943,0.027562052,1.027461
an=1bn,216,216,1319.938802,1286.823630,0.028290869,0.027581096,1.025734
an=1bn,224,224,1415.704291,1380.662224,0.028214770,0.027516387,1.025381
an=1bn,232,232,1519.415827,1481.108398,0.028229337,0.027517620,1.025864
an=1bn,240,240,1622.074353,1583.755208,0.028161013,0.027495750,1.024195
an=1bn,248,248,1729.295455,1691.824777,0.028116797,0.027507557,1.022148
an=1bn,256,256,1840.889093,1801.302476,0.028089738,0.027485695,1.021977
an=1bn,264,264,1956.347656,1913.986607,0.028069726,0.027461929,1.022132
an=1bn,272,272,2077.234375,2034.414229,0.028076805,0.027498030,1.021048
an=1bn,280,280,2198.786337,2156.419744,0.028045744,0.027505354,1.019647
an=1bn,288,288,2325.494665,2282.067708,0.028036924,0.027513355,1.019030
an=1bn,296,296,2458.212340,2408.862981,0.028056660,0.027493414,1.020487
an=1bn,304,304,2590.809966,2543.902027,0.028034214,0.027526641,1.018439
an=1bn,312,312,2726.570536,2674.512153,0.028009641,0.027474854,1.019465
an=1bn,320,320,2868.229167,2814.760110,0.028010050,0.027487892,1.018996
an=1bn,328,328,3010.242188,2958.701172,0.027980389,0.027501312,1.017420
an=1bn,336,336,3158.604167,3102.035282,0.027977999,0.027476928,1.018236
an=1bn,344,344,3309.609914,3252.456897,0.027967904,0.027484932,1.017572
an=1bn,352,352,3467.006696,3407.554688,0.027981394,0.027501571,1.017447
an=1bn,360,360,3619.544471,3562.868056,0.027928584,0.027491266,1.015908
an=1bn,368,368,3781.237500,3721.030048,0.027921473,0.027476888,1.016180
an=1bn,376,376,3944.634115,3884.197500,0.027901724,0.027474235,1.015560
an=1bn,384,384,4112.146739,4049.878906,0.027887280,0.027464999,1.015375
an=1bn,392,392,4284.490057,4221.070652,0.027882198,0.027469483,1.015024
an=1bn,400,400,4457.139205,4394.102273,0.027857120,0.027463139,1.014346
an=2bn,8,4,4.322628,5.820724,0.135082111,0.181897634,0.742627
an=2bn,16,8,9.808737,7.265238,0.076630756,0.056759668,1.350092
an=2bn,24,12,16.838126,12.847878,0.058465716,0.044610689,1.310576
an=2bn,32,16,24.642502,19.495614,0.048129886,0.038077370,1.264002
an=2bn,40,20,34.430775,25.616206,0.043038469,0.032020257,1.344101
an=2bn,48,24,45.118970,35.509868,0.039165772,0.030824539,1.270604
an=2bn,56,28,57.910168,46.552740,0.036932505,0.029689248,1.243969
an=2bn,64,32,71.732522,59.804707,0.035025646,0.029201517,1.199446
an=2bn,72,36,87.100482,74.341100,0.033603581,0.028680980,1.171633
an=2bn,80,40,104.155487,91.583282,0.032548590,0.028619776,1.137276
an=2bn,88,44,123.691087,109.469115,0.031945012,0.028271982,1.129918
an=2bn,96,48,146.210086,129.686636,0.031729619,0.028143801,1.127411
an=2bn,104,52,166.999611,152.394531,0.030880106,0.028179462,1.095837
an=2bn,112,56,192.570008,175.739115,0.030703126,0.028019629,1.095772
an=2bn,120,60,217.255570,203.624661,0.030174385,0.028281203,1.066941
an=2bn,128,64,246.601132,227.036244,0.030102677,0.027714385,1.086175
an=2bn,136,68,275.043163,259.868508,0.029740827,0.028099968,1.058394
an=2bn,144,72,308.608244,286.640720,0.029765456,0.027646674,1.076638
an=2bn,152,76,339.672834,322.515142,0.029403812,0.027918555,1.053200
an=2bn,160,80,376.711847,353.354206,0.029430613,0.027605797,1.066103
an=2bn,168,84,412.182155,393.202275,0.029207919,0.027862973,1.048270
an=2bn,176,88,452.478966,426.691903,0.029214809,0.027549839,1.060435
an=2bn,184,92,491.825916,470.329844,0.029053988,0.027784135,1.045704
an=2bn,192,96,536.576964,509.565387,0.029111163,0.027645692,1.053009
an=2bn,200,100,576.568252,553.253860,0.028828413,0.027662693,1.042140
an=2bn,208,104,624.840646,594.268394,0.028885015,0.027471727,1.051445
an=2bn,216,108,669.319592,645.173373,0.028691683,0.027656609,1.037426
an=2bn,224,112,720.274332,689.405101,0.028709914,0.027479476,1.044777
an=2bn,232,116,769.528945,742.842028,0.028594268,0.027602632,1.035925
an=2bn,240,120,824.188871,790.759191,0.028617669,0.027456916,1.042275
an=2bn,248,124,877.111857,847.266610,0.028522108,0.027551594,1.035225
an=2bn,256,128,934.851485,902.446214,0.028529403,0.027540473,1.035908
an=2bn,264,132,990.555921,961.470026,0.028425044,0.027590393,1.030251
an=2bn,272,136,1050.843750,1016.895161,0.028407325,0.027489597,1.033385
an=2bn,280,140,1112.911765,1078.664152,0.028390606,0.027516943,1.031750
an=2bn,288,144,1174.215234,1140.225904,0.028313446,0.027493873,1.029809
an=2bn,296,148,1240.115543,1204.307292,0.028307970,0.027490579,1.029733
an=2bn,304,152,1307.912326,1268.277449,0.028304889,0.027447140,1.031251
an=2bn,312,156,1376.467391,1336.778169,0.028280477,0.027465035,1.029690
an=2bn,320,160,1444.736058,1403.283582,0.028217501,0.027407882,1.029540
an=2bn,328,164,1518.377016,1475.454102,0.028226818,0.027428876,1.029091
an=2bn,336,168,1589.492055,1549.554303,0.028158519,0.027451005,1.025774
