shape,an52,bn52,old_ns,new_ns,old_ns_per_digit_product,new_ns_per_digit_product,speedup_old_over_new
an=1bn,8,8,11.692843,10.771968,0.182700668,0.168311994,1.085488
an=1bn,16,16,13.933599,12.901607,0.054428121,0.050396902,1.079989
an=1bn,24,24,21.853781,21.451591,0.037940591,0.037242346,1.018749
an=1bn,32,32,33.303647,33.851089,0.032523093,0.033057704,0.983828
an=1bn,40,40,47.700981,47.161058,0.029813113,0.029475661,1.011449
an=1bn,48,48,67.317742,66.845486,0.029217770,0.029012798,1.007065
an=1bn,56,56,89.017045,88.097623,0.028385537,0.028092354,1.010436
an=1bn,64,64,115.590291,115.932755,0.028220286,0.028303895,0.997046
an=1bn,72,72,146.912999,146.448452,0.028339699,0.028250087,1.003172
an=1bn,80,80,181.253251,180.612249,0.028320821,0.028220664,1.003549
an=1bn,88,88,218.865385,217.953125,0.028262575,0.028144773,1.004186
an=1bn,96,96,259.451963,258.535382,0.028152340,0.028052884,1.003545
an=1bn,104,104,303.646541,302.848257,0.028073830,0.028000024,1.002636
an=1bn,112,112,351.569171,350.704167,0.028026879,0.027957921,1.002466
an=1bn,120,120,403.769231,402.491186,0.028039530,0.027950777,1.003175
an=1bn,128,128,456.375906,452.083929,0.027854975,0.027593013,1.009494
an=1bn,136,136,511.813508,505.488407,0.027671578,0.027329607,1.012513
an=1bn,144,144,564.580357,563.699219,0.027227062,0.027184569,1.001563
an=1bn,152,152,629.305000,627.586875,0.027237924,0.027163559,1.002738
an=1bn,160,160,694.693750,694.183424,0.027136475,0.027116540,1.000735
an=1bn,168,168,764.298018,768.352896,0.027079720,0.027223388,0.994723
an=1bn,176,176,841.930921,840.886513,0.027180105,0.027146388,1.001242
an=1bn,184,184,921.295037,920.466912,0.027212164,0.027187704,1.000900
an=1bn,192,192,1002.624023,1001.619141,0.027197917,0.027170658,1.001003
an=1bn,200,200,1088.887931,1086.259698,0.027222198,0.027156492,1.002420
an=1bn,208,208,1177.532407,1174.777778,0.027217373,0.027153702,1.002345
an=1bn,216,216,1265.447500,1269.360000,0.027122932,0.027206790,0.996918
an=1bn,224,224,1365.105978,1361.614130,0.027206353,0.027136761,1.002564
an=1bn,232,232,1462.625000,1464.088068,0.027174216,0.027201398,0.999001
an=1bn,240,240,1566.793750,1563.403125,0.027201280,0.027142415,1.002169
an=1bn,248,248,1667.907895,1671.427632,0.027118690,0.027175918,0.997894
an=1bn,256,256,1783.190972,1781.140625,0.027209335,0.027178049,1.001151
an=1bn,264,264,1895.051471,1894.463235,0.027190247,0.027181807,1.000311
an=1bn,272,272,2014.117187,2010.367188,0.027223686,0.027172999,1.001865
