shape,an52,bn52,u52_ns,ref_core_ns,ref_full_ns,u52_ns_per_digit_product,ref_core_ns_per_digit_product,ref_full_ns_per_digit_product
an=1bn,8,8,8.900628,17.502456,32.419184,0.139072309,0.273475873,0.506549756
an=1bn,10,10,15.470457,29.967252,50.098691,0.154704569,0.299672519,0.500986912
an=1bn,12,12,15.696734,36.053585,55.415762,0.109005099,0.250372119,0.384831678
an=1bn,14,14,21.461089,37.369358,56.535808,0.109495355,0.190659989,0.288448002
an=1bn,16,16,23.774262,40.122366,60.583677,0.092868209,0.156727991,0.236654986
an=1bn,18,18,30.687909,54.227715,78.198785,0.094715769,0.167369490,0.241354276
an=1bn,20,20,31.829727,60.164228,85.639041,0.079574317,0.150410570,0.214097603
an=1bn,22,22,39.787892,63.212475,89.172826,0.082206389,0.130604287,0.184241375
an=1bn,24,24,44.521026,66.762322,94.427272,0.077293448,0.115906809,0.163936236
an=1bn,26,26,51.489069,84.161832,116.980011,0.076167261,0.124499752,0.173047353
an=1bn,28,28,55.380630,91.725165,126.225732,0.070638558,0.116996384,0.161002209
an=1bn,30,30,64.749223,96.209391,132.079313,0.071943581,0.106899323,0.146754793
an=1bn,32,32,69.047795,102.172658,141.945679,0.067429488,0.099777986,0.138618827
an=1bn,34,34,78.859362,120.378771,160.790882,0.068217441,0.104133885,0.139092458
an=1bn,36,36,84.359094,128.872124,172.675587,0.065091893,0.099438367,0.133237336
an=1bn,38,38,95.768035,136.074519,179.459728,0.066321354,0.094234432,0.124279590
an=1bn,40,40,102.340717,140.772804,185.884777,0.063962948,0.087983003,0.116177986
an=1bn,42,42,113.711515,162.557571,212.133838,0.064462310,0.092152818,0.120257278
an=1bn,44,44,126.029990,176.644480,226.611941,0.065098135,0.091241983,0.117051623
an=1bn,46,46,138.521603,185.096524,234.084165,0.065463895,0.087474728,0.110625787
an=1bn,48,48,148.965575,191.442219,248.702089,0.064655198,0.083091241,0.107943615
an=1bn,50,50,158.572002,212.294683,272.070380,0.063428801,0.084917873,0.108828152
an=1bn,52,52,170.496136,225.083708,282.487105,0.063053305,0.083241016,0.104470083
an=1bn,54,54,187.626563,231.639393,291.778241,0.064343814,0.079437378,0.100061125
an=1bn,56,56,197.517368,245.626227,302.159767,0.062983855,0.078324690,0.096351966
an=1bn,58,58,206.218750,268.018214,335.004799,0.061301650,0.079672477,0.099585255
an=1bn,60,60,217.089988,276.116085,344.770450,0.060302775,0.076698912,0.095769570
an=1bn,62,62,224.834457,284.580587,351.536400,0.058489713,0.074032411,0.091450676
an=1bn,64,64,250.038417,305.753970,373.733068,0.061044535,0.074646965,0.091243425
an=1bn,66,66,265.330244,329.007785,399.030851,0.060911443,0.075529795,0.091604879
an=1bn,68,68,281.273671,342.579608,418.370000,0.060829081,0.074087285,0.090477941
an=1bn,70,70,294.944281,354.301769,433.013249,0.060192710,0.072306483,0.088370051
an=1bn,72,72,311.416494,366.073687,451.376052,0.060072626,0.070616066,0.087070998
an=1bn,74,74,324.638470,394.248424,477.733661,0.059283870,0.071995695,0.087241355
an=1bn,76,76,340.174253,407.016640,493.482237,0.058894434,0.070466870,0.085436675
an=1bn,78,78,362.986969,425.371324,506.537130,0.059662552,0.069916391,0.083257254
an=1bn,80,80,383.248597,441.435886,533.866122,0.059882593,0.068974357,0.083416582
an=1bn,82,82,393.210513,465.669709,565.155309,0.058478660,0.069254865,0.084050462
an=1bn,84,84,412.519052,483.518524,581.142940,0.058463584,0.068525868,0.082361528
an=1bn,86,86,435.658565,498.848404,599.977707,0.058904619,0.067448405,0.081121918
an=1bn,88,88,452.416166,518.492058,612.949959,0.058421509,0.066954036,0.079151596
