n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,33.860870,33.728912,1.058152198,1.054028496,1.003912
33,35.463833,36.119077,1.074661612,1.094517498,0.981859
34,38.256885,37.533076,1.125202498,1.103914014,1.019285
35,38.231553,38.650093,1.092330091,1.104288364,0.989171
36,40.871622,40.750543,1.135322823,1.131959535,1.002971
37,42.148371,43.067639,1.139145156,1.163990242,0.978655
38,44.777997,44.832457,1.178368333,1.179801499,0.998785
39,46.672847,46.802707,1.196739671,1.200069412,0.997225
40,48.125385,48.881713,1.203134620,1.222042818,0.984527
41,50.901602,51.230943,1.241502476,1.249535186,0.993571
42,53.617853,54.256076,1.276615549,1.291811343,0.988237
43,55.204974,55.670697,1.283836593,1.294667380,0.991634
44,58.207713,58.684371,1.322902559,1.333735707,0.991878
45,60.154426,60.199053,1.336765020,1.337756739,0.999259
46,62.861595,63.028058,1.366556417,1.370175169,0.997359
47,64.797512,65.825088,1.378670470,1.400533781,0.984389
48,67.683171,67.485701,1.410066062,1.405952113,1.002926
49,70.123972,70.814388,1.431101461,1.445191596,0.990250
50,73.726022,74.302298,1.474520440,1.486045959,0.992244
51,75.659375,76.284683,1.483517157,1.495778092,0.991803
52,79.195576,79.196685,1.522991855,1.523013172,0.999986
53,81.223593,81.977819,1.532520624,1.546751303,0.990800
54,84.584197,85.276875,1.566374027,1.579201389,0.991877
55,87.057335,87.470382,1.582860640,1.590370590,0.995278
56,89.955177,90.375241,1.606342453,1.613843587,0.995352
57,93.251243,93.687063,1.635986711,1.643632683,0.995348
58,96.996639,97.527417,1.672355846,1.681507187,0.994558
59,99.061642,99.625265,1.679010882,1.688563820,0.994343
60,103.264180,103.867110,1.721069659,1.731118494,0.994195
61,105.595580,105.980367,1.731075081,1.737383069,0.996369
62,109.742836,109.817184,1.770045746,1.771244901,0.999323
63,112.394611,112.755559,1.784041441,1.789770776,0.996799
64,115.936496,116.124845,1.811507745,1.814450708,0.998378
65,119.615115,119.710778,1.840232535,1.841704278,0.999201
66,123.726253,124.547809,1.874640201,1.887088012,0.993404
67,126.236709,126.654184,1.884129989,1.890360948,0.996704
68,131.144406,130.781206,1.928594200,1.923253036,1.002777
69,133.781384,133.696759,1.938860634,1.937634192,1.000633
70,138.369469,139.060370,1.976706700,1.986576720,0.995032
71,141.893154,142.008510,1.998495131,2.000119857,0.999188
72,145.437209,145.750388,2.019961240,2.024310947,0.997851
73,149.604466,149.601475,2.049376243,2.049335278,1.000020
74,154.373150,158.281197,2.086123644,2.138935099,0.975309
75,157.377517,157.733403,2.098366890,2.103112045,0.997744
76,162.309905,162.729853,2.135656643,2.141182272,0.997419
77,164.961775,164.940905,2.142360715,2.142089677,1.000127
78,170.483182,170.519545,2.185681818,2.186148019,0.999787
79,173.977505,173.859028,2.202246894,2.200747187,1.000681
80,178.026803,178.309411,2.225335033,2.228867633,0.998415
81,182.395671,183.226685,2.251798410,2.262057834,0.995465
82,188.131513,191.934049,2.294286744,2.340659135,0.980188
83,190.409736,191.292261,2.294093209,2.304726032,0.995387
84,196.271182,196.977679,2.336561691,2.344972364,0.996413
85,199.654521,199.864628,2.348876721,2.351348561,0.998949
86,205.633498,206.417857,2.391087184,2.400207641,0.996200
87,209.502232,210.050615,2.408071634,2.414374888,0.997389
88,214.589817,210.917416,2.438520647,2.396788815,1.017412
89,218.793998,213.593679,2.458359524,2.399928975,1.024347
90,225.187650,216.668880,2.502084999,2.407431999,1.039317
91,228.135949,223.351637,2.506988450,2.454413592,1.021421
92,234.107232,224.992806,2.544643825,2.445573976,1.040510
93,238.299810,230.642199,2.562363545,2.480023645,1.033201
94,244.730143,233.220149,2.603512162,2.481065418,1.049352
95,248.606481,235.263471,2.616910331,2.476457591,1.056715
96,254.278794,231.639198,2.648737438,2.412908308,1.097736
97,258.832989,232.549814,2.668381330,2.397420767,1.113022
98,266.108711,251.570375,2.715395011,2.567044646,1.057790
99,268.970630,255.981267,2.716875054,2.585669364,1.050743
100,275.779779,260.215028,2.757797794,2.602150277,1.059815
101,279.788318,262.666667,2.770181371,2.600660066,1.065184
102,287.734279,264.371831,2.820924305,2.591880696,1.088370
103,292.155763,271.156431,2.836463721,2.632586705,1.077444
104,297.723892,273.110828,2.862729735,2.626065659,1.090121
105,302.425806,278.003328,2.880245776,2.647650747,1.087850
106,310.445364,282.335210,2.928729851,2.663539719,1.099563
107,313.744147,289.587577,2.932188291,2.706425955,1.083417
108,326.749129,293.946317,3.025454897,2.721725154,1.111595
109,325.054498,298.583201,2.982151360,2.739295419,1.088656
110,334.190836,302.970161,3.038098512,2.754274194,1.103049
111,337.545414,306.685458,3.040949673,2.762932050,1.100624
112,344.517399,297.738492,3.076048208,2.658379393,1.157114
113,350.119403,305.820847,3.098401796,2.706379176,1.144851
114,358.049141,332.005521,3.140781941,2.912329133,1.078443
115,362.995174,337.529676,3.156479772,2.935040663,1.075447
116,369.916831,341.545909,3.188938196,2.944361285,1.083066
117,374.890936,349.672862,3.204196036,2.988656944,1.072119
118,384.664959,352.027622,3.259872534,2.983284930,1.092712
119,386.996399,358.950859,3.252070581,3.016393771,1.078132
120,393.724372,355.466856,3.281036437,2.962223801,1.107626
121,401.394765,357.571768,3.317312107,2.955138579,1.122557
122,411.040120,365.265564,3.369181312,2.993980034,1.125319
123,413.544053,376.218000,3.362146771,3.058682927,1.099214
124,421.881166,385.535861,3.402267467,3.109160167,1.094272
125,425.970305,385.141393,3.407762443,3.081131148,1.106010
126,436.349419,391.867448,3.463090624,3.110059110,1.113513
127,440.505282,393.947479,3.468545525,3.101948653,1.118183
128,449.330742,379.002268,3.510396419,2.960955220,1.185562
129,454.375604,384.736680,3.522291503,2.982454886,1.181004
130,464.935644,405.283136,3.576428027,3.117562583,1.147187
131,467.578358,413.912996,3.569300444,3.159641188,1.129654
132,478.753827,420.942265,3.626922928,3.188956550,1.137338
133,481.712179,421.581278,3.621896086,3.169784045,1.142632
134,493.318717,422.195067,3.681482965,3.150709457,1.168462
135,498.578704,433.321429,3.693175583,3.209788360,1.150598
136,506.122984,434.688079,3.721492528,3.196235873,1.164336
137,513.030055,441.423709,3.744744924,3.222070868,1.162217
138,523.309722,449.988636,3.792099436,3.260787220,1.162940
139,526.215782,459.737132,3.785725051,3.307461384,1.144601
140,536.790000,468.666667,3.834214286,3.347619048,1.145356
141,540.722701,467.040423,3.834912774,3.312343425,1.157764
142,552.743382,471.038125,3.892559031,3.317169894,1.173458
143,558.802827,478.211294,3.907712080,3.344134926,1.168527
144,567.677711,472.070352,3.942206325,3.278266332,1.202528
145,575.221799,476.298223,3.967046888,3.284815333,1.207693
146,585.695264,493.510526,4.011611397,3.380209084,1.186794
147,589.831761,503.610294,4.012460959,3.425920368,1.171207
148,600.362659,515.635989,4.056504454,3.484026953,1.164315
149,605.335484,512.879781,4.062654254,3.442146184,1.180268
150,617.916118,515.945055,4.119440789,3.439633700,1.197639
151,624.144040,526.142458,4.133404237,3.484387140,1.186264
152,631.166946,531.215395,4.152414120,3.494838128,1.188156
153,638.814626,534.215909,4.175258992,3.491607249,1.195799
154,648.297845,540.550287,4.209726265,3.510066801,1.199329
155,653.768229,550.834064,4.217859543,3.553768157,1.186870
156,665.820922,560.945685,4.268082833,3.595805670,1.186961
157,672.603125,563.664671,4.284096338,3.590220832,1.193268
158,682.854167,567.350151,4.321861814,3.590823738,1.203585
159,689.605699,576.051380,4.337142758,3.622964656,1.197125
160,698.838889,571.610606,4.367743056,3.572566288,1.222579
161,708.464286,578.967207,4.400399290,3.596069607,1.223669
162,719.404580,610.414773,4.440769013,3.767992424,1.178550
163,722.534615,616.361111,4.432727702,3.781356510,1.172259
164,733.086914,628.096667,4.470042159,3.829857724,1.167156
165,739.075787,627.275833,4.479247196,3.801671717,1.178231
166,753.091000,632.727349,4.536692771,3.811610536,1.190230
167,760.847782,641.620748,4.555974744,3.842040409,1.185822
168,770.692111,644.089041,4.587453040,3.833863340,1.196561
169,776.411157,646.806897,4.594148858,3.827259743,1.200376
170,788.672269,656.950175,4.639248641,3.864412793,1.200505
171,794.677966,666.228723,4.647239568,3.896074406,1.192801
172,806.384615,678.530576,4.688282648,3.944945207,1.188428
173,814.574892,680.114130,4.708525389,3.931295552,1.197703
174,826.623904,685.479927,4.750712089,3.939539810,1.205905
175,833.513274,691.627757,4.762932996,3.952158613,1.205147
176,843.985491,676.048561,4.795372108,3.841185007,1.248410
177,853.694318,686.127737,4.823131741,3.876427894,1.244221
178,864.857798,706.147556,4.858751675,3.967121103,1.224755
179,871.366898,709.464756,4.867971498,3.963490255,1.228203
180,886.192173,711.066288,4.923289849,3.950368266,1.246286
181,890.914505,718.994275,4.922179584,3.972344060,1.239112
182,904.195913,724.625481,4.968109415,3.981458686,1.247811
183,913.793689,732.745117,4.993408138,4.004071679,1.247083
184,922.727941,740.114173,5.014825767,4.022359637,1.246737
185,929.382426,751.171000,5.023688788,4.060383784,1.237245
186,943.945000,752.410500,5.074973118,4.045217742,1.254561
187,949.868687,760.797379,5.079511694,4.068435182,1.248517
188,963.941964,766.891260,5.127350874,4.079208831,1.256947
189,970.194588,776.989153,5.133304696,4.111053719,1.248659
190,985.059245,785.031771,5.184522341,4.131746162,1.254802
191,992.876316,767.937500,5.198305318,4.020615183,1.292913
192,1005.259973,738.618110,5.235729028,3.846969324,1.361001
193,1012.957661,741.634843,5.248485292,3.842667578,1.365844
194,1029.383152,772.419057,5.306098723,3.981541533,1.332674
195,1032.555632,817.555435,5.295157087,4.192591973,1.262979
196,1045.591667,825.921601,5.334651361,4.213885719,1.265970
197,1057.445225,833.209071,5.367742257,4.229487669,1.269124
198,1067.366477,832.235619,5.390739784,4.203210199,1.282529
199,1077.831897,834.596792,5.416240686,4.193953729,1.291440
200,1092.712209,853.785227,5.463561047,4.268926136,1.279844
201,1095.328488,865.391055,5.449395465,4.305428135,1.265704
202,1112.413235,865.408257,5.506996214,4.284199291,1.285420
203,1118.848214,863.401376,5.511567558,4.253208749,1.295861
204,1133.405120,895.471429,5.555907453,4.389565826,1.265708
205,1141.740964,891.599057,5.569468116,4.349263691,1.280554
206,1156.608994,886.005257,5.614606767,4.300996393,1.305420
207,1163.373457,891.811321,5.620161627,4.308267250,1.304506
208,1177.173438,876.198598,5.659487680,4.212493260,1.343501
209,1187.493671,880.982477,5.681787899,4.215227161,1.347920
210,1202.565705,909.298077,5.726503358,4.329990842,1.322521
211,1208.166667,920.258578,5.725908373,4.361415064,1.312856
212,1222.883117,935.965965,5.768316589,4.414933799,1.306547
213,1233.800987,935.094059,5.792492896,4.390112955,1.319441
214,1248.791941,934.506188,5.835476359,4.366851346,1.336312
215,1257.051667,952.488636,5.846751938,4.430179704,1.319755
216,1271.167230,956.225379,5.885033471,4.426969346,1.329359
217,1278.988176,964.809949,5.893954727,4.446128797,1.325637
218,1296.636986,961.442602,5.947876084,4.410287165,1.348637
219,1300.154966,983.477865,5.936780666,4.490766505,1.321997
220,1317.960938,996.217763,5.990731534,4.528262560,1.322965
221,1325.899648,991.757895,5.999545918,4.487592284,1.336919
222,1342.466071,992.342763,6.047144466,4.470012447,1.352825
223,1351.707143,986.784505,6.061467008,4.425042624,1.369810
224,1367.710145,961.500000,6.105848861,4.292410714,1.422475
225,1378.534420,957.871173,6.126819646,4.257205215,1.439165
226,1390.654412,992.192105,6.153338105,4.390230554,1.401598
227,1400.580224,1035.990385,6.169956933,4.563834293,1.351924
228,1412.174440,1056.967697,6.193747545,4.635823231,1.336062
229,1425.570076,1056.518258,6.225196837,4.613616849,1.349309
