n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,33.537464,57.186433,1.048045757,1.787076029,0.586458
33,35.726714,71.973906,1.082627706,2.181027466,0.496384
34,36.887589,72.083590,1.084929074,2.120105575,0.511734
35,38.213936,71.076668,1.091826755,2.030761941,0.537644
36,40.882247,71.517067,1.135617977,1.986585198,0.571643
37,42.033057,70.552201,1.136028566,1.906816241,0.595772
38,44.483871,73.949724,1.170628183,1.946045368,0.601542
39,46.172821,72.199865,1.183918494,1.851278597,0.639514
40,49.927849,72.013825,1.248196219,1.800345622,0.693309
41,50.664911,76.001212,1.235729533,1.853688089,0.666633
42,59.098614,75.787157,1.407109851,1.804456112,0.779797
43,55.546209,77.510950,1.291772291,1.802580242,0.716624
44,59.206203,76.627962,1.345595515,1.741544582,0.772645
45,62.041253,79.223079,1.378694518,1.760512857,0.783121
46,62.762801,79.149367,1.364408722,1.720638415,0.792967
47,65.263222,79.779549,1.388579191,1.697437220,0.818045
48,67.357759,83.086913,1.403286638,1.730977358,0.810690
49,70.363466,99.505037,1.435989099,2.030715043,0.707135
50,73.116329,98.448452,1.462326578,1.968969045,0.742686
51,75.403537,100.392264,1.478500725,1.968475774,0.751089
52,79.613858,101.499053,1.531035735,1.951904866,0.784380
53,81.208983,102.780189,1.532244956,1.939248848,0.790123
54,84.713866,102.654677,1.568775302,1.901012542,0.825231
55,87.247209,105.185818,1.586312896,1.912469425,0.829458
56,90.168389,103.199395,1.610149811,1.842846338,0.873730
57,92.991947,108.547598,1.631437675,1.904343831,0.856693
58,96.720490,108.972997,1.667594650,1.878844768,0.887564
59,99.067582,110.195505,1.679111557,1.867720429,0.899017
60,103.231711,112.117085,1.720528511,1.868618080,0.920749
61,105.810457,113.004669,1.734597649,1.852535552,0.936337
62,118.888783,114.193210,1.917561020,1.841825960,1.041120
63,112.358683,115.759414,1.783471153,1.837451009,0.970622
64,115.020833,119.260006,1.797200521,1.863437599,0.964454
