n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,33.068186,62.108899,1.033380807,1.940903094,0.532423
33,35.430723,76.989481,1.073658287,2.333014567,0.460202
34,37.221169,78.179740,1.094740268,2.299404105,0.476097
35,39.053051,79.085266,1.115801452,2.259579017,0.493809
36,41.781751,80.100982,1.160604204,2.225027280,0.521613
37,43.383619,81.528859,1.172530235,2.203482667,0.532126
38,45.787994,80.175855,1.204947221,2.109890913,0.571095
39,47.400815,81.848386,1.215405518,2.098676556,0.579130
40,49.432393,83.349000,1.235809831,2.083725000,0.593077
41,51.838101,93.133813,1.264343931,2.271556422,0.556598
42,54.705076,93.668332,1.302501806,2.230198373,0.584030
43,56.662424,94.907136,1.317730802,2.207142689,0.597030
44,59.505552,94.380156,1.352398910,2.145003544,0.630488
45,61.021552,96.151511,1.356034483,2.136700250,0.634640
46,64.340792,97.182772,1.398712874,2.112668957,0.662060
47,66.155280,97.743555,1.407559156,2.079650100,0.676825
48,74.055687,88.966556,1.542826817,1.853469916,0.832399
49,69.839957,108.915578,1.425305249,2.222766894,0.641230
50,73.246680,109.883050,1.464933594,2.197661007,0.666588
51,74.995104,110.427783,1.470492234,2.165250641,0.679133
52,78.536537,111.773093,1.510318016,2.149482557,0.702643
53,81.230574,111.619196,1.532652332,2.106022574,0.727747
54,84.651512,114.025820,1.567620588,2.111589262,0.742389
55,87.034497,114.774403,1.582445396,2.086807333,0.758309
56,89.145734,111.535523,1.591888113,1.991705771,0.799259
57,93.649014,118.618995,1.642965166,2.081034999,0.789494
58,96.705670,119.007138,1.667339140,2.051847212,0.812604
59,98.848920,122.030315,1.675405422,2.068310430,0.810036
60,103.364939,124.268377,1.722748989,2.071139625,0.831788
61,106.534943,123.508388,1.746474478,2.024727675,0.862573
62,110.856383,127.984482,1.788006177,2.064265832,0.866171
63,111.092417,125.682138,1.763371699,1.994954573,0.883916
64,116.439361,129.350172,1.819365016,2.021096444,0.900187
65,121.093629,155.060021,1.862978908,2.385538779,0.780947
66,125.811076,152.106159,1.906228420,2.304638770,0.827127
67,128.655778,154.252878,1.920235499,2.302281766,0.834058
68,133.323153,153.529153,1.960634609,2.257781662,0.868390
69,135.845876,156.252292,1.968780805,2.264525966,0.869401
70,140.874812,158.264334,2.012497319,2.260919056,0.890124
71,144.475347,160.422222,2.034864038,2.259467919,0.900594
72,148.180490,165.298305,2.058062357,2.295809798,0.896443
73,156.172213,173.946197,2.139345383,2.382824612,0.897819
74,157.291876,173.299561,2.125565893,2.341885959,0.907630
75,160.239015,175.693118,2.136520193,2.342574906,0.912039
76,165.537037,175.567884,2.178118908,2.310103735,0.942866
77,168.037858,179.329828,2.182309850,2.328958804,0.937032
78,173.417514,181.310569,2.223301460,2.324494481,0.956467
79,176.963679,182.575632,2.240046573,2.311083953,0.969262
80,181.929748,184.751722,2.274121851,2.309396531,0.984726
81,189.856022,212.773810,2.343901509,2.626837155,0.892290
82,191.280677,210.890730,2.332691185,2.571838175,0.907013
83,194.530861,211.940181,2.343745313,2.553496152,0.917857
84,201.044165,214.140376,2.393382915,2.549290189,0.938843
85,204.405093,215.768966,2.404765795,2.538458418,0.947333
86,210.302971,217.197917,2.445383382,2.525557171,0.968255
87,214.165382,219.224883,2.461671062,2.519826243,0.976921
88,219.378213,219.934280,2.492934234,2.499253180,0.997472
89,227.200666,228.213504,2.552816470,2.564196670,0.995562
90,229.654951,227.253481,2.551721679,2.525038674,1.010567
91,233.229322,229.096341,2.562959584,2.517542214,1.018040
92,239.447066,231.759568,2.602685504,2.519125738,1.033170
93,242.982837,234.007481,2.612718675,2.516209476,1.038355
94,250.167000,237.235164,2.661351064,2.523778342,1.054511
95,254.116192,239.537946,2.674907289,2.521452068,1.060860
96,259.970914,244.962794,2.708030355,2.551695768,1.061267
97,268.963467,274.338816,2.772819248,2.828235214,0.980406
98,272.959847,274.181652,2.785304565,2.797771960,0.995544
99,276.246691,275.383431,2.790370618,2.781650819,1.003135
100,283.242447,277.349004,2.832424471,2.773490044,1.021249
101,287.465787,281.635135,2.846195915,2.788466685,1.020703
102,294.083464,284.528598,2.883171215,2.789496064,1.033581
103,299.015127,286.439024,2.903059489,2.780961402,1.043905
104,306.034609,291.234860,2.942640472,2.800335195,1.050817
105,313.510833,301.925481,2.985817460,2.875480769,1.038372
106,317.371622,301.577974,2.994071902,2.845075229,1.052370
107,321.154110,303.616707,3.001440277,2.837539319,1.057762
108,328.746066,307.672541,3.043945060,2.848819824,1.068493
109,332.750887,309.946782,3.052760427,2.843548460,1.073574
110,341.123182,313.917433,3.101119835,2.853794846,1.086665
111,345.834559,316.090278,3.115626656,2.847660160,1.094101
112,351.880150,316.907095,3.141787052,2.829527630,1.110357
113,360.632692,353.722274,3.191439755,3.130285614,1.019536
114,365.343385,353.574248,3.204766537,3.101528492,1.033286
115,368.897549,355.223011,3.207804774,3.088895751,1.038496
116,378.020080,358.287691,3.258793796,3.088686990,1.055074
117,382.431911,361.166106,3.268648808,3.086889793,1.058881
118,390.966667,365.129377,3.313276836,3.094316758,1.070762
119,395.949895,367.180664,3.327310038,3.085551799,1.078352
120,403.415236,368.843382,3.361793634,3.073694853,1.093730
121,413.538546,374.933018,3.417673936,3.098619983,1.102966
122,418.050556,377.515562,3.426643898,3.094389854,1.107373
123,422.225897,380.777328,3.432730869,3.095750634,1.108853
124,431.852351,384.367828,3.482680249,3.099740547,1.123539
125,435.521123,387.910899,3.484168981,3.103287190,1.122735
126,445.779621,391.716667,3.537933499,3.108862434,1.138015
127,450.601376,395.310399,3.548042328,3.112680308,1.139867
128,458.732317,397.810381,3.583846227,3.107893604,1.153143
129,467.646455,432.396889,3.625166320,3.351913871,1.081521
130,476.072970,437.555814,3.662099766,3.365813953,1.088028
131,480.795192,438.396904,3.670192308,3.346541253,1.096712
132,488.096503,441.922242,3.697700777,3.347895771,1.104485
133,492.258181,445.844787,3.701189328,3.352216442,1.104102
134,502.768048,450.308612,3.752000359,3.360512033,1.116497
135,507.595270,453.098430,3.759964965,3.356284666,1.120276
136,517.438530,456.447816,3.804695075,3.356233938,1.133620
137,527.426966,469.285000,3.849831871,3.425437956,1.123895
138,532.678267,473.260678,3.859987442,3.429425206,1.125549
139,541.613147,475.388573,3.896497457,3.420061678,1.139306
140,547.297238,480.520089,3.909265988,3.432286352,1.138968
141,553.754412,483.218590,3.927336254,3.427082197,1.145971
142,564.678892,488.281901,3.976611917,3.438604937,1.156461
143,570.587879,491.060864,3.990125026,3.433992055,1.161949
144,580.544367,495.029934,4.031558106,3.437707876,1.172746
145,591.277909,534.556463,4.077778681,3.686596297,1.106109
146,600.593551,538.293214,4.113654459,3.686939824,1.115737
147,604.171474,563.840195,4.110010030,3.835647582,1.071530
148,615.903186,563.683009,4.161508015,3.808668980,1.092641
149,637.891582,594.681997,4.281151555,3.991154341,1.072660
150,613.656863,535.818571,4.091045752,3.572123810,1.145270
151,618.849095,536.182857,4.098338380,3.550879849,1.154175
152,622.906043,543.201228,4.098066073,3.573692292,1.146732
153,633.155201,551.210161,4.138269290,3.602680790,1.148664
154,646.746552,556.080621,4.199652933,3.610913125,1.163045
155,653.832899,558.549851,4.218276770,3.603547427,1.170590
156,663.715229,564.944277,4.254584800,3.621437674,1.174833
157,669.282801,568.909848,4.262947780,3.623629608,1.176430
158,680.784420,573.144817,4.308762154,3.627498842,1.187805
159,686.168339,578.486196,4.315524147,3.638277964,1.186145
