n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,32.891135,61.662188,1.027847959,1.926943366,0.533408
33,35.253336,81.746513,1.068282923,2.477167050,0.431252
34,37.514050,81.951049,1.103354412,2.410324969,0.457762
35,40.287978,83.986795,1.151085088,2.399622714,0.479694
36,42.692737,84.172015,1.185909355,2.338111535,0.507208
37,44.094734,85.323703,1.191749578,2.306046037,0.516793
38,46.795534,83.859123,1.231461419,2.206819038,0.558026
39,48.522763,85.244432,1.244173399,2.185754662,0.569219
40,50.197805,82.651542,1.254945128,2.066288546,0.607343
41,51.956094,95.198668,1.267221809,2.321918720,0.545765
42,55.304466,96.234038,1.316773009,2.291286630,0.574687
43,56.576146,96.836365,1.315724325,2.252008484,0.584245
44,58.511463,96.014713,1.329805975,2.182152577,0.609401
45,59.948889,97.255641,1.332197535,2.161236457,0.616405
46,62.470894,97.752669,1.358062922,2.125058028,0.639071
47,64.364791,99.074842,1.369463631,2.107975353,0.649658
48,68.127360,89.290000,1.419320004,1.860208333,0.762990
49,70.771792,107.692451,1.444322295,2.197805127,0.657166
50,74.331517,106.662543,1.486630349,2.133250853,0.696885
51,76.338537,107.987773,1.496834067,2.117407320,0.706918
52,79.768335,109.731798,1.534006451,2.110226889,0.726939
53,82.224529,110.318456,1.551406206,2.081480300,0.745338
54,85.804094,110.485277,1.588964708,2.046023644,0.776611
55,88.372526,112.440123,1.606773199,2.044365871,0.785952
56,91.421296,112.416142,1.632523148,2.007431109,0.813240
57,94.144767,128.825635,1.651662571,2.260098865,0.730792
58,98.543986,127.829615,1.699034247,2.203958881,0.770901
59,101.008544,132.502825,1.712009223,2.245810591,0.762312
60,105.595580,133.714476,1.759926333,2.228574608,0.789709
61,107.351402,133.742956,1.759859043,2.192507483,0.802670
62,111.484988,135.127972,1.798144970,2.179483418,0.825033
63,114.567384,136.235668,1.818529905,2.162470915,0.840950
64,117.415676,130.160232,1.834619935,2.033753625,0.902086
65,119.415633,156.666528,1.837163584,2.410254270,0.762228
66,125.234563,152.201907,1.897493375,2.306089507,0.822819
67,125.446357,180.938223,1.872333686,2.700570486,0.693310
68,131.459384,152.991639,1.933226232,2.249877051,0.859259
69,133.174006,155.658375,1.930058053,2.255918475,0.855553
70,139.250927,157.627311,1.989298961,2.251818727,0.883419
71,142.251989,159.059428,2.003549136,2.240273633,0.894332
72,145.335913,161.826724,2.018554352,2.247593391,0.898096
73,152.548984,174.427509,2.089712106,2.389417936,0.874570
74,165.601962,177.828125,2.237864352,2.403082770,0.931247
75,165.556878,181.533124,2.207425044,2.420441651,0.911993
76,169.188176,177.832860,2.226160206,2.339906051,0.951389
77,168.948311,175.428972,2.194133907,2.278298337,0.963058
78,172.244495,176.249060,2.208262762,2.259603335,0.977279
79,172.561121,182.702091,2.184317991,2.312684702,0.944495
80,178.030361,181.159628,2.225379507,2.264495355,0.982726
81,185.772401,201.129818,2.293486432,2.483084173,0.923644
82,187.625250,203.121212,2.288112805,2.477087953,0.923711
83,190.459178,204.258170,2.294688898,2.460941806,0.932443
84,196.625000,210.482343,2.340773810,2.505742179,0.934164
85,199.700931,211.464245,2.349422716,2.487814653,0.944372
86,205.785636,213.274432,2.392856232,2.479935254,0.964887
87,209.336077,215.491829,2.406161805,2.476917576,0.971434
88,214.551058,215.093463,2.438080209,2.444243901,0.997478
89,222.670616,226.873792,2.501917035,2.549143733,0.981474
90,224.779007,229.886949,2.497544524,2.554299428,0.977781
91,227.826305,231.555864,2.503585765,2.544569936,0.983893
92,234.423594,239.341837,2.548082541,2.601541704,0.979451
93,238.014277,242.353359,2.559293297,2.605950099,0.982096
94,244.297038,244.936684,2.598904657,2.605709405,0.997389
95,248.626323,247.795515,2.617119187,2.608373837,1.003353
96,254.251524,244.435384,2.648453379,2.546201918,1.040158
97,262.869748,267.968214,2.709997401,2.762558910,0.980974
98,265.371116,270.700829,2.707868529,2.762253352,0.980311
99,269.221347,272.159783,2.719407542,2.749088713,0.989203
100,276.711283,274.371711,2.767112832,2.743717105,1.008527
101,279.395833,277.572485,2.766295380,2.748242428,1.006569
102,287.284404,280.207463,2.816513761,2.747131987,1.025256
103,291.654115,282.379706,2.831593349,2.741550547,1.032844
104,297.686905,283.480363,2.862374084,2.725772717,1.050115
105,302.661694,291.555124,2.882492320,2.776715469,1.038094
106,309.429043,294.947327,2.919141914,2.782521953,1.049099
107,314.130644,295.802839,2.935800409,2.764512515,1.061960
108,325.058607,300.683293,3.009801919,2.784104567,1.081066
109,324.710640,301.812902,2.978996699,2.768925706,1.075867
110,336.167563,305.162744,3.056068752,2.774206759,1.101601
111,341.518636,308.063934,3.076744472,2.775350761,1.108597
112,344.242674,310.633692,3.073595304,2.773515108,1.108195
113,350.133396,342.872263,3.098525624,3.034267812,1.021177
114,357.495485,342.247263,3.135925305,3.002168972,1.044553
115,365.216926,342.771670,3.175799357,2.980623215,1.065482
116,374.188496,349.761152,3.225762897,3.015182348,1.069840
117,374.161106,349.914179,3.197958167,2.990719480,1.069294
118,385.882459,352.885808,3.270190329,2.990557697,1.093505
119,390.753125,356.321496,3.283639706,2.994298287,1.096631
120,394.808824,362.529440,3.290073529,3.021078668,1.089039
121,400.838942,380.749494,3.312718531,3.146690032,1.052763
122,410.027838,380.526822,3.360883922,3.119072310,1.077527
123,417.464167,382.406504,3.394017615,3.108995968,1.091676
124,425.537896,388.200413,3.431757225,3.130648494,1.096181
125,427.636932,390.818229,3.421095455,3.126545833,1.094209
126,439.944801,394.627626,3.491625408,3.131965286,1.114835
127,444.822571,398.038136,3.502539930,3.134158548,1.117538
128,447.830952,393.826098,3.498679315,3.076766393,1.137129
129,455.750000,429.852169,3.532945736,3.332187356,1.060248
130,465.814047,439.670269,3.583184977,3.382078990,1.059462
131,475.297033,441.400235,3.628221625,3.369467441,1.076794
132,487.380505,444.911730,3.692276554,3.370543408,1.095454
133,489.251953,450.724760,3.678586114,3.388907967,1.085478
134,503.108957,451.532752,3.754544457,3.369647406,1.114225
135,509.105068,454.964070,3.771148649,3.370104223,1.119001
136,513.788251,456.159587,3.777854789,3.354114613,1.126334
137,520.549724,464.629332,3.799633020,3.391454976,1.120355
138,530.608051,475.898477,3.844985876,3.448539690,1.114961
139,535.327060,466.179146,3.851273810,3.353806806,1.148329
140,539.353807,469.334687,3.852527196,3.352390625,1.149188
141,541.121049,471.520729,3.837737935,3.344118643,1.147608
142,555.877219,478.441327,3.914628302,3.369305116,1.161850
143,564.409057,482.900962,3.946916482,3.376929801,1.168788
144,567.752636,484.639497,3.942726636,3.365552065,1.171495
145,578.240414,520.684392,3.987864925,3.590926843,1.110539
146,585.016304,524.833101,4.006960989,3.594747264,1.114671
147,589.051563,524.815642,4.007153486,3.570174438,1.122397
148,600.052150,530.216102,4.054406417,3.582541228,1.131712
149,604.968548,533.079545,4.060191600,3.577715070,1.134856
150,620.095395,536.990000,4.133969298,3.579933333,1.154762
151,626.287917,540.312859,4.147602097,3.578230856,1.159121
152,631.468540,547.424055,4.154398291,3.601474048,1.153527
153,642.856164,567.056476,4.201674277,3.706251476,1.133672
154,649.146983,569.898485,4.215240148,3.700639512,1.139057
155,653.338108,574.463415,4.215084565,3.706215578,1.137302
156,664.816021,577.600460,4.261641161,3.702567052,1.150996
157,671.500893,581.188657,4.277075751,3.701838582,1.155392
158,686.054288,588.387500,4.342115749,3.723971519,1.165991
159,691.039522,591.082422,4.346160516,3.717499509,1.169109
160,700.360075,592.720519,4.377250466,3.704503243,1.181603
161,709.633929,637.639780,4.407664153,3.960495530,1.112907
162,718.340172,642.445205,4.434198591,3.965711145,1.118135
163,722.630288,644.508134,4.433314653,3.954037629,1.121212
164,735.269043,654.701389,4.483347823,3.992081640,1.123060
165,741.196850,657.718969,4.492102124,3.986175567,1.126920
166,756.492944,656.749126,4.557186407,3.956320035,1.151875
167,764.411585,661.976673,4.577314882,3.963932171,1.154741
168,768.976434,665.630319,4.577240681,3.962085233,1.155261
169,782.198958,667.722074,4.628396203,3.951018192,1.171444
170,789.974790,672.800000,4.646910529,3.957647059,1.174160
171,795.164725,675.292716,4.650086109,3.949080210,1.177511
172,807.708868,685.302007,4.695981788,3.984313996,1.178617
173,810.782328,689.817096,4.686603050,3.987382055,1.175358
174,830.022677,690.395680,4.770245270,3.967791265,1.202242
175,837.919643,693.157629,4.788112245,3.960900735,1.208844
176,843.460938,704.585821,4.792391690,4.003328528,1.197102
177,857.688636,742.028051,4.845698511,4.192248877,1.155871
178,865.207569,746.295635,4.860716679,4.192672106,1.159336
179,871.649884,750.355500,4.869552426,4.191930168,1.161649
180,883.657710,754.260500,4.909209502,4.190336111,1.171555
181,887.158608,759.713206,4.901428776,4.197310528,1.167755
182,907.513221,765.295732,4.986336380,4.204921603,1.185833
183,915.486044,769.185963,5.002655976,4.203201984,1.190201
184,922.881127,776.746901,5.015658301,4.221450548,1.188136
185,932.191213,797.930085,5.038871421,4.313135593,1.168262
186,945.151250,801.102225,5.081458333,4.307001207,1.179814
187,949.180556,806.939637,5.075831848,4.315185223,1.176272
188,963.177296,811.019397,5.123283489,4.313932960,1.187613
189,970.934923,816.723370,5.137221813,4.321287670,1.188817
190,988.888816,824.381579,5.204677978,4.338850416,1.199552
191,998.192819,827.533991,5.226140414,4.332638698,1.206226
192,1007.134973,831.101770,5.245494653,4.328655052,1.211807
193,1018.522849,880.555491,5.277320464,4.562463682,1.156682
194,1028.064538,892.188090,5.299301742,4.598907678,1.152296
195,1033.524725,889.811910,5.300126796,4.563138002,1.161509
196,1046.070833,898.697024,5.337096088,4.585188897,1.163986
197,1051.563194,901.239286,5.337884236,4.574818709,1.166797
198,1072.337358,908.576322,5.415845242,4.588769304,1.180239
199,1080.640086,911.408981,5.430352192,4.579944626,1.185681
200,1090.764535,909.195312,5.453822674,4.545976562,1.199703
201,1101.141715,915.826456,5.478316991,4.556350529,1.202348
202,1116.362351,925.680760,5.526546293,4.582578019,1.205991
203,1120.469494,924.565564,5.519554158,4.554510166,1.211888
204,1133.901355,931.746287,5.558339978,4.567383760,1.216964
205,1140.693524,938.100625,5.564358654,4.576100610,1.215961
206,1161.165895,945.938125,5.636727646,4.591932646,1.227528
207,1171.235340,948.719697,5.658141737,4.583186942,1.234543
208,1174.040625,961.186862,5.644426082,4.621090684,1.221449
209,1191.765032,1008.408602,5.702225032,4.824921541,1.181828
210,1203.230769,1014.812500,5.729670330,4.832440476,1.185668
211,1208.919872,1018.495296,5.729478065,4.826991923,1.186967
212,1223.629058,1029.695652,5.771835181,4.857054963,1.188341
213,1231.974026,1032.460165,5.783915615,4.847230821,1.193241
214,1252.343333,1036.354396,5.852071651,4.842777550,1.208412
215,1263.609167,1039.430632,5.877251938,4.834561078,1.215674
216,1274.316723,1055.598315,5.899614458,4.887029234,1.207199
217,1285.926370,1066.670455,5.925927972,4.915532049,1.205552
218,1296.825342,1074.212358,5.948740103,4.927579624,1.207234
219,1302.553819,1078.012074,5.947734335,4.922429561,1.208292
220,1319.307292,1089.204023,5.996851326,4.950927377,1.211258
221,1326.471831,1094.666424,6.002134982,4.953241739,1.211759
222,1346.546429,1101.752907,6.065524453,4.962850932,1.222186
223,1357.965179,1107.750735,6.089529949,4.967492087,1.225876
224,1365.227355,1099.332849,6.094764978,4.907735932,1.241869
225,1380.506434,1164.221451,6.135584150,5.174317558,1.185776
226,1388.337316,1171.428241,6.143085470,5.183310800,1.185166
227,1400.952425,1175.813281,6.171596588,5.179794191,1.191475
228,1414.459888,1180.892188,6.203771439,5.179351700,1.197789
229,1425.114583,1188.664557,6.223207787,5.190674921,1.198921
230,1444.539423,1194.265032,6.280606187,5.192456659,1.209564
231,1455.193269,1199.810918,6.299537962,5.193986657,1.212852
232,1467.510742,1199.890823,6.325477337,5.171943202,1.223037
233,1483.047852,1207.453526,6.365012238,5.182203973,1.228244
234,1491.281746,1213.758814,6.372998915,5.187003479,1.228648
235,1500.437500,1217.156250,6.384840426,5.179388298,1.232740
236,1516.412298,1228.580357,6.425475841,5.205848971,1.234280
237,1524.840726,1232.922890,6.433927113,5.202206285,1.236769
238,1548.557377,1241.325658,6.506543601,5.215654025,1.247503
239,1557.501025,1244.532072,6.516740689,5.207247165,1.251475
240,1570.460417,1252.760000,6.543585069,5.219833333,1.253600
241,1581.220833,1312.458333,6.561082296,5.445885201,1.204778
242,1596.018008,1318.473090,6.595115737,5.448235910,1.210505
243,1606.432203,1324.051056,6.610832113,5.448769779,1.213271
244,1624.301724,1332.747359,6.656974279,5.462079341,1.218762
245,1630.066810,1334.041373,6.653333920,5.445066830,1.221901
246,1653.060307,1346.430357,6.719757346,5.473294135,1.227735
247,1661.174342,1350.295536,6.725402195,5.466783545,1.230230
248,1676.799107,1362.221014,6.761286722,5.492826671,1.230930
249,1685.805804,1380.194853,6.770304432,5.542951217,1.221426
250,1694.945312,1385.746324,6.779781250,5.542985294,1.223128
251,1714.410227,1389.541360,6.830319631,5.536021356,1.233796
252,1730.478409,1398.181066,6.866977814,5.548337564,1.237664
253,1737.327546,1404.236940,6.866907298,5.550343638,1.237204
254,1764.086806,1413.629664,6.945223644,5.565471119,1.247913
255,1773.068396,1421.156250,6.953209397,5.573161765,1.247624
256,1779.047170,1416.148321,6.949403007,5.531829378,1.256258
