n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,32.272849,75.709342,1.008526517,2.365916944,0.426273
33,36.073514,84.295878,1.093136783,2.554420553,0.427939
34,38.714957,85.475843,1.138675196,2.513995388,0.452934
35,40.833297,86.581371,1.166665630,2.473753463,0.471618
36,41.955593,88.079930,1.165433134,2.446664710,0.476335
37,43.390849,88.981973,1.172725653,2.404918201,0.487636
38,46.448458,88.914218,1.222327853,2.339847842,0.522396
39,47.436488,89.681047,1.216320215,2.299514022,0.528947
40,50.475040,91.938786,1.261876009,2.298469638,0.549007
41,51.414542,112.887485,1.254013225,2.753353292,0.455449
42,53.762973,109.966369,1.280070787,2.618246874,0.488904
43,55.223498,111.543698,1.284267401,2.594039488,0.495084
44,57.731720,111.458729,1.312084535,2.533152937,0.517965
45,59.437619,113.208007,1.320835974,2.515733481,0.525030
46,62.604389,113.359903,1.360964982,2.464345726,0.552262
47,64.409427,114.993260,1.370413330,2.446665102,0.560115
48,66.892029,101.155744,1.393583943,2.107411340,0.661278
49,69.715706,115.942676,1.422769517,2.366177064,0.601295
50,73.057924,117.262656,1.461158489,2.345253125,0.623028
51,75.026100,117.914730,1.471100000,2.312053527,0.636274
52,78.582025,118.051258,1.511192783,2.270216497,0.665660
53,80.744514,118.650521,1.523481392,2.238689085,0.680524
54,84.111099,120.534383,1.557612938,2.232118204,0.697818
55,86.697782,121.552947,1.576323307,2.210053580,0.713251
56,89.703155,114.165298,1.601842051,2.038666037,0.785730
57,92.842946,130.521732,1.628823606,2.289854940,0.711322
58,96.743041,131.556978,1.667983470,2.268223751,0.735370
59,98.899789,133.970714,1.676267611,2.270690073,0.738219
60,102.839364,133.313388,1.713989401,2.221889796,0.771411
61,105.331229,134.822288,1.726741458,2.210201444,0.781260
62,109.483810,137.201389,1.765867900,2.212925627,0.797979
63,112.377395,137.703010,1.783768178,2.185762068,0.816085
64,115.821142,136.892518,1.809705343,2.138945598,0.846074
65,119.535111,151.583401,1.839001715,2.332052318,0.788577
66,123.746867,152.368304,1.874952527,2.308610660,0.812156
67,126.104839,154.156609,1.882161772,2.300844913,0.818031
68,131.133042,154.788779,1.928427088,2.276305572,0.847174
69,133.437144,157.603046,1.933871658,2.284102119,0.846666
70,138.098490,159.303056,1.972835578,2.275757943,0.866892
71,141.195595,177.559422,1.988670350,2.500836934,0.795202
72,145.719332,162.701690,2.023879615,2.259745691,0.895623
73,154.672776,189.172379,2.118805150,2.591402452,0.817629
74,156.496979,191.444133,2.114824043,2.587082874,0.817455
75,162.562933,193.364948,2.167505777,2.578199313,0.840705
76,164.824473,194.779824,2.168743063,2.562892416,0.846209
77,167.995416,196.573899,2.181758648,2.552907784,0.854617
78,176.198640,199.694282,2.258956920,2.560183101,0.882342
79,179.317758,201.040016,2.269845040,2.544810330,0.891951
80,181.869065,191.191701,2.273363312,2.389896258,0.951239
81,190.116523,213.142330,2.347117571,2.631386785,0.891970
82,193.140689,215.517529,2.355374260,2.628262546,0.896172
83,198.861494,216.827656,2.395921610,2.612381396,0.917141
84,202.212015,219.290596,2.407285894,2.610602331,0.922119
85,206.004797,221.066471,2.423585849,2.600782007,0.931868
86,215.140768,222.258738,2.501636841,2.584403932,0.967974
87,218.680361,224.427632,2.513567371,2.579627949,0.974391
88,220.762059,222.071661,2.508659759,2.523541600,0.994103
89,228.928659,237.892722,2.572232118,2.672951927,0.962319
90,231.282635,240.944231,2.569807061,2.677158120,0.959901
91,237.478165,242.601906,2.609650160,2.665955008,0.978880
92,240.755128,245.011749,2.616903567,2.663171189,0.982627
93,244.354167,247.627309,2.627464158,2.662659233,0.986782
94,254.586890,250.575333,2.708371173,2.665695035,1.016009
95,258.621212,252.587702,2.722328549,2.658817912,1.023887
96,261.283426,252.908019,2.721702356,2.634458530,1.033116
97,270.007364,273.673834,2.783581067,2.821379730,0.986603
98,276.413787,276.879056,2.820548845,2.825296490,0.998320
99,279.440476,277.321534,2.822631073,2.801227615,1.007641
100,283.852341,280.552425,2.838523414,2.805524254,1.011762
101,287.634394,282.158784,2.847865289,2.793651325,1.019406
102,297.532041,284.592992,2.916980795,2.790127377,1.045465
103,301.142228,287.393349,2.923710947,2.790226686,1.047840
104,305.857492,289.946373,2.940937422,2.787945899,1.054876
105,315.212039,314.945680,3.002019415,2.999482662,1.000846
106,320.111135,317.213260,3.019916366,2.992577926,1.009135
107,322.371349,317.580659,3.012816344,2.968043540,1.015085
108,329.721930,321.534889,3.052980832,2.977174895,1.025462
109,333.615027,323.670474,3.060688317,2.969453891,1.030724
110,344.386676,326.979965,3.130787962,2.972545138,1.053235
111,347.995602,330.315141,3.135095512,2.975812080,1.053526
112,351.924391,323.431466,3.142182066,2.887780942,1.088096
113,361.125240,354.083019,3.195798587,3.133478043,1.019889
114,369.198081,356.863593,3.238579655,3.130382396,1.034564
115,372.686508,359.784962,3.240752243,3.128564884,1.035859
116,380.375000,361.325000,3.279094828,3.114870690,1.052723
117,382.370935,364.770349,3.268127649,3.117695289,1.048251
118,394.842962,368.672059,3.346126798,3.124339482,1.070987
119,400.037766,370.148130,3.361661899,3.110488487,1.080750
120,403.642972,370.083907,3.363691434,3.084032562,1.090680
121,413.263216,388.326963,3.415398478,3.209313742,1.064215
122,422.731137,390.332210,3.465009323,3.199444341,1.083003
123,426.625568,393.844665,3.468500554,3.201989149,1.083233
124,435.174190,396.915084,3.509469273,3.200928100,1.096391
125,435.885995,399.747872,3.487087963,3.197982979,1.090402
126,444.968009,403.865880,3.531492139,3.205284761,1.101772
127,452.146034,406.918831,3.560204989,3.204085285,1.111146
128,460.294730,410.161572,3.596052581,3.204387282,1.122228
129,469.487813,436.584884,3.639440407,3.384378944,1.075364
130,479.563776,440.250000,3.688952119,3.386538462,1.089299
131,482.346474,442.341392,3.682034155,3.376651844,1.090439
132,490.287109,447.080952,3.714296283,3.386976912,1.096641
133,493.767105,448.482440,3.712534626,3.372048425,1.100973
134,503.626671,452.656851,3.758407993,3.378036201,1.112601
135,509.905571,455.719660,3.777078301,3.375701187,1.118902
136,520.345994,458.988415,3.826073489,3.374914813,1.133680
137,529.392907,483.811218,3.864181805,3.531468744,1.094214
138,538.050714,487.186528,3.898918219,3.530337163,1.104404
139,541.566810,490.156901,3.896164103,3.526308641,1.104885
140,547.867369,494.635197,3.913338351,3.533108553,1.107619
141,553.202941,495.957895,3.923425115,3.517431878,1.115423
142,566.356175,502.026070,3.988423765,3.535394856,1.128141
143,572.165396,505.521505,4.001156618,3.535115422,1.131832
144,581.235340,503.914104,4.036356524,3.499403502,1.153441
145,590.653302,537.736429,4.073471047,3.708527094,1.098407
146,602.705128,540.499641,4.128117316,3.702052334,1.115089
147,606.516532,545.414608,4.125962804,3.710303453,1.112028
148,616.115605,548.973684,4.162943274,3.709281650,1.122304
149,618.512336,551.353070,4.151089500,3.700356176,1.121808
150,631.359480,557.345044,4.209063199,3.715633629,1.132798
151,638.108844,560.209077,4.225886381,3.709993890,1.139055
152,646.233733,562.631362,4.251537716,3.701522120,1.148592
153,657.444056,578.094709,4.297019973,3.778396788,1.137260
154,669.304521,583.494565,4.346133255,3.788925748,1.147062
155,671.513839,586.485156,4.332347350,3.783775202,1.144980
156,682.849638,591.847877,4.377241267,3.793896650,1.153759
157,685.256387,597.022152,4.364690362,3.802688866,1.147791
158,704.044776,600.900080,4.455979596,3.803165061,1.171650
159,708.572368,604.580128,4.456429990,3.802390743,1.172007
160,717.510496,612.427760,4.484440601,3.827673498,1.171584
161,726.759690,647.341379,4.514035341,4.020753909,1.122684
162,736.924316,649.578017,4.548915533,4.009740847,1.134466
163,742.899606,651.971354,4.557666296,3.999824259,1.139467
164,756.431956,657.304196,4.612389973,4.007952413,1.150810
165,761.150202,660.990757,4.613031525,4.006004588,1.151529
166,773.540984,666.175532,4.659885443,4.013105614,1.161167
167,780.641012,669.074025,4.674497080,4.006431286,1.166748
168,789.696429,675.477068,4.700573980,4.020696835,1.169094
169,800.520127,697.500463,4.736805486,4.127221674,1.147698
170,810.356142,699.199537,4.766800837,4.112938453,1.158977
171,815.848370,702.850746,4.771043097,4.110238282,1.160770
172,828.383772,709.253289,4.816184721,4.123565636,1.167966
173,835.255531,713.153883,4.828066653,4.122276778,1.171214
174,849.319820,718.802958,4.881148390,4.131051483,1.181575
175,856.915909,722.707692,4.896662338,4.129758242,1.185702
176,866.256307,730.727713,4.921910837,4.151862007,1.185471
177,873.530671,769.119365,4.935201533,4.345307146,1.135754
178,887.707547,776.731405,4.987121052,4.363659578,1.142876
179,893.750595,779.040289,4.993020085,4.352180387,1.147246
180,906.449519,783.943750,5.035830662,4.355243056,1.156269
181,911.432646,786.975000,5.035539479,4.347928177,1.158147
182,926.802696,792.190651,5.092322506,4.352695886,1.169924
183,934.153465,798.104343,5.104663745,4.361225919,1.170465
184,945.569375,797.765360,5.138963995,4.335681305,1.185273
185,956.748724,815.081358,5.171614727,4.405845177,1.173808
186,967.307990,823.010965,5.200580590,4.424790134,1.175328
187,974.291881,826.327851,5.210117013,4.418865513,1.179062
188,987.724342,834.264934,5.253852884,4.437579434,1.183946
189,995.172368,836.062500,5.265462267,4.423611111,1.190309
190,1009.255376,843.187500,5.311870402,4.437828947,1.196952
191,1017.104167,848.002252,5.325152705,4.439802368,1.199412
