n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,34.290037,57.005775,1.071563643,1.781430471,0.601519
33,34.439313,71.511346,1.043615553,2.167010494,0.481592
34,36.928466,73.025798,1.086131351,2.147817597,0.505691
35,39.154802,73.650432,1.118708619,2.104298059,0.531630
36,41.858594,73.243262,1.162738715,2.034535048,0.571501
37,43.458700,74.250396,1.174559464,2.006767456,0.585299
38,45.615637,74.771332,1.200411504,1.967666625,0.610069
39,47.277862,75.670500,1.212252867,1.940269241,0.624786
40,49.303431,75.837308,1.232585765,1.895932700,0.650121
41,51.949861,80.709552,1.267069793,1.968525671,0.643664
42,54.859640,81.769398,1.306181908,1.946890439,0.670907
43,57.159164,82.949934,1.329282875,1.929068225,0.689080
44,59.877554,82.728836,1.360853506,1.880200818,0.723781
45,61.472887,84.271226,1.366064147,1.872693920,0.729465
46,63.284076,84.571799,1.375740773,1.838517368,0.748288
47,71.882280,85.162466,1.529410206,1.811967360,0.844061
48,68.451734,88.360745,1.426077783,1.840848845,0.774685
49,71.587882,103.417241,1.460977177,2.110555937,0.692224
50,75.178886,104.875000,1.503577724,2.097500000,0.716843
51,77.286965,109.863290,1.515430678,2.154182165,0.703483
52,79.586800,105.079927,1.530515378,2.020767831,0.757393
53,82.765997,105.889673,1.561622592,1.997918353,0.781625
54,86.745028,107.621273,1.606389403,1.992986536,0.806021
55,89.186787,108.532407,1.621577947,1.973316498,0.821753
56,92.262906,109.625584,1.647551886,1.957599716,0.841618
57,95.337398,113.962029,1.672585936,1.999333845,0.836572
58,99.467259,113.898817,1.714952737,1.963772703,0.873295
59,101.711090,115.733046,1.723916780,1.961577044,0.878842
60,106.005085,116.893057,1.766751412,1.948217621,0.906855
61,108.611979,117.882538,1.780524249,1.932500618,0.921358
62,112.680439,120.031330,1.817426431,1.935989192,0.938759
63,115.646732,121.033226,1.835662420,1.921162314,0.955496
64,118.800791,123.222076,1.856262362,1.925344941,0.964119
65,122.479765,151.129428,1.884304077,2.325068128,0.810430
66,127.035146,148.195300,1.924774934,2.245383336,0.857214
67,129.468276,148.971429,1.932362326,2.223454158,0.869081
68,134.450394,149.456807,1.977211676,2.197894225,0.899594
69,137.037591,152.023096,1.986052047,2.203233270,0.901426
70,141.610294,153.289624,2.023004202,2.189851774,0.923809
71,144.872878,154.624382,2.040463072,2.177808200,0.936934
72,149.222178,162.264490,2.072530251,2.253673467,0.919623
73,156.659224,164.323774,2.146016763,2.251010604,0.953357
74,158.346543,161.882759,2.139818149,2.187604846,0.978156
75,161.117053,163.598868,2.148227377,2.181318235,0.984830
76,165.983628,163.925044,2.183995109,2.156908470,1.012558
77,169.837070,167.355392,2.205676230,2.173446651,1.014829
78,178.486454,169.550407,2.288287877,2.173723165,1.052704
79,178.058824,171.140739,2.253909159,2.166338469,1.040423
80,183.080166,178.089540,2.288502071,2.226119248,1.028023
81,187.168413,202.958874,2.310721150,2.505665117,0.922199
82,192.925926,201.050857,2.352755194,2.451839714,0.959588
83,195.462500,202.279364,2.354969880,2.437100774,0.966300
84,201.813441,203.983967,2.402540963,2.428380564,0.989359
85,204.877320,206.229670,2.410321410,2.426231416,0.993443
86,214.645738,207.990854,2.495880674,2.418498298,1.031996
87,214.814359,210.165268,2.469130566,2.415692741,1.022121
88,220.271567,214.301084,2.503085988,2.435239596,1.027860
89,227.937197,220.261444,2.561092097,2.474847682,1.034848
90,230.811118,220.016393,2.564567977,2.444626594,1.049063
91,234.163342,222.045213,2.573223535,2.440057283,1.054575
92,241.256748,223.589583,2.622355957,2.430321558,1.079016
93,244.437012,225.918976,2.628354965,2.429236300,1.081968
94,254.746104,228.356448,2.710064940,2.429323912,1.115563
95,256.636100,229.955882,2.701432629,2.420588235,1.116023
96,261.109549,238.673982,2.719891131,2.486187314,1.094001
97,265.690687,263.483497,2.739079247,2.716324713,1.008377
98,272.796512,266.296388,2.783637874,2.717310083,1.024409
99,275.805515,268.662607,2.785914290,2.713763712,1.026587
100,283.402946,270.088182,2.834029456,2.700881825,1.049298
101,286.743502,272.632994,2.839044570,2.699336576,1.051756
102,298.115476,275.656525,2.922700747,2.702514950,1.081474
103,299.066879,277.435651,2.903561932,2.693550009,1.077968
104,305.869707,284.067598,2.941054873,2.731419213,1.076750
105,311.399421,284.820455,2.965708767,2.712575758,1.093318
106,319.033163,288.414877,3.009746823,2.720895069,1.106161
107,326.493490,289.836420,3.051341024,2.708751586,1.126475
108,329.215351,293.308789,3.048290286,2.715822121,1.122419
109,333.799377,295.582154,3.062379608,2.711762882,1.129295
110,345.216452,298.764331,3.138331384,2.716039375,1.155481
111,346.554889,302.579032,3.122116120,2.725937228,1.145337
112,354.429717,306.669118,3.164551044,2.738117122,1.155740
113,360.397989,338.996390,3.189362730,2.999968052,1.063132
114,366.946289,342.514142,3.218827097,3.004510020,1.071332
115,375.978000,343.830586,3.269373913,2.989831183,1.093498
116,379.555162,346.755535,3.272027258,2.989271854,1.094590
117,384.670082,350.280317,3.287778478,2.993848865,1.098178
118,396.116034,353.778774,3.356915540,2.998125200,1.119672
119,397.381356,356.371212,3.339339125,2.994716068,1.115077
120,405.057112,362.251931,3.375475934,3.018766088,1.118164
121,413.995595,363.634205,3.421451196,3.005241367,1.138495
122,418.700335,367.173340,3.431969958,3.009617540,1.140334
123,426.725000,369.911909,3.469308943,3.007413898,1.153585
124,432.048387,372.624504,3.484261186,3.005036322,1.159474
125,436.878488,377.372490,3.495027907,3.018979920,1.157685
126,449.593900,380.468623,3.568205552,3.019592250,1.181685
127,452.917271,383.865306,3.566277721,3.022561466,1.179886
128,460.653186,390.306535,3.598853018,3.049269807,1.180234
129,469.660000,424.144426,3.640775194,3.287941284,1.107311
130,476.361675,428.602169,3.664320578,3.296939761,1.111431
131,483.779639,431.118693,3.692974345,3.290982387,1.122150
132,489.421224,438.047093,3.707736545,3.318538584,1.117280
133,494.533224,442.180751,3.718294915,3.324667302,1.118396
134,507.909459,442.695165,3.790369100,3.303695262,1.147312
135,509.243581,446.093602,3.772174675,3.304397051,1.141562
136,516.947459,451.953726,3.801084256,3.323189161,1.143806
137,529.351124,455.728762,3.863876815,3.326487315,1.161549
138,534.343750,459.902574,3.872056159,3.332627344,1.161863
139,543.309971,463.119458,3.908704828,3.331794663,1.173153
140,548.447368,471.146985,3.917481203,3.365335607,1.164069
141,555.548077,472.666771,3.940057283,3.352246605,1.175348
142,565.814006,478.677296,3.984605676,3.370966873,1.182036
143,572.413110,481.282372,4.002888879,3.365610992,1.189350
144,582.760870,485.768135,4.046950483,3.373389824,1.199669
145,591.125000,522.229861,4.076724138,3.601585249,1.131925
146,602.464744,525.328911,4.126470847,3.598143223,1.146833
147,605.557258,528.044944,4.119437130,3.592142475,1.146791
148,613.387255,532.645480,4.144508479,3.598955947,1.151586
149,618.927632,535.897143,4.153876722,3.596625120,1.154937
150,634.076014,540.406250,4.227173423,3.602708333,1.173332
151,636.757179,543.342124,4.216934961,3.598292214,1.171927
152,646.186644,548.655702,4.251227920,3.609576985,1.177763
153,656.591346,555.906805,4.291446707,3.633377809,1.181118
154,668.781915,557.770340,4.342739707,3.621885326,1.199027
155,673.027679,560.357515,4.342114055,3.615209773,1.201068
156,681.834692,565.960843,4.370735205,3.627954124,1.204738
157,686.615876,569.190152,4.373349528,3.625414978,1.206303
158,702.622201,575.959356,4.446975959,3.645312379,1.219916
159,705.057331,578.133436,4.434322835,3.636059343,1.219541
160,716.289122,586.821094,4.476807013,3.667631836,1.220626
161,728.203488,631.082634,4.523003033,3.919767914,1.153896
162,739.173720,633.058725,4.562800744,3.907769906,1.167623
163,744.251984,635.338682,4.565963093,3.897783328,1.171426
164,751.026000,640.897959,4.579426829,3.907914385,1.171834
165,757.248992,644.517123,4.589387830,3.906164384,1.174909
166,774.226947,649.918966,4.664017751,3.915174491,1.191267
167,776.715393,654.063368,4.650990375,3.916547114,1.187523
168,787.900210,660.471391,4.689882203,3.931377326,1.192936
169,798.438559,667.208333,4.724488517,3.947978304,1.196686
170,811.682112,670.295536,4.774600659,3.942914916,1.210932
171,817.925000,672.862500,4.783187135,3.934868421,1.215590
172,824.737390,677.770234,4.794984828,3.940524615,1.216839
173,832.097345,682.609601,4.809811244,3.945720240,1.218994
174,849.156532,688.595347,4.880209951,3.957444521,1.233172
175,853.631818,691.476103,4.877896104,3.951292017,1.234507
176,864.112385,705.677162,4.909729462,4.009529328,1.224515
177,874.185185,753.091000,4.938899351,4.254751412,1.160796
178,888.662736,756.326613,4.992487280,4.249025915,1.174972
179,894.066667,758.186492,4.994785847,4.235678726,1.179217
180,904.736779,763.623984,5.026315438,4.242355465,1.184794
181,909.694111,768.873975,5.025934313,4.247922516,1.183151
182,928.571782,770.754098,5.102042759,4.234912628,1.204758
183,932.067450,773.407787,5.093264757,4.226272059,1.205144
184,944.413750,782.428125,5.132683424,4.252326766,1.207029
185,955.916667,787.182812,5.167117117,4.255042230,1.214352
186,966.824742,791.072479,5.197982485,4.253077844,1.222170
187,975.851804,793.472689,5.218458846,4.243169460,1.229849
188,984.532552,801.176377,5.236875277,4.261576474,1.228859
189,991.626316,805.342949,5.246700084,4.261073803,1.231309
190,1012.090726,813.228448,5.326793294,4.280149728,1.244534
191,1014.100806,873.935764,5.309428306,4.575579916,1.160384
192,1032.755495,831.571903,5.378934867,4.331103660,1.241932
193,1040.420330,875.585069,5.390778910,4.536710204,1.188257
194,1051.862500,882.103388,5.421971649,4.546924680,1.192448
195,1062.101124,882.891939,5.446672429,4.527650971,1.202980
196,1073.409801,890.696934,5.476580618,4.544372112,1.205135
197,1082.737787,893.780952,5.496130900,4.536959149,1.211413
198,1098.119186,900.995238,5.546056495,4.550481000,1.218785
199,1105.552941,906.118389,5.555542418,4.553358741,1.220098
200,1117.717262,912.919903,5.588586310,4.564599515,1.224332
201,1125.455357,917.276699,5.599280384,4.563565667,1.226953
202,1144.429878,923.824142,5.665494446,4.573386842,1.238796
203,1147.234756,928.022059,5.651402739,4.571537236,1.236215
204,1158.450617,935.910272,5.678679496,4.587795452,1.237780
205,1172.571094,940.419375,5.719858994,4.587411585,1.246860
206,1186.908228,948.928030,5.761690426,4.606446749,1.250788
207,1195.587025,951.156566,5.775782731,4.594959254,1.256982
208,1206.282853,960.147959,5.799436791,4.616095958,1.256351
209,1221.349026,1014.396505,5.843775244,4.853571796,1.204015
210,1235.610197,1022.970109,5.883858083,4.871286232,1.207865
211,1241.810855,1026.916440,5.885359504,4.866902560,1.209262
212,1251.926667,1034.039835,5.905314465,4.877546392,1.210714
213,1264.776667,1037.754808,5.937918623,4.872088299,1.218763
214,1281.968750,1041.497940,5.990508178,4.866812802,1.230889
215,1291.962329,1048.154167,6.009127111,4.875135659,1.232607
216,1303.326389,1058.940309,6.033918467,4.902501431,1.230784
217,1313.507812,1061.532303,6.053031394,4.891853933,1.237370
218,1327.668134,1070.214489,6.090220797,4.909240774,1.240563
219,1336.770246,1072.693182,6.103973728,4.898142383,1.246181
220,1347.216071,1080.741379,6.123709416,4.912460815,1.246567
221,1360.626812,1087.198994,6.156682405,4.919452463,1.251497
222,1379.266544,1093.497093,6.212912361,4.925662581,1.261335
223,1387.400735,1098.671512,6.221527961,4.926778079,1.262798
224,1406.372201,1108.111029,6.278447328,4.946924238,1.269162
225,1411.400187,1166.243056,6.272889718,5.183302469,1.210211
226,1430.200758,1171.266204,6.328321936,5.182593822,1.221072
227,1433.732008,1176.305469,6.316000033,5.181962417,1.218843
228,1448.058654,1183.961719,6.351134447,5.192814556,1.223062
229,1459.386538,1192.082278,6.372866980,5.205599469,1.224233
230,1477.531250,1198.126582,6.424048913,5.209246010,1.233201
231,1492.730159,1199.455696,6.462035319,5.192448901,1.244506
232,1501.489087,1209.665064,6.471935721,5.214073552,1.241244
233,1515.495968,1214.656250,6.504274540,5.213116953,1.247675
234,1529.476815,1225.042208,6.536225703,5.235223110,1.248509
235,1536.795363,1227.768669,6.539554736,5.224547527,1.251698
236,1550.431352,1234.039474,6.569624375,5.228980821,1.256387
237,1563.710417,1243.126645,6.597934248,5.245260104,1.257885
238,1584.501042,1248.603618,6.657567402,5.246233691,1.269018
239,1590.023305,1254.693333,6.652817176,5.249762901,1.267261
240,1607.649364,1262.275833,6.698539018,5.259482639,1.273612
241,1620.713362,1329.543134,6.724951710,5.516776489,1.219000
242,1636.230603,1334.455986,6.761283485,5.514280934,1.226141
243,1644.969298,1338.926937,6.769420980,5.509987393,1.228573
244,1661.152412,1346.117857,6.808001690,5.516876464,1.234032
245,1670.539474,1351.894643,6.818528464,5.517937318,1.235702
246,1690.715402,1358.152679,6.872826837,5.520945848,1.244864
247,1704.831818,1368.000000,6.902153110,5.538461538,1.246222
248,1711.343182,1375.563406,6.900577346,5.546626636,1.244103
249,1731.127273,1383.126838,6.952318364,5.554726258,1.251604
250,1742.305556,1389.182904,6.969222222,5.556731618,1.254194
251,1754.480324,1394.441176,6.989961450,5.555542536,1.258196
252,1774.212264,1401.363806,7.040524858,5.560967484,1.266061
253,1781.015330,1410.440299,7.039586285,5.574862840,1.262737
254,1804.653846,1417.632463,7.104936402,5.581230168,1.273005
255,1816.853365,1422.407197,7.124915158,5.578067439,1.277309
256,1826.239183,1426.582386,7.133746807,5.572587447,1.280150
