n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,32.689854,55.630635,1.021557924,1.738457332,0.587623
33,34.521171,57.094948,1.046096086,1.730149947,0.604627
34,36.898170,69.125921,1.085240294,2.033115328,0.533782
35,38.562988,73.472864,1.101799665,2.099224698,0.524860
36,40.728768,73.249609,1.131354680,2.034711372,0.556027
37,42.007224,80.320098,1.135330391,2.170813472,0.522998
38,44.559529,77.932357,1.172619197,2.050851490,0.571772
39,46.251912,79.046546,1.185946454,2.026834511,0.585122
40,47.970652,79.423793,1.199266304,1.985594835,0.603983
41,50.535156,84.273473,1.232564787,2.055450551,0.599657
42,53.345848,83.810326,1.270139227,1.995483943,0.636507
43,55.171397,90.048105,1.283055746,2.094141968,0.612688
44,58.147551,93.045139,1.321535253,2.114662247,0.624939
45,59.741322,92.413300,1.327584926,2.053628900,0.646458
46,62.539667,92.846658,1.359557971,2.018405618,0.673580
47,64.521765,92.688426,1.372803517,1.972094178,0.696115
48,67.180874,81.321715,1.399601540,1.694202398,0.826112
49,69.824181,84.716125,1.424983284,1.728900503,0.824214
50,73.483150,100.407722,1.469663009,2.008154443,0.731848
51,75.359538,102.182870,1.477638003,2.003585694,0.737497
52,79.204075,105.547103,1.523155292,2.029751990,0.750414
53,80.858405,107.385011,1.525630286,2.026132291,0.752977
54,84.364996,110.403824,1.562314732,2.044515251,0.764149
55,86.872801,109.459743,1.579505471,1.990177151,0.793651
56,89.845067,112.292814,1.604376197,2.005228828,0.800096
57,92.644639,116.791096,1.625344550,2.048966595,0.793251
58,96.480967,121.582092,1.663464950,2.096242965,0.793546
59,98.941324,126.302322,1.676971591,2.140717316,0.783369
60,103.008507,125.193758,1.716808452,2.086562639,0.822793
61,105.324214,127.299186,1.726626465,2.086871900,0.827375
62,109.598569,130.138003,1.767718854,2.099000045,0.842172
63,112.278593,128.718450,1.782199886,2.043149999,0.872280
64,115.634402,119.506529,1.806787531,1.867289510,0.967599
65,119.210769,123.997771,1.834011827,1.907658012,0.961394
66,124.318046,137.881618,1.883606763,2.089115419,0.901629
67,126.403470,143.266412,1.886618960,2.138304660,0.882297
68,131.157517,147.046630,1.928787022,2.162450443,0.891945
69,133.374111,148.654120,1.932958130,2.154407543,0.897211
70,139.010370,150.919614,1.985862434,2.155994488,0.921089
71,141.810989,164.732675,1.997337879,2.320178527,0.860855
72,149.174483,160.537457,2.071867824,2.229686905,0.929219
73,149.245032,159.956559,2.044452490,2.191185737,0.933035
74,154.016933,163.110000,2.081309912,2.204189189,0.944252
75,160.561002,169.704114,2.140813356,2.262721519,0.946123
76,165.284111,174.057514,2.174790933,2.290230446,0.949595
77,167.873658,175.510748,2.180177381,2.279360359,0.956486
78,170.415268,177.969995,2.184811124,2.281666606,0.957551
79,173.790741,176.814030,2.199882794,2.238152280,0.982901
80,181.352998,174.278927,2.266912476,2.178486582,1.040591
81,181.853440,181.030647,2.245104197,2.234946256,1.004545
82,188.166583,190.664634,2.294714429,2.325178465,0.986898
83,194.520488,197.523947,2.343620332,2.379806595,0.984794
84,196.884434,203.256494,2.343862309,2.419720161,0.968650
85,203.179383,204.301743,2.390345684,2.403549917,0.994506
86,205.819901,206.781663,2.393254666,2.404437942,0.995349
87,209.725446,212.346154,2.410637315,2.440760389,0.987658
88,217.896172,211.924661,2.476092860,2.408234789,1.028178
89,219.429322,213.253125,2.465498005,2.396102528,1.028962
90,225.798077,218.112209,2.508867521,2.423468992,1.035238
91,232.249691,224.220167,2.552194402,2.463957880,1.035811
92,235.641018,226.559783,2.561315409,2.462606333,1.040083
93,241.552378,230.636057,2.597337397,2.479957597,1.047331
94,245.103133,232.314666,2.607480140,2.471432615,1.055048
95,249.234416,236.675378,2.623520173,2.491319767,1.053064
96,258.077266,232.962469,2.688304859,2.426692385,1.107806
97,259.525552,236.149559,2.675521160,2.434531538,1.098988
98,266.211402,252.702493,2.716442880,2.578596870,1.053458
99,273.174419,256.827527,2.759337562,2.594217448,1.063649
100,276.509559,262.428771,2.765095588,2.624287709,1.053656
101,283.489804,260.974306,2.806829739,2.583904015,1.086275
102,287.469801,264.844986,2.818331385,2.596519469,1.085427
103,292.040373,269.431034,2.835343424,2.615835286,1.083915
104,302.112339,274.092930,2.904926339,2.635508943,1.102226
105,303.711974,277.017330,2.892494992,2.638260289,1.096365
106,310.993791,281.683934,2.933903692,2.657395603,1.104052
107,318.375424,296.916930,2.975471250,2.774924583,1.072271
108,322.182560,295.039701,2.983171853,2.731849086,1.091997
109,328.993860,298.109524,3.018292290,2.734949760,1.103601
110,336.685036,303.367339,3.060773053,2.757884897,1.109826
111,342.192518,307.518852,3.082815480,2.770440112,1.112753
112,347.419444,298.355556,3.101959325,2.663888889,1.164448
113,349.888526,307.189951,3.096358638,2.718495141,1.138997
