n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,32.235562,57.125152,1.007361314,1.785161008,0.564297
33,35.182270,58.831634,1.066129399,1.782776796,0.598016
34,37.670048,70.572423,1.107942594,2.075659496,0.533779
35,39.228609,73.641680,1.120817394,2.104047993,0.532696
36,42.189665,74.174842,1.171935135,2.060412271,0.568787
37,43.220968,80.351435,1.168134263,2.171660414,0.537899
38,45.343387,77.486674,1.193247035,2.039122988,0.585177
39,47.342945,78.285267,1.213921679,2.007314541,0.604749
40,49.129845,78.481276,1.228246137,1.962031904,0.626007
41,51.566176,83.581885,1.257711621,2.038582562,0.616954
42,54.777015,85.656507,1.304214647,2.039440639,0.639496
43,56.374098,91.466585,1.311025535,2.127129892,0.616335
44,59.206597,94.107447,1.345604482,2.138805621,0.629138
45,61.162427,94.011273,1.359165036,2.089139390,0.650586
46,63.946489,94.003069,1.390141075,2.043544970,0.680260
47,66.032174,93.712038,1.404939879,1.993873148,0.704629
48,68.708883,83.678189,1.431435058,1.743295607,0.821109
49,71.723624,86.351980,1.463747426,1.762285301,0.830596
50,75.343976,104.803212,1.506879518,2.096064246,0.718909
51,77.426301,103.204895,1.518162756,2.023625402,0.750219
52,80.803833,108.213091,1.553919864,2.081020983,0.746710
53,82.913462,109.489644,1.564404935,2.065842342,0.757272
54,86.213350,111.314650,1.596543522,2.061382409,0.774501
55,89.077754,110.438899,1.619595528,2.007979976,0.806580
56,91.961520,114.808905,1.642169993,2.050159009,0.800996
57,95.005826,119.043623,1.666768873,2.088484616,0.798076
58,98.767895,122.994102,1.702894737,2.120587969,0.803030
59,101.109375,128.477055,1.713718220,2.177577200,0.786984
60,105.321409,127.742847,1.755356809,2.129047457,0.824480
61,107.705367,129.560773,1.765661761,2.123947106,0.831312
62,112.008065,133.775143,1.806581686,2.157663591,0.837286
63,115.013863,130.261458,1.825616879,2.067642196,0.882946
64,118.499921,122.006827,1.851561267,1.906356673,0.971256
65,122.190918,126.374832,1.879860276,1.944228177,0.966893
66,126.621289,139.643973,1.918504376,2.115817776,0.906744
67,129.124140,144.414615,1.927225975,2.155442021,0.894121
68,133.864301,149.582536,1.968592662,2.199743175,0.894919
69,136.667456,152.402800,1.980687772,2.208736237,0.896752
70,141.231363,152.566260,2.017590899,2.179518002,0.925705
71,144.376154,155.865033,2.033466956,2.195282158,0.926290
72,148.504945,163.034071,2.062568675,2.264362100,0.910883
73,152.615041,161.918394,2.090616995,2.218060189,0.942543
74,157.904146,166.146239,2.133839806,2.245219445,0.950393
75,160.678724,173.287823,2.142382991,2.310504305,0.927236
76,165.946018,176.945991,2.183500233,2.328236718,0.937834
77,168.801933,179.156966,2.192232902,2.326713840,0.942201
78,173.922685,180.709538,2.229778015,2.316788943,0.962443
79,177.481333,180.366827,2.246599148,2.283124391,0.984002
80,182.262379,177.510870,2.278279733,2.218885870,1.026767
81,186.852839,176.825800,2.306825168,2.183034573,1.056706
82,192.327357,191.689031,2.345455568,2.337671105,1.003330
