n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,33.772559,58.135927,1.055392482,1.816747714,0.580924
33,36.865222,71.715023,1.117127942,2.173182513,0.514052
34,38.972413,73.396518,1.146247433,2.158721118,0.530984
35,40.891082,76.013574,1.168316616,2.171816393,0.537944
36,43.252768,77.264312,1.201465765,2.146230894,0.559803
37,44.590525,84.596596,1.205149336,2.286394487,0.527096
38,47.030216,82.476473,1.237637254,2.170433505,0.570226
39,48.971018,80.788760,1.255667135,2.071506659,0.606161
40,51.055457,82.448429,1.276386432,2.061210732,0.619241
41,53.669219,91.867777,1.309005333,2.240677480,0.584201
42,56.287215,88.534112,1.340171783,2.107955056,0.635769
43,58.361971,95.123098,1.357255141,2.212165079,0.613542
44,61.047445,98.244241,1.387441924,2.232823655,0.621384
45,63.156229,98.932753,1.403471755,2.198505626,0.638375
46,65.566958,99.792686,1.425368653,2.169406221,0.657032
47,67.962047,84.216899,1.446001002,1.791848906,0.806988
48,70.911848,85.345883,1.477330168,1.778039221,0.830876
49,73.795338,103.341272,1.506027313,2.109005552,0.714094
50,77.070255,113.255737,1.541405094,2.265114734,0.680498
51,79.320643,115.097546,1.555306725,2.256814628,0.689160
52,82.155320,114.263246,1.579909993,2.197370116,0.719000
53,85.001247,119.465924,1.603797106,2.254074030,0.711510
54,88.332274,122.792212,1.635782852,2.273929853,0.719364
55,90.851017,123.208936,1.651836681,2.240162466,0.737374
56,93.794500,124.610890,1.674901786,2.225194460,0.752699
57,97.084110,128.252565,1.703229995,2.250045000,0.756976
58,100.962863,131.286888,1.740739022,2.263567036,0.769025
59,102.909715,140.309417,1.744232451,2.378125713,0.733448
60,107.575401,137.138341,1.792923356,2.285639011,0.784430
61,109.702632,137.581745,1.798403796,2.255438440,0.797363
62,113.983293,141.833585,1.838440207,2.287638475,0.803641
63,116.611629,123.357072,1.850978244,1.958048768,0.945318
64,120.443036,124.265894,1.881922437,1.941654594,0.969236
65,124.060185,143.822086,1.908618234,2.212647475,0.862595
66,128.171363,148.492089,1.941990344,2.249880130,0.863153
67,131.358718,153.931557,1.960577888,2.297485931,0.853358
68,137.848018,154.309416,2.027176730,2.269256119,0.893322
69,137.838840,154.973347,1.997664347,2.245990538,0.889436
70,142.854072,158.561233,2.040772451,2.265160473,0.900939
71,146.021773,162.345588,2.056644689,2.286557581,0.899450
72,150.200200,165.849382,2.086113889,2.303463634,0.905642
73,153.753279,169.250000,2.106209297,2.318493151,0.908439
74,159.360357,169.521886,2.153518332,2.290836301,0.940058
75,165.539242,177.139387,2.207189888,2.361858491,0.934514
76,169.808092,181.812258,2.234317003,2.392266549,0.933975
77,169.867754,182.268447,2.206074722,2.367122683,0.931965
78,178.850238,190.681148,2.292951770,2.444630107,0.937954
