n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,32.570641,63.837389,1.017832526,1.994918418,0.510213
33,35.927299,67.858855,1.088706026,2.056328937,0.529442
34,35.986545,66.386456,1.058427808,1.952542827,0.542077
35,39.164683,68.517394,1.118990930,1.957639831,0.571602
36,40.836346,69.679328,1.134342939,1.935536879,0.586061
37,42.651063,71.858429,1.152731432,1.942119706,0.593543
38,46.509611,72.506477,1.223937121,1.908065189,0.641455
39,48.393802,73.434514,1.240866708,1.882936269,0.659006
40,49.976146,76.680499,1.249403651,1.917012469,0.651745
41,53.589786,77.263900,1.307067944,1.884485374,0.693594
42,55.426788,78.901072,1.319685424,1.878596960,0.702485
43,57.116131,80.621507,1.328282122,1.874918765,0.708448
44,59.932668,80.093670,1.362106085,1.820310680,0.748282
45,62.145212,80.491685,1.381004712,1.788704101,0.772070
46,63.958646,81.373265,1.390405347,1.768984030,0.785991
47,65.996877,81.758609,1.404188877,1.739544881,0.807216
48,68.654100,89.356190,1.430293741,1.861587302,0.768319
49,71.506955,103.985172,1.459325613,2.122146364,0.687665
50,74.640215,104.834777,1.492804296,2.096695531,0.711980
51,76.817875,105.750000,1.506232837,2.073529412,0.726410
52,80.187714,105.280864,1.542071417,2.024632004,0.761655
53,82.471141,106.367276,1.556059267,2.006929737,0.775343
54,85.995302,107.624355,1.592505601,1.993043610,0.799032
55,88.750887,108.000863,1.613652490,1.963652056,0.821761
56,91.645528,110.521496,1.636527283,1.973598141,0.829210
57,94.688698,112.545318,1.661205233,1.974479265,0.841338
58,98.632689,113.669318,1.700563608,1.959815831,0.867716
59,101.155205,114.768589,1.714494999,1.945230328,0.881384
60,104.832053,116.091739,1.747200885,1.934862314,0.903010
61,107.529673,117.350125,1.762781527,1.923772544,0.916315
62,112.283982,119.567197,1.811031968,1.928503185,0.939087
63,115.461438,120.961199,1.832721235,1.920019025,0.954533
64,118.376263,128.966214,1.849629104,2.015097092,0.917886
65,121.932298,146.072333,1.875881514,2.247266655,0.834739
66,126.320155,147.144788,1.913941739,2.229466491,0.858475
67,128.558562,148.192536,1.918784502,2.211828889,0.867510
68,133.368954,149.386445,1.961308154,2.196859486,0.892778
69,136.006703,150.909767,1.971111636,2.187098071,0.901245
70,141.217432,153.173328,2.017391889,2.188190399,0.921945
71,144.290769,154.535111,2.032264355,2.176550862,0.933709
72,148.594889,162.037349,2.063817904,2.250518734,0.917041
73,152.159036,160.884970,2.084370351,2.203903698,0.945763
74,157.451237,162.987630,2.127719425,2.202535543,0.966032
75,160.058020,164.591557,2.134106940,2.194554094,0.972456
76,165.657465,166.345855,2.179703482,2.188761257,0.995862
77,168.749326,169.170495,2.191549682,2.197019422,0.997510
78,178.208491,171.416133,2.284724250,2.197642737,1.039625
79,177.804688,172.646369,2.250692247,2.185397082,1.029878
80,185.749257,182.314806,2.321865718,2.278935073,1.018838
81,189.721591,201.076552,2.342241863,2.482426574,0.943529
82,192.728953,204.156929,2.350353083,2.489718651,0.944024
83,195.426302,204.866812,2.354533760,2.468274846,0.953919
84,204.589325,207.116998,2.435587198,2.465678545,0.987796
85,208.621389,208.617222,2.454369281,2.454320261,1.000020
86,215.063647,211.011798,2.500740079,2.453625555,1.019202
87,219.096817,212.171239,2.518354214,2.438749870,1.032641
88,223.433780,219.340683,2.539020225,2.492507766,1.018661
89,227.435533,218.814831,2.555455423,2.458593607,1.039397
90,230.359951,221.696956,2.559555010,2.463299514,1.039076
91,233.626244,223.662798,2.567321360,2.457832941,1.044547
92,243.622565,225.738281,2.648071358,2.453676970,1.079226
93,247.490765,228.001513,2.661191023,2.451629175,1.085479
94,254.470698,230.524263,2.707135083,2.452385776,1.103878
95,258.978764,232.643455,2.726092251,2.448878477,1.113200
96,264.073736,243.883929,2.750768083,2.540457589,1.082784
97,268.865509,264.944386,2.771809367,2.731385418,1.014800
98,272.047826,268.484821,2.775998225,2.739641035,1.013271
99,275.367302,269.753053,2.781487900,2.724778315,1.020813
100,285.881098,275.156525,2.858810976,2.751565249,1.038976
101,290.220872,274.797880,2.873473979,2.720771090,1.056125
102,296.518927,278.192507,2.907048308,2.727377524,1.065877
103,301.556270,336.701165,2.927730778,3.268943348,0.895620
104,313.686037,285.909680,3.016211892,2.749131537,1.097151
105,306.588031,284.233712,2.919886010,2.706987734,1.078648
106,309.514233,283.057982,2.919945591,2.670358320,1.093466
107,312.484219,284.213068,2.920413264,2.656196899,1.099472
108,324.050647,288.579808,3.000468950,2.672035256,1.122915
109,327.529399,294.548197,3.004856871,2.702277041,1.111972
110,332.525266,294.076215,3.022956963,2.673420134,1.130745
111,337.390737,299.918930,3.039556193,2.701972340,1.124940
112,348.555994,310.155734,3.112107093,2.769247628,1.123810
113,350.455690,333.666593,3.101377790,2.952801704,1.050317
114,361.948077,337.460432,3.174983131,2.960179225,1.072564
115,365.273346,338.132869,3.176289968,2.940285815,1.080266
116,369.762303,342.279881,3.187606062,2.950688633,1.080292
117,377.538906,344.506410,3.226828253,2.944499233,1.095884
118,382.607978,348.697491,3.242440488,2.955063481,1.097249
119,390.102178,354.951415,3.278169567,2.982785001,1.099030
120,398.969149,358.584208,3.324742908,2.988201733,1.112623
121,399.165957,359.572318,3.298892210,2.971672050,1.110113
122,408.155978,363.396236,3.345540805,2.978657668,1.123171
123,417.326389,365.042558,3.392897471,2.967825678,1.143227
124,426.140341,369.701033,3.436615652,2.981459947,1.152662
125,431.761468,372.426835,3.454091743,2.979414683,1.159319
126,435.938657,376.883534,3.459830614,2.991139160,1.156693
127,442.292158,379.621711,3.482615417,2.989147327,1.165087
128,453.929650,396.129747,3.546325389,3.094763647,1.145912
129,457.547256,426.893466,3.546877954,3.309251674,1.071807
130,468.079602,426.092760,3.600612323,3.277636617,1.098539
131,467.159204,429.941210,3.566100794,3.281993970,1.086565
132,477.567893,435.770833,3.617938586,3.301294192,1.095915
133,481.905128,436.164244,3.623346829,3.279430407,1.104871
134,502.233957,443.860259,3.748014606,3.312389996,1.131514
135,508.302027,448.930622,3.765200200,3.325412015,1.132251
136,520.809392,454.494263,3.829480825,3.341869583,1.145910
137,523.748254,459.056402,3.822979958,3.350776660,1.140924
138,537.672857,464.190594,3.896180124,3.363699957,1.158302
139,542.653179,465.400681,3.903979706,3.348206336,1.165991
140,548.795687,472.291143,3.919969194,3.373508166,1.161986
141,554.369118,473.113693,3.931695870,3.355416266,1.171746
142,566.003389,480.167092,3.985939356,3.381458393,1.178763
143,575.404525,483.397229,4.023807864,3.380400205,1.190335
144,584.326087,498.987367,4.057820048,3.465190049,1.171024
145,585.852096,527.062851,4.040359285,3.634916215,1.111541
146,600.975160,535.615767,4.116268221,3.668601144,1.122027
147,603.058494,537.865714,4.102438732,3.658950437,1.121206
148,612.775327,538.287500,4.140373830,3.637077703,1.138379
149,618.467928,546.131541,4.150791461,3.665312354,1.132452
150,630.186242,546.680233,4.201241611,3.644534884,1.152751
151,639.644558,552.813971,4.236056674,3.661019673,1.157070
152,648.458621,560.328869,4.266175136,3.686374138,1.157282
153,651.151910,560.079985,4.255894835,3.660653498,1.162605
154,666.965426,565.739834,4.330944322,3.673635288,1.178926
155,668.078014,569.406818,4.310180737,3.673592375,1.173288
156,678.747752,571.701220,4.350947127,3.664751407,1.187242
157,685.276004,576.765337,4.364815310,3.673664570,1.188137
158,697.506944,580.233025,4.414600914,3.672360916,1.202115
159,707.548872,587.013672,4.449992907,3.691909886,1.205336
160,716.581107,601.219551,4.478631918,3.757622196,1.191879
161,720.960878,641.749150,4.478017875,3.986019563,1.123431
162,737.877930,640.490646,4.554802035,3.953645965,1.152051
163,738.073242,644.248288,4.528056701,3.952443483,1.145635
164,749.838294,648.346552,4.572184717,3.953332632,1.156539
165,755.492000,652.644965,4.578739394,3.955424032,1.157585
166,767.110772,660.288292,4.621149231,3.977640315,1.161782
167,779.955579,661.238996,4.670392686,3.959514949,1.179537
168,789.750000,671.341518,4.700892857,3.996080463,1.176376
169,794.445378,678.032374,4.700860226,4.012025882,1.171692
170,811.225754,678.041367,4.771916202,3.988478629,1.196425
171,812.825970,680.740036,4.753368245,3.980935884,1.194033
172,823.116228,694.372243,4.785559466,4.037047922,1.185411
173,831.180863,689.340533,4.804513658,3.984627359,1.205762
174,845.283784,697.960185,4.857952780,4.011265432,1.211077
175,856.280682,699.964552,4.893032468,3.999797441,1.223320
176,865.621560,718.556775,4.918304316,4.082708948,1.204667
177,869.950231,754.842000,4.914973059,4.264644068,1.152493
178,886.765330,762.304370,4.981827698,4.282608820,1.163269
179,888.439858,765.078252,4.963351165,4.274180179,1.161241
180,901.775841,767.913618,5.009865785,4.266186766,1.174319
181,908.536058,775.606921,5.019536230,4.285121113,1.171387
182,920.897672,779.387397,5.059877316,4.282348333,1.181566
183,934.687500,784.871875,5.107581967,4.288917350,1.190879
184,945.934375,794.056723,5.140947690,4.315525667,1.191268
185,952.571970,793.064076,5.149037674,4.286832841,1.201129
186,967.909149,801.487714,5.203812632,4.309073729,1.207641
187,969.487113,804.099359,5.184423066,4.299996572,1.205681
188,982.626302,808.908405,5.226735649,4.302704283,1.214756
189,991.877632,816.529891,5.248029797,4.320263975,1.214747
190,1005.787234,821.436957,5.293617021,4.323352403,1.224424
191,1016.104839,830.284292,5.319920622,4.347038178,1.223804
192,1028.711957,847.412725,5.357874774,4.413607944,1.213944
193,1032.379121,887.915094,5.349114616,4.600596344,1.162700
194,1052.148611,893.305952,5.423446449,4.604669858,1.177814
195,1055.564607,896.056548,5.413151829,4.595161783,1.178011
196,1068.497159,901.829327,5.451516118,4.601170035,1.184811
