n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,42.046917,69.690890,1.313966158,2.177840302,0.603334
33,48.695937,84.064404,1.475634460,2.547406186,0.579269
34,50.630838,84.997393,1.489142302,2.499923337,0.595675
35,52.079192,85.833371,1.487976918,2.452382042,0.606748
36,53.420726,86.373964,1.483909069,2.399276780,0.618482
37,55.151250,90.046965,1.490574324,2.433701756,0.612472
38,56.920282,88.586756,1.497902162,2.331230431,0.642537
39,59.128862,89.228889,1.516124665,2.287920235,0.662665
40,63.959925,91.981801,1.598998124,2.299545037,0.695354
41,84.450608,92.421429,2.059770916,2.254181185,0.913756
42,67.602920,92.962958,1.609593333,2.213403771,0.727203
43,69.125553,93.469840,1.607570993,2.173717220,0.739549
44,70.648738,94.431898,1.605653131,2.146179507,0.748145
45,73.293604,95.678125,1.628746745,2.126180556,0.766043
46,75.141426,96.560505,1.633509267,2.099141405,0.778180
47,77.678853,97.821559,1.652741543,2.081309764,0.794087
48,79.967178,104.418430,1.665982879,2.175383955,0.765834
49,86.995826,123.140092,1.775425012,2.513063099,0.706478
50,89.115266,123.623435,1.782305318,2.472468709,0.720861
51,90.838214,124.741855,1.781141450,2.445918727,0.728210
52,93.162488,125.695710,1.791586300,2.417225201,0.741175
53,95.606142,126.645074,1.803889466,2.389529702,0.754914
54,98.047479,127.536855,1.815694057,2.361793604,0.768778
55,101.343413,129.342500,1.842607500,2.351681818,0.783528
56,103.669406,131.613254,1.851239394,2.350236676,0.787682
57,111.525268,134.559182,1.956583641,2.360687407,0.828819
58,113.685909,135.907880,1.960101881,2.343239318,0.836492
59,115.978291,137.549762,1.965733747,2.331351894,0.843173
60,118.547250,137.975551,1.975787505,2.299592525,0.859190
61,121.374838,140.433570,1.989751447,2.302189678,0.864286
62,124.467341,141.634630,2.007537756,2.284429515,0.878792
63,128.437842,145.234520,2.038695912,2.305309843,0.884348
64,130.814505,149.935503,2.043976639,2.342742237,0.872472
65,139.621838,170.697045,2.148028274,2.626108392,0.817951
66,141.852591,171.197879,2.149281678,2.593907252,0.828588
67,144.581471,172.514246,2.157932410,2.574839497,0.838084
68,147.691240,173.626620,2.171930002,2.553332653,0.850626
69,150.688604,175.508645,2.183892805,2.543603549,0.858582
70,154.318771,177.648438,2.204553865,2.537834821,0.868675
71,159.075636,180.097529,2.240501910,2.536584913,0.883275
72,191.029022,251.773458,2.653180867,3.496853590,0.758734
73,175.035331,193.633247,2.397744262,2.652510239,0.903953
74,182.193447,199.826330,2.462073603,2.700355808,0.911759
75,186.730119,201.742473,2.489734924,2.689899642,0.925587
76,192.172643,201.954704,2.528587414,2.657298741,0.951563
77,189.915612,207.544801,2.466436524,2.695387024,0.915058
78,193.500515,193.714360,2.480775839,2.483517430,0.998896
79,203.549892,194.326346,2.576580906,2.459827161,1.047464
80,194.161879,204.672249,2.427023486,2.558403118,0.948648
81,204.178533,229.916360,2.520722625,2.838473584,0.888056
82,208.071508,231.110530,2.537457412,2.818421092,0.900312
83,211.464527,232.866625,2.547765386,2.805621992,0.908093
84,215.639943,234.062344,2.567142173,2.786456478,0.921293
85,220.044496,236.590680,2.588758782,2.783419766,0.930064
86,224.269690,238.335025,2.607787090,2.771337504,0.940985
87,229.986826,240.502244,2.643526735,2.764393604,0.956277
88,234.031172,245.129569,2.659445137,2.785563286,0.954724
89,243.196891,246.473589,2.732549339,2.769366171,0.986706
90,246.598425,248.461310,2.739982502,2.760681217,0.992502
91,250.794452,250.422333,2.755982988,2.751893773,1.001486
92,255.415082,251.997989,2.776250886,2.739108579,1.013560
93,259.905471,254.677168,2.794682483,2.738464172,1.020529
94,264.703169,257.007534,2.815991160,2.734122705,1.029943
95,270.526657,259.499827,2.847649022,2.731577130,1.042493
96,274.997067,268.677292,2.864552786,2.798721794,1.023522
97,285.160334,300.525641,2.939797261,3.098202485,0.948872
98,288.941154,309.540842,2.948379121,3.158580016,0.933451
99,293.201953,311.168046,2.961635890,3.143111579,0.942262
100,298.425397,312.039867,2.984253968,3.120398671,0.956369
101,303.026815,315.489513,3.000265490,3.123658549,0.960497
102,308.234426,317.528294,3.021906140,3.113022489,0.970731
103,315.290268,319.754039,3.061070568,3.104408147,0.986040
104,319.981442,312.517292,3.076744634,3.004973958,1.023884
105,331.595186,318.049576,3.158049386,3.029043584,1.042590
106,334.954018,319.399022,3.159943565,3.013198322,1.048701
107,339.878623,321.820205,3.176435731,3.007665472,1.056113
108,347.058118,339.812953,3.213501093,3.146416231,1.021321
109,351.321161,330.799736,3.223129918,3.034859963,1.062036
110,356.388021,331.392226,3.239891098,3.012656601,1.075427
111,364.104651,334.613657,3.280222083,3.014537447,1.088134
112,369.636811,346.186347,3.300328670,3.090949526,1.067739
113,379.537046,376.038250,3.358734924,3.327772124,1.009304
114,383.220408,378.055444,3.361582528,3.316275821,1.013662
115,390.685938,380.157895,3.397269022,3.305720824,1.027694
116,395.142857,381.736280,3.406403941,3.290830004,1.035120
117,402.479614,386.652263,3.439996699,3.304720200,1.040934
118,407.000541,389.516079,3.449157128,3.300983719,1.044888
119,414.896018,392.100000,3.486521157,3.294957983,1.058138
120,420.383092,397.919492,3.503192429,3.315995763,1.056453
121,431.893062,402.100427,3.569364148,3.323144028,1.074093
