n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,32.873028,64.614145,1.027282116,2.019192044,0.508759
33,35.207496,82.246820,1.066893826,2.492327884,0.428071
34,36.875049,80.479721,1.084560269,2.367050619,0.458191
35,38.197327,83.042626,1.091352197,2.372646463,0.459973
36,41.341821,83.108448,1.148383916,2.308567993,0.497444
37,42.982098,87.115367,1.161678320,2.354469372,0.493393
38,45.308635,85.658162,1.192332507,2.254162161,0.528947
39,47.085279,84.963825,1.207314836,2.178559608,0.554180
40,49.006074,86.173139,1.225151842,2.154328470,0.568693
41,51.743308,93.581088,1.262031915,2.282465557,0.552925
42,54.889198,94.909033,1.306885664,2.259738890,0.578335
43,56.651511,95.284616,1.317476990,2.215921311,0.594550
44,59.410726,95.197462,1.350243764,2.163578680,0.624079
45,61.237835,96.484182,1.360840772,2.144092936,0.634693
46,64.217979,97.308869,1.396043032,2.115410202,0.659940
47,66.306621,98.180759,1.410779176,2.088952323,0.675353
48,68.823459,88.634924,1.433822068,1.846560925,0.776482
49,71.930694,114.632564,1.467973347,2.339440085,0.627489
50,75.252909,115.188268,1.505058186,2.303765356,0.653304
51,77.185802,115.799537,1.513447107,2.270579158,0.666547
52,80.796296,116.638759,1.553774929,2.243053064,0.692705
53,82.893015,116.687811,1.564019152,2.201656810,0.710383
54,86.414286,118.720016,1.600264550,2.198518812,0.727883
55,88.991461,120.794884,1.618026565,2.196270621,0.736715
56,91.931495,116.343983,1.641633841,2.077571118,0.790170
57,95.352642,121.841071,1.672853373,2.137562657,0.782599
58,98.959124,121.565091,1.706191801,2.095949839,0.814042
59,101.571777,122.856839,1.721555539,2.082319305,0.826749
60,105.768884,124.563579,1.762814731,2.076059650,0.849116
61,108.031538,126.370620,1.771008820,2.071649507,0.854879
62,112.213068,128.091018,1.809888196,2.065984157,0.876042
63,115.455819,129.381983,1.832632047,2.053682266,0.892364
64,118.416272,128.653292,1.850254251,2.010207690,0.920429
65,122.280965,153.389706,1.881245612,2.359841629,0.797191
66,126.974966,154.657228,1.923863124,2.343291336,0.821009
67,129.400086,156.697830,1.931344570,2.338773578,0.825794
68,134.567970,156.741653,1.978940733,2.305024305,0.858534
69,137.120980,159.810583,1.987260573,2.316095413,0.858022
70,141.818542,162.005829,2.025979176,2.314368986,0.875392
71,144.864198,164.410245,2.040340810,2.315637256,0.881114
72,149.451732,167.387701,2.075718496,2.324829174,0.892848
73,154.252775,166.763099,2.113051719,2.284426020,0.924981
74,156.417917,177.629261,2.113755631,2.400395424,0.880586
75,164.133632,180.077015,2.188448427,2.401026871,0.911464
76,170.195327,181.598283,2.239412193,2.389451097,0.937208
77,171.704670,182.653453,2.229930784,2.372122770,0.940057
78,178.544677,185.742822,2.289034318,2.381318228,0.961247
79,180.510938,193.053241,2.284948576,2.443711908,0.935032
80,184.824311,184.979290,2.310303888,2.312241124,0.999162
81,186.208085,207.544524,2.298865251,2.562278078,0.897196
82,191.271894,213.111080,2.332584074,2.598915604,0.897522
83,196.604036,211.424831,2.368723321,2.547287121,0.929900
84,198.824285,214.529395,2.366955773,2.553921369,0.926793
85,203.846739,219.166472,2.398196931,2.578429082,0.930100
86,213.851367,220.255575,2.486643799,2.561111339,0.970924
87,214.721253,223.175624,2.468060378,2.565237052,0.962118
88,219.354848,223.859189,2.492668729,2.543854415,0.979879
89,224.689145,226.388705,2.524597132,2.543693313,0.992493
90,230.021752,228.443127,2.555797249,2.538256961,1.006910
91,237.900633,230.253064,2.614292669,2.530253448,1.033214
92,241.852771,233.996415,2.628834463,2.543439296,1.033575
93,243.984091,241.942977,2.623484848,2.601537385,1.008436
94,254.482046,244.323242,2.707255809,2.599183428,1.041579
95,254.746104,247.393140,2.681537940,2.604138314,1.029722
96,261.114931,244.778394,2.719947193,2.549774940,1.066740
97,265.349929,280.283955,2.735566282,2.889525312,0.946718
98,272.309964,282.634036,2.778673100,2.884020777,0.963472
99,279.704613,280.293097,2.825299122,2.831243404,0.997900
100,283.191265,281.721471,2.831912651,2.817214715,1.005217
101,286.823777,283.402946,2.839839374,2.805969759,1.012071
102,297.730556,288.094709,2.918927015,2.824457927,1.033447
103,299.037022,288.944615,2.903272061,2.805287528,1.034929
104,305.059253,292.940226,2.933262050,2.816732941,1.041370
105,310.534354,298.359325,2.957470041,2.841517385,1.040807
106,317.652449,306.444240,2.996721220,2.890983398,1.036575
107,321.695634,303.794903,3.006501248,2.839204700,1.058924
108,330.669454,322.850515,3.061754206,2.989356625,1.024218
109,337.248651,309.321957,3.094024322,2.837816121,1.090284
110,342.580292,312.996250,3.114366291,2.845420455,1.094519
111,350.765392,314.874581,3.160048575,2.836707933,1.113984
112,357.333888,313.859114,3.190481141,2.802313515,1.138517
113,359.219828,354.014623,3.178936527,3.132872767,1.014703
114,365.807879,356.473859,3.208841047,3.126963678,1.026184
115,371.890316,358.158874,3.233828837,3.114424992,1.038339
116,379.113155,362.104730,3.268216856,3.121592498,1.046971
117,386.474280,363.874031,3.303198973,3.110034453,1.062110
118,391.935417,367.290283,3.321486582,3.112629519,1.067100
119,399.989894,371.272727,3.361259610,3.119938885,1.077348
120,407.073052,372.532738,3.392275433,3.104439484,1.092718
121,409.372826,375.010500,3.383246497,3.099260331,1.091630
122,418.433889,378.478327,3.429785974,3.102281366,1.105569
123,423.212838,380.542004,3.440754779,3.093837431,1.112132
124,432.647177,384.549693,3.489090140,3.101207199,1.125075
125,440.467136,388.481921,3.523737089,3.107855372,1.133816
126,446.789286,392.597280,3.545946712,3.115851431,1.138035
127,455.886529,395.394170,3.589657710,3.113339923,1.152993
128,471.178392,401.002137,3.681081187,3.132829193,1.175002
129,466.151609,444.443720,3.613578364,3.445300158,1.048843
130,474.280934,441.138791,3.648314880,3.393375316,1.075129
131,478.798151,449.572967,3.654947714,3.431854706,1.065007
132,488.828451,447.809821,3.703245837,3.392498647,1.091598
133,497.751984,449.764055,3.742496121,3.381684624,1.106696
134,504.822581,456.541869,3.767332691,3.407028873,1.105753
135,513.248634,459.015854,3.801841732,3.400117435,1.118150
136,521.136111,460.699142,3.831883170,3.387493692,1.131185
137,525.384777,476.269670,3.834925376,3.476420949,1.103125
138,535.682173,473.504419,3.881754879,3.431191443,1.131314
139,539.871049,482.868910,3.883964380,3.473877052,1.118049
140,549.697368,481.144551,3.926409774,3.436746795,1.142479
141,559.152530,483.389820,3.965620778,3.428296593,1.156732
142,566.043675,489.173828,3.986223061,3.444886114,1.157142
143,575.338190,491.806937,4.023343987,3.439209351,1.169846
144,582.099151,495.332895,4.042355217,3.439811769,1.175168
145,586.825000,538.844109,4.047068966,3.716166270,1.089044
146,597.998408,541.473060,4.095879504,3.708719591,1.104392
147,603.470353,544.989884,4.105240494,3.707414180,1.107306
148,613.979167,547.773256,4.148507883,3.701170647,1.120864
149,621.685430,552.592647,4.172385439,3.708675484,1.125034
150,630.843540,555.980769,4.205623602,3.706538462,1.134650
151,639.932823,560.875000,4.237965716,3.714403974,1.140954
152,649.500862,570.401894,4.273031987,3.752644039,1.138672
153,653.013021,571.334091,4.268058960,3.734209745,1.142962
154,665.027482,574.432927,4.318360274,3.730083940,1.157711
155,669.234043,579.251929,4.317638984,3.737109219,1.155342
156,680.743659,581.798611,4.363741407,3.729478276,1.170068
