n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,33.060693,66.272615,1.033146652,2.071019214,0.498859
33,35.653089,86.100321,1.080396647,2.609100648,0.414088
34,38.084687,86.514184,1.120137860,2.544534811,0.440213
35,45.873043,83.712165,1.310658373,2.391776148,0.547985
36,40.500324,85.524271,1.125008999,2.375674187,0.473554
37,41.957271,87.047470,1.133980289,2.352634320,0.482004
38,44.429210,86.825347,1.169189739,2.284877558,0.511708
39,46.228150,88.116894,1.185337171,2.259407533,0.524623
40,48.187339,84.261680,1.204683485,2.106542004,0.571877
41,50.641266,102.949506,1.235152834,2.510963562,0.491904
42,54.074467,102.703450,1.287487299,2.445320242,0.526511
43,55.373819,104.081715,1.287763241,2.420504994,0.532023
44,58.006378,104.032151,1.318326763,2.364367063,0.557581
45,59.672471,105.338553,1.326054919,2.340856742,0.566483
46,62.577593,105.485869,1.360382465,2.293171064,0.593232
47,64.444244,107.238000,1.371154127,2.281659574,0.600946
48,67.095046,91.528780,1.397813469,1.906849593,0.733049
49,69.897634,121.215439,1.426482329,2.473784475,0.576640
50,73.293994,122.333116,1.465879883,2.446662321,0.599135
51,75.309337,123.327940,1.476653674,2.418194906,0.610643
52,78.590842,123.361184,1.511362354,2.372330466,0.637079
53,80.843804,123.597826,1.525354790,2.332034454,0.654088
54,84.231918,126.219044,1.559850338,2.337389711,0.667347
55,86.723198,126.993572,1.576785414,2.308974044,0.682894
56,89.670292,116.886831,1.601255207,2.087264833,0.767155
57,92.560587,124.564409,1.623869954,2.185340509,0.743074
58,96.480260,125.684651,1.663452755,2.166976750,0.767638
59,98.746184,127.596259,1.673664139,2.162648449,0.773896
60,102.946762,127.501868,1.715779363,2.125031137,0.807414
61,105.362500,129.058717,1.727254098,2.115716678,0.816392
62,109.551110,130.662604,1.766953384,2.107461362,0.838427
63,112.485911,131.321078,1.785490655,2.084461562,0.856572
64,115.492765,128.084102,1.804574450,2.001314090,0.901695
65,119.426050,159.819101,1.837323840,2.458755406,0.747258
66,123.491941,157.011079,1.871090012,2.378955736,0.786517
67,126.240074,158.957839,1.884180209,2.372505059,0.794173
68,130.943785,158.635998,1.925643896,2.332882328,0.825436
69,133.291193,160.331410,1.931756423,2.323643627,0.831348
70,137.877941,161.652155,1.969684874,2.309316502,0.852930
71,141.221009,163.866616,1.989028296,2.307980505,0.861805
72,145.258514,168.074821,2.017479360,2.334372511,0.864249
73,153.095636,179.837404,2.097200496,2.463526085,0.851300
74,153.753279,177.564157,2.077747009,2.399515638,0.865903
75,156.938963,179.036498,2.092519509,2.387153308,0.876575
76,162.148208,180.274952,2.133529054,2.372038842,0.899449
77,164.553947,182.318083,2.137064252,2.367767306,0.902565
78,169.947011,184.979290,2.178807832,2.371529358,0.918735
79,173.271679,186.283606,2.193312392,2.358020331,0.930150
80,177.930740,178.701429,2.224134250,2.233767857,0.995687
81,186.711233,217.346933,2.305076946,2.683295468,0.859047
82,187.791500,216.152218,2.290140244,2.636002655,0.868793
83,190.339883,217.181858,2.293251607,2.616648887,0.876408
84,196.500000,219.303592,2.339285714,2.610757051,0.896018
85,200.034915,221.635934,2.353351938,2.607481574,0.902538
86,206.002056,222.991686,2.395372743,2.592926587,0.923810
87,209.337472,225.434495,2.406177840,2.591201094,0.928596
88,214.251142,221.487618,2.434672063,2.516904749,0.967328
89,223.088183,230.473280,2.506608797,2.589587417,0.967957
90,224.991307,229.151067,2.499903411,2.546122967,0.981847
91,227.827822,230.260570,2.503602435,2.530335932,0.989435
92,234.547188,233.061725,2.549425951,2.533279615,1.006374
93,238.417195,235.653580,2.563625757,2.533909467,1.011727
94,244.980744,237.793038,2.606178129,2.529713170,1.030227
95,248.738727,240.284847,2.618302387,2.529314174,1.035183
96,254.556572,239.765944,2.651630956,2.497561915,1.061688
97,263.629213,275.210960,2.717826943,2.837226396,0.957917
98,266.160057,274.417398,2.715918945,2.800177527,0.969910
99,269.169413,274.921784,2.718882956,2.776987713,0.979076
100,276.265074,279.144717,2.762650735,2.791447173,0.989684
101,280.149627,280.185075,2.773758682,2.774109650,0.999873
102,287.288226,282.153153,2.816551238,2.766207384,1.018200
103,291.782220,285.783055,2.832837092,2.774592764,1.020992
104,297.573576,289.342692,2.861284384,2.782141272,1.028447
105,306.797794,301.424479,2.921883754,2.870709325,1.017826
106,310.906664,301.410457,2.933081735,2.843494875,1.031506
107,314.193562,303.556230,2.936388429,2.836974110,1.035042
108,322.315722,306.333876,2.984404830,2.836424780,1.052171
109,325.259948,309.431106,2.984036221,2.838817483,1.051155
110,332.947917,312.122508,3.026799242,2.837477348,1.066722
