n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,42.002800,86.728955,1.312587506,2.710279833,0.484300
33,49.936202,106.950827,1.513218245,3.240934142,0.466908
34,51.816436,108.387572,1.524012837,3.187869772,0.478066
35,53.371621,108.926684,1.524903447,3.112190974,0.489977
36,54.836038,109.217404,1.523223278,3.033816777,0.502082
37,56.376391,113.009337,1.523686231,3.054306415,0.498865
38,58.186725,113.618644,1.531229606,2.989964318,0.512123
39,60.370815,113.926488,1.547969604,2.921192012,0.529910
40,61.978850,116.754670,1.549471249,2.918866750,0.530847
41,69.271787,119.283874,1.689555788,2.909362782,0.580731
42,71.346673,119.834291,1.698730310,2.853197409,0.595378
43,73.286328,120.352455,1.704333212,2.798894304,0.608931
44,74.830058,120.891833,1.700683133,2.747541662,0.618984
45,76.905430,123.328187,1.709009563,2.740626369,0.623584
46,78.990838,124.396054,1.717192136,2.704262052,0.634995
47,81.715701,126.157090,1.738631941,2.684193405,0.647730
48,83.467137,130.350174,1.738898697,2.715628617,0.640330
49,91.000485,155.779070,1.857152754,3.179164689,0.584164
50,93.329229,157.281512,1.866584577,3.145630235,0.593390
51,95.168801,157.367240,1.866054916,3.085632156,0.604756
52,97.318076,158.578336,1.871501456,3.049583387,0.613691
53,99.776862,161.072470,1.882582296,3.039103207,0.619453
54,102.462705,162.021049,1.897457498,3.000389800,0.632404
55,105.785936,162.415982,1.923380650,2.953017852,0.651327
56,107.870905,165.781140,1.926266164,2.960377492,0.650683
57,115.996137,169.264779,2.035019951,2.969557524,0.685294
58,118.447285,169.982337,2.042194575,2.930729948,0.696821
59,120.410302,171.049977,2.040852571,2.899152156,0.703948
60,123.233656,172.230849,2.053894273,2.870514144,0.715514
61,126.031082,174.730447,2.066083311,2.864433556,0.721289
62,129.252238,176.754237,2.084713521,2.850874795,0.731254
63,133.160727,177.759588,2.113662333,2.821580763,0.749106
64,135.637012,180.578606,2.119328317,2.821540715,0.751124
65,144.170795,211.161881,2.218012230,3.248644317,0.682750
66,146.790297,212.295532,2.224095414,3.216598965,0.691443
67,149.732257,213.626708,2.234809803,3.188458335,0.700906
68,152.529878,213.861617,2.243086442,3.145023784,0.713218
69,155.726990,216.914550,2.256912899,3.143689125,0.717919
70,159.253396,219.131571,2.275048508,3.130451018,0.726748
71,163.822426,222.226600,2.307358110,3.129952106,0.737186
72,166.837522,228.084496,2.317187809,3.167840227,0.731472
73,176.215291,230.072610,2.413908093,3.151679593,0.765912
74,180.010077,232.090656,2.432568605,3.136360215,0.775602
