n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,32.248367,64.760532,1.007761455,2.023766618,0.497963
33,34.960897,82.029254,1.059421113,2.485734974,0.426200
34,37.519058,82.793027,1.103501695,2.435089040,0.453167
35,39.420240,83.766295,1.126292560,2.393322704,0.470598
36,41.824320,84.056452,1.161786661,2.334901434,0.497574
37,43.142019,84.540803,1.166000522,2.284886555,0.510310
38,45.342481,84.440932,1.193223175,2.222129779,0.536973
39,47.408430,85.040911,1.215600775,2.180536183,0.557478
40,49.176095,81.557717,1.229402366,2.038942935,0.602961
41,52.221290,89.380481,1.273690009,2.180011742,0.584258
42,54.983221,90.478664,1.309124309,2.154253915,0.607693
43,56.679456,91.704057,1.318126888,2.132652481,0.618069
44,59.780593,91.634644,1.358649835,2.082605535,0.652380
45,61.260696,91.943750,1.361348792,2.043194444,0.666285
46,64.175736,92.898639,1.395124691,2.019535622,0.690815
47,66.620250,94.047204,1.417452135,2.001004343,0.708370
48,69.082382,94.198795,1.439216295,1.962474900,0.733368
49,71.780891,112.461930,1.464916150,2.295141438,0.638268
50,75.169872,113.218637,1.503397436,2.264372738,0.663935
51,77.189918,115.498153,1.513527798,2.264669661,0.668322
52,81.038354,113.968864,1.558429875,2.191708921,0.711057
53,83.130042,115.100537,1.568491361,2.171708242,0.722239
54,86.602147,116.918017,1.603743460,2.165148471,0.740708
55,89.081909,118.230769,1.619671070,2.149650350,0.753458
56,92.029073,114.351524,1.643376297,2.041991507,0.804791
57,95.052052,122.567157,1.667579854,2.150300998,0.775510
58,98.842993,123.440132,1.704189528,2.128278131,0.800736
59,101.341253,124.225248,1.717648351,2.105512684,0.815786
60,105.626548,125.185414,1.760442474,2.086423565,0.843761
61,107.845690,127.439878,1.767962125,2.089178323,0.846248
62,112.103644,129.060437,1.808123290,2.081619947,0.868614
63,115.024663,130.642584,1.825788301,2.073691803,0.880453
64,118.589760,132.475459,1.852964997,2.069929047,0.895183
65,122.598203,155.074483,1.886126194,2.385761284,0.790576
66,126.888616,156.215786,1.922554794,2.366905851,0.812265
67,129.595304,157.255235,1.934258267,2.347093052,0.824108
68,134.382253,158.014731,1.976209601,2.323746039,0.850441
69,136.853225,165.215889,1.983380076,2.394433175,0.828330
70,141.997069,172.243349,2.028529555,2.460619266,0.824398
71,168.288754,190.205213,2.370264148,2.678946656,0.884775
72,154.049877,174.665037,2.139581623,2.425903295,0.881973
73,162.726603,169.716546,2.229131550,2.324884193,0.958814
74,159.204372,186.578280,2.151410430,2.521328112,0.853285
75,162.730936,173.765162,2.169745812,2.316868827,0.936499
76,165.572310,175.055037,2.178583032,2.303355754,0.945830
77,170.225953,177.311200,2.210726660,2.302742862,0.960041
78,168.391158,176.084897,2.158861000,2.257498677,0.956307
79,175.941721,179.240458,2.227110397,2.268866557,0.981596
80,185.486907,185.798515,2.318586339,2.322481436,0.998323
81,186.778137,205.586980,2.305902931,2.538110868,0.908512
82,188.244238,206.353297,2.295661445,2.516503618,0.912242
83,190.427485,206.487775,2.294307046,2.487804515,0.922222
84,196.335251,208.302522,2.337324417,2.479791931,0.942549
85,199.195048,212.671239,2.343471149,2.502014573,0.936634
86,205.208151,214.412386,2.386141291,2.493167277,0.957072
