n,basecase_ns,karatsuba_ns,basecase_ns_per_limb,karatsuba_ns_per_limb,speedup_base_over_karatsuba
32,32.230212,71.722238,1.007194134,2.241319942,0.449375
33,35.003336,81.407986,1.060707156,2.466908670,0.429974
34,37.376021,81.811900,1.099294745,2.406232356,0.456853
35,38.627806,82.332803,1.103651594,2.352365797,0.469167
36,41.159268,82.899149,1.143313000,2.302754138,0.496498
37,42.048851,81.814572,1.136455430,2.211204660,0.513953
38,44.566065,83.134031,1.172791175,2.187737670,0.536075
39,46.348647,83.697703,1.188426841,2.146094947,0.553762
40,49.244781,87.622196,1.231119518,2.190554907,0.562013
41,50.640962,90.050564,1.235145426,2.196355215,0.562361
42,53.503744,90.337307,1.273898657,2.150888270,0.592266
43,55.301518,92.575395,1.286081820,2.152916160,0.597367
44,58.168928,91.493476,1.322021099,2.079397173,0.635771
45,59.947371,92.603838,1.332163789,2.057863058,0.647353
46,62.967302,92.937500,1.368854389,2.020380435,0.677523
47,64.967668,95.106047,1.382290807,2.023532918,0.683108
48,67.225941,99.761436,1.400540435,2.078363254,0.673867
49,69.847450,113.412409,1.425458158,2.314538966,0.615871
50,73.419783,114.815024,1.468395654,2.296300490,0.639461
51,75.509863,115.787269,1.480585551,2.270338598,0.652143
52,78.905751,115.924985,1.517418281,2.229326626,0.680662
53,81.458677,117.383683,1.536956174,2.214786467,0.693952
54,84.523818,119.519347,1.565255881,2.213321243,0.707198
55,87.107300,119.477070,1.583769098,2.172310365,0.729071
56,90.148017,122.350310,1.609786015,2.184826958,0.736803
57,93.223969,124.509711,1.635508223,2.184380897,0.748728
58,97.235298,124.783328,1.676470654,2.151436686,0.779233
59,100.288302,128.479709,1.699801731,2.177622185,0.780577
60,103.551531,127.683929,1.725858858,2.128065476,0.810999
61,105.667441,128.648234,1.732253129,2.108987441,0.821367
62,110.993565,131.020688,1.790218792,2.113236901,0.847145
63,113.028840,132.457892,1.794108577,2.102506221,0.853319
64,115.969020,140.903904,1.812015944,2.201623498,0.823036
65,119.779135,156.703151,1.842755919,2.410817709,0.764370
66,124.193129,158.008523,1.881714078,2.394068526,0.785990
67,126.704645,160.106975,1.891114109,2.389656347,0.791375
68,131.537781,160.079245,1.934379125,2.354106542,0.821704
69,133.874108,162.268923,1.940204470,2.351723522,0.825014
70,138.513017,164.708662,1.978757386,2.352980890,0.840958
71,141.601904,167.742956,1.994393017,2.362576847,0.844160
72,146.465776,180.895111,2.034246891,2.512432094,0.809672
73,151.306754,173.151753,2.072695261,2.371941819,0.873839
74,159.198111,175.225396,2.151325827,2.367910763,0.908533
75,158.714361,176.930778,2.116191483,2.359077044,0.897042
76,163.800502,178.157377,2.155269760,2.344176009,0.919415
77,169.713156,180.001560,2.204066955,2.337682591,0.942843
78,175.474650,182.757432,2.249674994,2.343043997,0.960151
79,178.852738,184.358178,2.263958710,2.333647820,0.970137
80,183.151001,193.866606,2.289387512,2.423332580,0.944727
81,183.310913,212.744189,2.263097692,2.626471473,0.861649
82,192.310707,214.684354,2.345252524,2.618101873,0.895784
83,190.839939,216.006034,2.299276374,2.602482343,0.883494
84,198.486126,217.251591,2.362930069,2.586328469,0.913623
85,204.998908,220.666618,2.411751862,2.596077855,0.928998
86,210.892135,222.533027,2.452234126,2.587593340,0.947689
87,214.640017,224.454695,2.467126634,2.579939023,0.956273
88,219.801376,231.529784,2.497742908,2.631020272,0.949344
89,220.349619,232.279239,2.475838411,2.609879088,0.948641
90,229.073628,234.555156,2.545262534,2.606168403,0.976630
91,228.832622,236.159162,2.514644197,2.595155632,0.968976
92,235.396773,238.600986,2.558660578,2.593488978,0.986571
93,241.753061,241.667687,2.599495275,2.598577278,1.000353
94,248.780172,244.303874,2.646597579,2.598977380,1.018323
95,252.638105,246.675361,2.659348472,2.596582746,1.024172
96,257.770089,255.473944,2.685105097,2.661186918,1.008988
97,259.964162,278.500185,2.680042908,2.871135933,0.933443
98,270.349964,280.934319,2.758673102,2.866676723,0.962324
99,269.601652,281.783596,2.723249013,2.846298950,0.956768
100,277.161320,285.021277,2.771613201,2.850212766,0.972423
101,283.410687,287.531154,2.806046409,2.846843113,0.985669
102,290.648800,290.158758,2.849498042,2.844693703,1.001689
103,295.149961,293.051367,2.865533599,2.845158905,1.007161
104,301.960008,302.026326,2.903461616,2.904099292,0.999780
105,303.588794,301.362580,2.891321852,2.870119811,1.007387
106,315.117869,304.838068,2.972810086,2.875830832,1.033722
107,314.498955,306.213966,2.939242569,2.861812764,1.027056
108,322.773411,310.642177,2.988642691,2.876316455,1.039052
109,329.333991,312.602500,3.021412764,2.867912844,1.053523
110,337.534397,315.478817,3.068494523,2.867989246,1.069911
111,341.825682,317.669552,3.079510647,2.861887859,1.076042
112,347.901157,327.642204,3.106260334,2.925376820,1.061833
113,350.203591,359.048903,3.099146827,3.177423917,0.975365
114,361.724279,367.620117,3.173019990,3.224737870,0.983962
115,362.975869,364.295785,3.156311902,3.167789434,0.996377
116,370.643034,367.073242,3.195198565,3.164424502,1.009725
117,378.866683,371.954792,3.238176782,3.179100791,1.018583
118,387.385031,375.623250,3.282923990,3.183247881,1.031313
119,391.729948,377.553213,3.291848302,3.172716074,1.037549
120,399.333245,387.349023,3.327777039,3.227908522,1.030939
121,400.823451,387.815857,3.312590503,3.205089731,1.033541
122,413.728524,393.633107,3.391217412,3.226500875,1.051051
123,413.117566,392.655073,3.358679399,3.192317668,1.052113
124,423.421171,397.357521,3.414686864,3.204496139,1.065592
125,431.227638,402.878755,3.449821101,3.223030043,1.070366
126,439.764311,406.415855,3.490192942,3.225522659,1.082055
127,445.119076,411.215186,3.504874613,3.237914854,1.082448
128,453.016908,420.586603,3.539194595,3.285832837,1.077107
129,455.040157,450.929087,3.527443078,3.495574314,1.009117
130,468.660759,450.661782,3.605082759,3.466629095,1.039939
131,468.536381,452.224459,3.576613592,3.452095108,1.036070
132,480.901603,459.461280,3.643193959,3.480767276,1.046664
133,486.850065,459.847426,3.660526803,3.457499447,1.058721
134,496.389881,463.713978,3.704402097,3.460552073,1.070466
135,502.430816,465.434097,3.721709745,3.447659974,1.079489
136,510.493546,472.425565,3.753629016,3.473717392,1.080580
137,514.829918,479.914860,3.757882613,3.503028173,1.072753
138,526.763343,482.221795,3.817125672,3.494360832,1.092367
139,527.283357,486.390220,3.793405444,3.499210217,1.084075
140,541.613865,489.004557,3.868670464,3.492889695,1.107584
141,545.949128,490.868128,3.871979631,3.481334243,1.112211
142,557.293639,496.895833,3.924603092,3.499266432,1.121550
143,562.860404,499.329455,3.936086743,3.491814369,1.127233
144,571.715701,514.362363,3.970247925,3.571960857,1.111504
145,574.860137,545.680596,3.964552670,3.763314455,1.053474
146,589.282422,548.400219,4.036180972,3.756165886,1.074548
147,590.736242,553.577941,4.018613892,3.765836335,1.067124
148,604.115385,555.452293,4.081860707,3.753056033,1.087610
149,609.664367,557.963388,4.091707160,3.744720722,1.092660
150,620.998758,563.080838,4.139991722,3.753872255,1.102859
151,627.996667,566.315136,4.158918322,3.750431361,1.108917
152,637.442145,573.061357,4.193698324,3.770140505,1.112345
153,638.453231,577.980061,4.172896937,3.777647460,1.104628
154,654.701389,580.375000,4.251307720,3.768668831,1.128066
155,653.811632,585.882376,4.218139561,3.779886295,1.115944
156,669.309840,588.867969,4.290447695,3.774794671,1.136604
157,675.954586,591.612814,4.305443225,3.768234487,1.142562
158,687.432938,597.460987,4.350841379,3.781398654,1.150591
159,691.756434,602.136218,4.350669395,3.787020239,1.148837
160,704.702425,615.233660,4.404390159,3.845210376,1.145422
161,711.497159,653.681424,4.419237013,4.060133066,1.088446
162,721.385577,656.544143,4.452997388,4.052741626,1.098762
163,727.380329,657.142920,4.462456009,4.031551654,1.106883
164,735.528809,660.753961,4.484931760,4.028987569,1.113166
165,743.765748,664.934840,4.507671200,4.029908124,1.118554
166,753.486000,670.183929,4.539072289,4.037252582,1.124297
167,764.381606,673.978571,4.577135363,4.035799829,1.134133
168,774.570697,683.900815,4.610539861,4.070838186,1.132578
169,782.506771,684.713960,4.630217579,4.051561893,1.142823
170,795.663136,690.732077,4.680371386,4.063129866,1.151913
171,794.985699,693.962316,4.649039176,4.058259159,1.145575
172,809.386853,699.551852,4.705737520,4.067161929,1.157008
173,818.946739,703.135261,4.733796180,4.064365672,1.164707
174,828.345395,710.318655,4.760605717,4.082291122,1.166160
175,840.152344,713.135417,4.800870536,4.075059524,1.178111
176,849.021396,727.186531,4.823985207,4.131741653,1.167543
177,856.155114,766.738821,4.837034540,4.331857747,1.116619
178,867.879587,776.277376,4.875728018,4.361108854,1.118002
179,872.183449,776.189566,4.872533235,4.336254559,1.123673
180,884.612618,785.303646,4.914514544,4.362798032,1.126459
181,894.317262,790.232143,4.940979348,4.365923441,1.131715
182,904.112380,796.118644,4.967650439,4.374278264,1.135650
183,912.787015,799.318326,4.987907183,4.367859706,1.141957
184,922.023284,809.511315,5.010996110,4.399518014,1.138988
185,935.750000,806.763889,5.058108108,4.360885886,1.159881
186,946.620625,817.582609,5.089358199,4.395605423,1.157829
187,951.554293,815.229891,5.088525631,4.359518135,1.167222
188,963.152423,825.714364,5.123151189,4.392097681,1.166447
189,970.542526,830.737279,5.135145639,4.395435337,1.168291
190,986.505208,837.088728,5.192132675,4.405730146,1.178495
191,995.336842,840.710379,5.211187655,4.401625023,1.183924
192,1005.979388,853.405114,5.239475981,4.444818300,1.178783
193,1018.549731,894.608333,5.277459747,4.635276339,1.138543
194,1028.092391,907.832332,5.299445316,4.679548102,1.132469
195,1033.950549,904.070312,5.302310510,4.636258013,1.143662
196,1047.884028,916.706917,5.346347080,4.677076110,1.143096
197,1052.161111,918.873180,5.340919346,4.664330861,1.145056
198,1069.255682,924.468750,5.400281221,4.669034091,1.156616
199,1078.492816,930.558168,5.419561890,4.676171700,1.158974
200,1093.330669,941.613750,5.466653343,4.708068750,1.161124
201,1100.888081,938.008125,5.477055131,4.666707090,1.173645
202,1117.933780,950.487374,5.534325642,4.705383038,1.176169
203,1120.932292,947.539773,5.521833949,4.667683609,1.182992
