n,nt,p30,p50,ntsqr
2048,16.5158,20.7600,16.5012,13.4509
2138,16.5864,22.4247,16.5837,13.4496
2233,16.3303,20.9997,16.3392,13.3100
2332,15.9744,20.2022,16.0657,13.1435
2435,16.0108,19.3677,16.0411,13.1089
2543,16.1243,21.5307,16.1151,13.2132
2655,15.9357,21.2944,15.9155,13.0762
2773,15.6373,20.8921,15.6578,12.8728
2896,19.1474,20.4863,19.1593,15.3672
3024,18.9576,20.0506,19.0151,15.1056
3158,18.6810,20.2976,18.6794,14.9261
3298,18.3939,20.2735,18.4256,14.7777
3444,18.3124,20.3418,18.3729,14.7168
3596,18.2371,18.7086,18.2939,14.5690
3756,17.9480,19.0061,18.0256,14.3824
3922,17.8875,19.4460,17.9036,14.3323
4096,17.6840,20.9639,17.6900,14.1395
4277,17.7877,22.5828,17.8228,14.2579
4466,17.5722,23.0967,17.5120,14.1176
4664,17.4351,22.1567,17.4013,14.0292
4870,17.1976,21.2701,17.1968,13.8802
5086,17.0838,21.9522,17.0917,13.8441
5311,17.0186,21.4130,17.0391,13.7338
5547,16.7357,21.0194,16.7963,13.6370
5792,19.4767,20.7821,19.4492,15.1229
6049,19.1723,20.5893,19.3073,15.0098
6316,18.9148,20.8351,18.9740,14.8286
6596,18.5922,20.7304,18.6514,14.6664
6888,18.5242,20.9624,18.5887,14.5689
7193,18.3912,20.1831,18.4598,14.5257
7512,18.1841,20.4597,18.2485,14.4095
7844,18.0431,20.0428,18.1053,14.3131
8192,17.8688,20.0125,17.8442,14.1589
8554,18.3128,23.0600,18.3424,14.5474
8933,18.1025,22.6424,18.0999,14.4515
9328,17.8858,22.4554,17.8809,14.2775
9741,17.7104,21.6336,17.7710,14.2237
10173,17.5676,21.6026,17.6362,14.1319
10623,17.5001,21.8653,17.4776,13.9976
11094,17.2688,21.4506,17.2756,13.8992
11585,20.0979,21.0884,20.1317,15.6602
12098,19.7933,20.8979,19.7895,15.4621
12633,19.4902,21.5924,19.5591,15.3479
13193,19.3346,21.0277,19.4057,15.1918
13777,19.0348,21.1042,19.0489,15.0341
14387,19.2205,20.9564,19.1973,15.1241
15024,18.9355,20.7278,18.9815,14.9702
15689,18.7990,20.6333,18.8156,14.8537
16384,18.5745,20.2983,18.5502,14.6844
17109,18.6177,23.2568,18.6678,14.7454
17866,18.3581,22.8315,18.3747,14.5623
18657,18.2439,22.7404,18.2426,14.4997
19483,18.0265,22.2880,18.0283,14.3358
20346,18.1432,22.1983,18.0969,14.4254
21247,17.9504,22.4428,17.9879,14.3379
22188,17.7995,22.0079,17.8105,14.2639
23170,22.1472,21.7141,22.2033,17.3908
24196,21.7569,21.5049,21.7472,17.0540
25267,21.4272,21.7112,21.4415,16.8437
26386,21.3131,21.4098,21.3123,16.7620
27554,21.0439,21.3042,21.1195,16.6179
28774,20.8769,21.6234,20.9043,16.4586
30048,20.6552,21.3504,20.5829,16.2000
31378,20.4511,21.0711,20.4564,16.1591
32768,20.1824,22.2172,20.2303,15.9542
34218,20.1943,25.2328,20.2472,15.9527
35733,19.9185,24.8291,19.9611,15.7575
37315,19.8098,24.7741,19.8750,15.7028
38967,19.5819,24.4656,19.5577,15.4941
40693,19.4412,24.1685,19.4304,15.3650
42494,19.3561,24.0604,19.4111,15.3076
44376,19.0785,23.6953,19.1464,15.1485
46340,22.1984,23.4726,22.2823,17.1913
48392,22.0150,23.2189,21.9629,16.9623
