n,ns_limb
2048,25.9941
2139,27.7626
2233,26.9073
2332,26.3896
2435,25.8548
2543,26.5379
2656,26.2461
2774,26.2677
2896,26.3744
3025,25.2328
3158,25.6599
3298,25.4421
3444,25.3630
3597,24.6544
3756,24.5419
3922,24.6337
4096,24.6034
4277,27.6488
4467,27.6923
4664,27.1692
4871,26.6153
5087,26.6820
5312,26.5163
5547,26.2035
5793,25.9855
6049,25.7299
6317,26.1451
6597,25.9421
6889,25.9110
7194,25.6353
7512,25.5692
7845,25.2450
8192,25.2531
8555,28.9366
8933,28.5573
9329,28.3404
9742,27.7861
10173,27.4806
10624,27.6547
11094,27.3229
11585,27.0801
12098,26.8204
12634,27.3059
13193,26.8283
13777,26.8020
14387,26.7784
15024,26.4372
15689,26.3013
16384,26.1278
17109,29.9411
17867,29.4833
18658,29.3405
19484,28.8895
20347,28.5965
21247,28.6354
22188,28.2619
23170,28.0022
24196,27.7240
25268,28.1647
26386,27.8487
27554,27.6394
28774,27.7417
30048,27.4467
31379,27.2469
32768,27.0129
34219,30.7055
35734,30.2840
37316,30.1087
38968,29.7690
40693,29.4098
42495,29.4343
44376,29.1297
46341,28.8838
48393,28.5926
50535,29.0352
52773,28.7486
55109,28.5173
57549,28.5530
60097,28.2645
62757,28.1195
65536,27.8760
68438,32.0075
71468,31.6316
74632,31.3510
77936,31.0713
81386,30.6687
84990,30.7147
88752,30.4340
92682,30.1979
96785,29.9345
101070,30.7792
105545,30.4042
110218,29.7713
115098,29.8764
120194,29.5735
125515,29.9381
131072,29.3575
136875,35.9032
142935,35.2705
149263,34.7250
155872,34.1172
162773,33.7833
169979,33.5413
177505,33.2875
185364,32.9452
193571,32.7569
202141,33.0751
211090,32.9948
220436,32.4872
230195,32.2767
240387,32.3282
251030,32.2090
262144,32.0966
273750,41.1666
285870,40.1032
298527,41.1813
311744,39.9177
325546,39.4576
339959,39.0657
355010,38.2524
370728,37.9892
387141,37.3651
404281,38.1735
422180,37.8497
440872,37.2794
460391,37.4813
480774,36.6761
502060,35.9066
524288,35.5578
547500,43.6421
571740,42.8233
597053,42.3023
623487,42.0606
651091,41.0239
679917,40.8056
710020,40.1627
741455,39.7749
774282,39.0862
808563,39.2803
844361,38.9745
881744,38.5053
920782,38.1392
961548,37.6221
1004120,37.3955
1048576,37.0398
1095000,47.4530
1143480,46.3029
1194106,45.3595
1246974,45.1846
1302182,44.0428
1359835,43.7258
1420040,42.9522
1482910,42.5155
1548564,41.7796
1617125,42.3502
1688722,41.3277
1763488,41.0123
1841564,40.5019
1923097,39.9396
2008240,40.0013
2097152,39.1514
