n,ns_limb
2048,24.9953
2139,27.1648
2233,26.2573
2332,26.0096
2435,25.4311
2543,26.1300
2656,24.8529
2774,24.5606
2896,24.3823
3025,24.2012
3158,24.9656
3298,24.7868
3444,24.7672
3597,23.3824
3756,23.3639
3922,23.4658
4096,19.7948
4277,22.4419
4467,22.6296
4664,21.8529
4871,21.5876
5087,21.8092
5312,22.0282
5547,22.0330
5793,21.4848
6049,21.4534
6317,22.5015
6597,22.4239
6889,22.1344
7194,22.2831
7512,22.4744
7845,21.9041
8192,24.2312
8555,27.2818
8933,26.6934
9329,26.6831
9742,25.8943
10173,25.6734
10624,26.2562
11094,25.9832
11585,25.6526
12098,25.2550
12634,24.3341
13193,23.8402
13777,23.9750
14387,24.1592
15024,23.8020
15689,23.8432
16384,25.8658
17109,28.9446
17867,28.6052
18658,28.5190
19484,28.1053
20347,27.7000
21247,26.8495
22188,26.4997
23170,26.4432
24196,26.1544
25268,26.9989
26386,26.6915
27554,26.5711
28774,26.0480
30048,25.7860
31379,25.5813
32768,21.7565
34219,25.2108
35734,25.0067
37316,24.5980
38968,24.5106
40693,24.2654
42495,24.6709
44376,24.6209
46341,24.1646
48393,24.1007
50535,25.0994
52773,24.9421
55109,24.5103
57549,24.8909
60097,24.6924
62757,24.4202
65536,26.1897
68438,30.1991
71468,29.6650
74632,29.6448
77936,29.3044
81386,29.0305
84990,29.5700
88752,29.0490
92682,29.0118
96785,28.4156
101070,27.3780
105545,27.1322
110218,27.0969
115098,27.2141
120194,26.9057
125515,26.8110
131072,28.6999
136875,33.6419
142935,33.4344
149263,33.3819
155872,32.9087
162773,32.4083
169979,31.5547
177505,31.3590
185364,31.1610
193571,31.0495
202141,31.4730
211090,31.3716
220436,31.5064
230195,31.2137
240387,30.9585
251030,30.6463
262144,26.7810
273750,35.7362
285870,35.0368
298527,34.5245
311744,33.9220
325546,33.6597
339959,33.8419
355010,34.1598
370728,33.6139
387141,33.4833
404281,33.9677
422180,34.0069
440872,32.9505
460391,33.3114
480774,33.0280
502060,32.3914
524288,34.0227
547500,41.8163
571740,40.6903
597053,40.3728
623487,39.8197
651091,39.2120
679917,39.1403
710020,38.4773
741455,38.0463
774282,37.5142
808563,36.6137
844361,35.7371
881744,35.4800
920782,35.4197
961548,34.8735
1004120,34.7708
1048576,35.9093
1095000,45.9747
1143480,45.6261
1194106,45.1360
1246974,44.7389
1302182,43.5492
1359835,41.9730
1420040,41.6883
1482910,40.7436
1548564,40.2006
1617125,41.2993
1688722,40.2426
1763488,39.6041
1841564,38.8077
1923097,38.1112
2008240,37.9954
2097152,33.1767
