n,ns_limb
2048,19.9964
2139,22.3146
2233,21.4767
2332,21.0808
2435,20.5280
2543,21.4164
2656,21.0107
2774,20.7124
2896,20.4466
3025,20.2960
3158,22.7572
3298,20.6122
3444,20.6026
3597,19.6522
3756,19.7076
3922,19.7481
4096,20.1068
4277,22.2991
4467,22.4246
4664,21.7893
4871,21.3392
5087,21.5545
5312,21.3918
5547,21.2032
5793,20.9670
6049,20.7356
6317,21.1450
6597,20.9706
6889,20.9104
7194,20.6722
7512,20.6655
7845,20.3448
8192,20.5470
8555,23.5810
8933,23.2101
9329,23.0896
9742,22.5150
10173,22.3311
10624,22.5027
11094,22.1496
11585,22.0576
12098,21.7730
12634,21.8737
13193,21.4887
13777,21.5116
14387,21.4663
15024,21.2150
15689,21.0910
16384,21.1057
17109,23.9762
17867,23.6644
18658,23.6027
19484,23.2375
20347,23.0420
21247,22.9002
22188,22.6580
23170,22.3874
24196,22.1448
25268,22.7249
26386,22.3792
27554,22.2556
28774,22.2483
30048,22.0266
31379,21.8370
32768,22.0564
34219,25.0466
35734,24.7632
37316,24.5566
38968,24.3011
40693,24.0469
42495,24.1014
44376,23.8492
46341,23.5961
48393,23.3605
50535,23.7585
52773,23.4731
55109,23.2706
57549,23.2995
60097,23.0382
62757,22.9175
65536,22.7706
68438,26.3362
71468,25.9885
74632,25.7531
77936,25.4464
81386,25.0777
84990,25.3415
88752,24.9034
92682,24.7731
96785,24.5410
101070,24.6076
105545,24.4291
110218,24.3299
115098,24.4028
120194,24.0881
125515,23.7922
131072,23.7204
136875,29.2267
142935,29.2049
149263,28.8086
155872,28.5963
162773,28.8926
169979,28.2069
177505,27.8993
185364,28.0016
193571,27.7366
202141,28.1033
211090,27.3825
220436,27.3864
230195,27.6191
240387,27.0110
251030,26.8471
262144,26.9658
273750,35.6094
285870,34.9742
298527,35.0927
311744,34.3394
325546,33.6183
339959,33.7248
355010,33.1825
370728,32.7166
387141,32.1981
404281,32.4584
422180,32.0207
440872,31.6486
460391,31.7517
480774,31.2506
502060,31.0478
524288,30.5748
547500,37.8178
571740,37.0373
597053,36.5055
623487,35.8342
651091,35.2905
679917,35.0423
710020,34.4301
741455,34.0914
774282,33.5089
808563,33.3817
844361,32.9187
881744,32.5190
920782,32.3647
961548,31.9302
1004120,31.7844
1048576,31.1941
1095000,40.0359
1143480,39.2035
1194106,38.5362
1246974,38.2334
1302182,37.2799
1359835,36.8548
1420040,36.8525
1482910,36.0210
1548564,35.4337
1617125,35.5855
1688722,35.3400
1763488,34.7420
1841564,34.6363
1923097,33.9996
2008240,34.4355
2097152,33.3807
