n,ns_limb
2048,18.7620
2139,21.1041
2233,20.2576
2332,19.8974
2435,19.2799
2543,20.2525
2656,20.1796
2774,19.9134
2896,19.6146
3025,19.4365
3158,19.6577
3298,19.4514
3444,19.3822
3597,18.7423
3756,18.7394
3922,18.7877
4096,20.0602
4277,22.2925
4467,22.3499
4664,21.8933
4871,21.4016
5087,21.5536
5312,21.1188
5547,20.8724
5793,20.7637
6049,20.5112
6317,20.6913
6597,20.5167
6889,20.5540
7194,20.1640
7512,20.1549
7845,19.8970
8192,19.5687
8555,23.0686
8933,22.7984
9329,22.5709
9742,22.0725
10173,21.8294
10624,21.8720
11094,21.5993
11585,21.3277
12098,21.1360
12634,21.7238
13193,21.3458
13777,21.2402
14387,21.1499
15024,20.9111
15689,20.7562
16384,20.1541
17109,22.9613
17867,22.6071
18658,22.4603
19484,22.0925
20347,21.9040
21247,22.1756
22188,21.8974
23170,21.6761
24196,21.4285
25268,21.6340
26386,21.3535
27554,21.2103
28774,21.4229
30048,21.1637
31379,20.9615
32768,22.0905
34219,25.2315
35734,24.7931
37316,24.7187
38968,24.3799
40693,24.0670
42495,23.8948
44376,23.6229
46341,23.4438
48393,23.2019
50535,23.3369
52773,23.0693
55109,22.9463
57549,22.8010
60097,22.5595
62757,22.4364
65536,21.7867
68438,25.2577
71468,25.1488
74632,24.7567
77936,24.5361
81386,24.1534
84990,24.0786
88752,23.8248
92682,23.7646
96785,23.4438
101070,24.0573
105545,23.9479
110218,23.6364
115098,23.6124
120194,23.5378
125515,23.2448
131072,22.7733
136875,28.0205
142935,27.5810
149263,27.4020
155872,27.1039
162773,27.0286
169979,27.1554
177505,26.9669
185364,26.7142
193571,26.7820
202141,26.7493
211090,26.4027
220436,26.1182
230195,26.7293
240387,26.7349
251030,26.5388
262144,27.2664
273750,35.8334
285870,35.4272
298527,34.6992
311744,34.1810
325546,33.4373
339959,33.0384
355010,32.5854
370728,32.3645
387141,31.9866
404281,31.7827
422180,31.2869
440872,31.0470
460391,30.6348
480774,30.6131
502060,30.0708
524288,29.1424
547500,36.8598
571740,36.0408
597053,35.3166
623487,34.7185
651091,34.1846
679917,34.3138
710020,33.6375
741455,33.1471
774282,32.4895
808563,32.8354
844361,32.4422
881744,31.9218
920782,31.8315
961548,31.3159
1004120,30.9716
1048576,29.9370
1095000,40.0124
1143480,39.6732
1194106,39.4103
1246974,38.2924
1302182,37.7642
1359835,37.3552
1420040,36.7753
1482910,36.5745
1548564,36.4521
1617125,36.1360
1688722,35.3036
1763488,34.8453
1841564,34.6901
1923097,34.3100
2008240,34.2732
2097152,33.1252
