n,ns_limb
2048,18.7518
2139,21.0813
2233,20.2870
2332,19.9538
2435,19.4049
2543,20.2369
2656,20.2075
2774,19.9171
2896,19.5887
3025,19.4143
3158,19.5580
3298,19.3669
3444,19.3349
3597,18.6447
3756,18.6760
3922,18.7555
4096,20.0152
4277,21.7311
4467,21.9007
4664,21.4437
4871,20.9018
5087,21.0095
5312,20.8782
5547,20.7157
5793,20.5720
6049,20.2855
6317,20.5933
6597,20.4867
6889,20.5244
7194,20.1536
7512,20.2168
7845,19.9701
8192,19.9137
8555,23.0560
8933,22.7724
9329,22.5181
9742,22.0188
10173,21.8675
10624,22.0509
11094,21.7791
11585,21.5388
12098,21.2615
12634,21.5014
13193,21.0418
13777,20.9717
14387,20.8568
15024,20.6121
15689,20.4838
16384,20.3633
17109,24.6181
17867,24.2250
18658,24.0211
19484,23.6112
20347,23.3649
21247,23.7567
22188,23.3591
23170,23.1018
24196,22.8389
25268,23.3061
26386,23.0134
27554,22.7908
28774,22.8683
30048,22.5892
31379,22.3399
32768,22.3435
34219,24.3490
35734,24.0383
37316,23.9650
38968,23.6690
40693,23.4233
42495,23.3916
44376,23.1443
46341,23.0165
48393,22.7707
50535,23.1134
52773,22.8232
55109,22.7161
57549,22.5987
60097,22.3534
62757,22.2630
65536,22.0807
68438,25.0650
71468,24.8514
74632,24.6146
77936,24.4790
81386,24.1355
84990,24.2240
88752,24.0614
92682,23.8612
96785,23.6567
101070,24.0939
105545,23.8179
110218,23.5807
115098,23.5943
120194,23.2602
125515,23.0904
131072,22.8901
136875,28.8537
142935,28.7022
149263,28.2371
155872,28.0113
162773,27.9418
169979,29.7547
177505,28.6608
185364,28.6694
193571,28.2897
202141,30.4276
211090,30.0306
220436,29.7318
230195,28.3277
240387,27.6348
251030,27.8168
262144,27.7218
273750,40.0447
285870,39.5239
298527,39.6459
311744,39.3157
325546,37.4960
339959,39.3638
355010,39.5102
370728,39.7871
387141,39.3735
404281,43.2964
422180,42.4678
440872,41.0986
460391,32.6959
480774,32.1818
502060,32.2173
524288,31.2998
547500,47.3623
571740,46.4251
597053,45.5849
623487,44.5055
651091,43.4923
679917,44.5619
710020,43.7482
741455,43.1876
774282,42.9793
808563,48.2221
844361,46.5779
881744,45.4286
920782,34.5906
961548,34.4195
1004120,33.6655
1048576,33.4034
1095000,50.1397
1143480,48.9625
1194106,48.0564
1246974,46.6461
1302182,46.1244
1359835,46.3484
1420040,45.5000
1482910,44.4838
1548564,44.0689
1617125,48.8491
1688722,47.5899
1763488,46.8976
1841564,36.6240
1923097,36.2929
2008240,36.0076
2097152,35.3872
