n,ns_limb
2048,18.8259
2139,21.1488
2233,20.3709
2332,19.9250
2435,19.3603
2543,20.2624
2656,20.2372
2774,19.9639
2896,19.6203
3025,19.4424
3158,19.5735
3298,19.3583
3444,19.3415
3597,18.7036
3756,18.6652
3922,18.7819
4096,20.0249
4277,22.5704
4467,22.6316
4664,22.1281
4871,21.5692
5087,21.6307
5312,21.3734
5547,21.1120
5793,20.9315
6049,20.6842
6317,21.0636
6597,20.9082
6889,20.9040
7194,20.4928
7512,20.4623
7845,20.1954
8192,20.1489
8555,23.6473
8933,23.3411
9329,23.0380
9742,22.4819
10173,22.2396
10624,22.4162
11094,22.0948
11585,21.7297
12098,21.4299
12634,21.9092
13193,21.4696
13777,21.3665
14387,21.2742
15024,21.0547
15689,20.8502
16384,20.7309
17109,25.4523
17867,24.9900
18658,24.7208
19484,24.2648
20347,24.0198
21247,24.2954
22188,23.8607
23170,23.5573
24196,23.3349
25268,23.8725
26386,23.4899
27554,23.2307
28774,23.4628
30048,23.0847
31379,22.8077
32768,22.7627
34219,25.0610
35734,24.6962
37316,24.6188
38968,24.3712
40693,23.9828
42495,23.9545
44376,23.6310
46341,23.4910
48393,23.1885
50535,23.5775
52773,23.2510
55109,23.2035
57549,23.1414
60097,22.8799
62757,22.7183
65536,22.5042
68438,26.1689
71468,25.8248
74632,25.6093
77936,25.1290
81386,24.7804
84990,24.8746
88752,24.7113
92682,24.3321
96785,24.1426
101070,24.5247
105545,24.2834
110218,24.1072
115098,24.1119
120194,23.8574
125515,23.6499
131072,23.4828
136875,29.3668
142935,28.8351
149263,28.5699
155872,28.4038
162773,28.3547
169979,29.0578
177505,29.5040
185364,28.9399
193571,28.8878
202141,29.9203
211090,29.5836
220436,29.8533
230195,29.7126
240387,29.8142
251030,29.5602
262144,29.4268
273750,36.0189
285870,35.7618
298527,35.9334
311744,34.8712
325546,35.1673
339959,37.2385
355010,36.6919
370728,35.2056
387141,34.6545
404281,35.5459
422180,34.8630
440872,34.5184
460391,35.5536
480774,34.4975
502060,34.4434
524288,34.2444
547500,39.8415
571740,38.6392
597053,38.4041
623487,37.8085
651091,37.2960
679917,38.3934
710020,37.6071
741455,37.6070
774282,37.4904
808563,38.0524
844361,36.9729
881744,36.6493
920782,37.2336
961548,36.7264
1004120,36.1778
1048576,36.0842
1095000,34.9272
1143480,34.5265
1194106,34.7714
1246974,34.2297
1302182,33.8079
1359835,34.0171
1420040,33.7138
1482910,33.6806
1548564,33.4393
1617125,34.1909
1688722,33.6768
1763488,33.3507
1841564,33.2917
1923097,32.8680
2008240,32.5952
2097152,32.2827
