n,ns_limb
2048,18.9628
2139,21.2565
2233,20.3473
2332,19.9892
2435,19.4256
2543,20.2893
2656,20.2136
2774,19.9005
2896,19.5599
3025,19.3822
3158,19.4923
3298,19.3030
3444,19.2939
3597,18.6358
3756,18.6674
3922,18.7328
4096,20.0299
4277,22.2022
4467,22.3034
4664,21.8252
4871,21.2799
5087,21.4482
5312,20.9833
5547,20.7576
5793,20.5944
6049,20.3788
6317,20.5498
6597,20.3775
6889,20.4386
7194,20.0356
7512,20.0149
7845,19.7627
8192,19.4035
8555,22.4054
8933,22.1061
9329,21.9455
9742,21.4121
10173,21.1956
10624,21.2498
11094,21.0345
11585,20.7630
12098,20.5752
12634,21.2809
13193,20.8912
13777,20.8027
14387,20.7196
15024,20.4958
15689,20.3421
16384,19.9426
17109,22.9183
17867,22.5571
18658,22.4255
19484,22.0936
20347,21.8887
21247,22.1740
22188,21.8513
23170,21.5833
24196,21.3533
25268,21.5061
26386,21.2493
27554,21.0976
28774,21.3428
30048,21.0856
31379,20.8852
32768,21.9963
34219,25.0676
35734,24.7086
37316,24.6124
38968,24.3164
40693,23.9803
42495,23.8185
44376,23.5297
46341,23.3404
48393,23.1022
50535,23.2701
52773,22.9411
55109,22.8423
57549,22.7395
60097,22.4592
62757,22.3583
65536,21.7457
68438,25.0807
71468,25.0613
74632,24.6760
77936,24.4901
81386,24.0846
84990,23.9859
88752,23.7454
92682,23.6013
96785,23.4234
101070,24.0453
105545,23.8704
110218,23.5594
115098,23.4584
120194,23.2247
125515,23.0349
131072,22.5231
136875,27.6552
142935,27.3519
149263,27.1765
155872,26.7873
162773,26.5586
169979,26.8766
177505,26.6442
185364,26.9879
193571,26.2046
202141,26.3907
211090,25.9899
220436,26.0364
230195,26.2338
240387,26.0799
251030,25.5374
262144,26.5746
273750,35.4326
285870,34.9596
298527,34.6988
311744,34.0044
325546,33.2705
339959,32.8345
355010,32.5700
370728,32.6250
387141,32.1896
404281,31.8055
422180,31.3256
440872,31.1474
460391,31.0614
480774,30.3240
502060,30.0938
524288,29.1525
547500,32.6779
571740,32.2430
597053,32.0666
623487,31.7285
651091,31.5765
679917,32.3461
710020,32.0298
741455,31.7444
774282,31.3827
808563,32.0325
844361,32.1317
881744,31.8914
920782,31.9225
961548,31.0076
1004120,30.8982
1048576,30.7235
1095000,34.7014
1143480,34.6506
1194106,34.5112
1246974,33.9737
1302182,34.0078
1359835,34.4030
1420040,34.1622
1482910,33.9562
1548564,33.6312
1617125,34.0119
1688722,33.6497
1763488,33.4239
1841564,33.5832
1923097,32.7141
2008240,32.6164
2097152,32.0162
