n,ns_limb
2048,20.7560
2139,25.0158
2233,23.5750
2332,22.5674
2435,21.5499
2543,23.6644
2656,23.1916
2774,22.5747
2896,22.1369
3025,21.7468
3158,20.5433
3298,20.6038
3444,20.5586
3597,18.9215
3756,19.1589
3922,19.5142
4096,21.1010
4277,23.8547
4467,24.2216
4664,23.2320
4871,22.2299
5087,22.8252
5312,22.1399
5547,21.6969
5793,21.4231
6049,21.1200
6317,20.9216
6597,20.8032
6889,21.0428
7194,20.2541
7512,20.5182
7845,20.0203
8192,19.9607
8555,26.2125
8933,25.6466
9329,25.3227
9742,24.4061
10173,24.0945
10624,24.2409
11094,23.7258
11585,23.2197
12098,22.9168
12634,22.0114
13193,21.1103
13777,21.2778
14387,21.0245
15024,20.8004
15689,20.6944
16384,20.3138
17109,25.3963
17867,24.8450
18658,24.6719
19484,24.0519
20347,23.9793
21247,24.0155
22188,23.4475
23170,23.0683
24196,22.7266
25268,21.8353
26386,22.7733
27554,23.1588
28774,23.2603
30048,22.3345
31379,21.1574
32768,22.3465
34219,25.9301
35734,25.5620
37316,25.4541
38968,25.0912
40693,24.6380
42495,24.5232
44376,23.9976
46341,23.7260
48393,23.4445
50535,23.5520
52773,23.2193
55109,23.1783
57549,23.0306
60097,22.7457
62757,22.6622
65536,22.3075
68438,28.3132
71468,27.6226
74632,27.2071
77936,26.9005
81386,26.3255
84990,26.1038
88752,25.7577
92682,25.3466
96785,25.1166
101070,24.2086
105545,23.9683
110218,23.6171
115098,23.7197
120194,23.6442
125515,23.8017
131072,23.2826
136875,29.1715
142935,28.0350
149263,27.6188
155872,27.3072
162773,27.2325
169979,27.3754
177505,26.8349
185364,26.8685
193571,26.4463
202141,26.7885
211090,26.6685
220436,26.5799
230195,26.3303
240387,26.5188
251030,26.4011
262144,27.0953
273750,33.0404
285870,32.5627
298527,32.4717
311744,32.0994
325546,31.9111
339959,33.1684
355010,31.3538
370728,30.6191
387141,29.6686
404281,32.1646
422180,31.7631
440872,31.0707
460391,31.0476
480774,31.0578
502060,31.3385
524288,30.7058
547500,36.3899
571740,35.6848
597053,34.2191
623487,34.2977
651091,33.8203
679917,32.9804
710020,33.5985
741455,31.8993
774282,31.9502
808563,32.5093
844361,34.3611
881744,31.8767
920782,32.0550
961548,31.5005
1004120,31.2680
1048576,31.2479
1095000,38.2407
1143480,39.7471
1194106,37.7886
1246974,38.9573
1302182,38.0394
1359835,37.4462
1420040,36.9019
1482910,36.1112
1548564,35.0966
1617125,35.7652
1688722,36.2033
1763488,36.0750
1841564,38.1507
1923097,38.4811
2008240,35.6630
2097152,33.0032
